# TOTAL_GENES = 55849
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_ANTIGEN_PROCESSING_AND_...7        SET      29      0.17688    0.0040296      0.15453      0.12619 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN_VIA_MHC_CLASS_I
GOBP_ANTIGEN_PROCESSING_AND_...8        SET      32      -0.2369   -0.0056691      0.15383      0.93822 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II
GOBP_ANTIGEN_PROCESSING_AND_...9        SET      14      0.32734     0.005182      0.24652      0.09212 GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_VIA_MHC_CLASS_IB
GOBP_APOPTOTIC_CELL_CLEARANCE           SET      51      0.12149    0.0036695      0.12435       0.1643 GOBP_APOPTOTIC_CELL_CLEARANCE
GOBP_ATP_BIOSYNTHETIC_PROCESS           SET      50    -0.021258   -0.0006358      0.11908      0.57084 GOBP_ATP_BIOSYNTHETIC_PROCESS
GOBP_ATP_METABOLIC_PROCESS              SET     248     -0.05867    -0.003901     0.053992       0.8614 GOBP_ATP_METABOLIC_PROCESS
GOBP_AXONAL_TRANSPORT                   SET      62    0.0054185   0.00018044      0.10602      0.47962 GOBP_AXONAL_TRANSPORT
GOBP_AXONEME_ASSEMBLY                   SET      83     0.079729    0.0030713      0.09132      0.19131 GOBP_AXONEME_ASSEMBLY
GOBP_AXON_DEVELOPMENT                   SET     449     0.061872    0.0055253       0.0402     0.061896 GOBP_AXON_DEVELOPMENT
GOBP_AXO_DENDRITIC_TRANSPORT            SET      74       0.0881    0.0032048     0.097669      0.18352 GOBP_AXO_DENDRITIC_TRANSPORT
GOBP_BILE_ACID_METABOLIC_PRO...         SET      48     0.069614      0.00204      0.12183      0.28386 GOBP_BILE_ACID_METABOLIC_PROCESS
GOBP_BONE_RESORPTION                    SET      63     -0.21219   -0.0071228       0.1069      0.97642 GOBP_BONE_RESORPTION
GOBP_B_CELL_ACTIVATION                  SET     269     0.025955     0.001797     0.051088      0.30571 GOBP_B_CELL_ACTIVATION
GOBP_B_CELL_DIFFERENTIATION             SET     136    -0.084908   -0.0041849     0.070732      0.88501 GOBP_B_CELL_DIFFERENTIATION
GOBP_B_CELL_MEDIATED_IMMUNITY           SET     151    -0.056695    -0.002944     0.069706      0.79199 GOBP_B_CELL_MEDIATED_IMMUNITY
GOBP_B_CELL_PROLIFERATION               SET      97     0.017687    0.0007365     0.086206      0.41872 GOBP_B_CELL_PROLIFERATION
GOBP_CARBOHYDRATE_CATABOLIC_...         SET     146    -0.032789   -0.0016743       0.0708      0.67836 GOBP_CARBOHYDRATE_CATABOLIC_PROCESS
GOBP_CATECHOLAMINE_SECRETION            SET      56    -0.016276  -0.00051514      0.11338      0.55707 GOBP_CATECHOLAMINE_SECRETION
GOBP_CELLULAR_COMPONENT_DISA...         SET     447     0.078802    0.0070217     0.039906     0.024154 GOBP_CELLULAR_COMPONENT_DISASSEMBLY
GOBP_CELLULAR_RESPIRATION               SET     208     0.081744    0.0049794     0.057749     0.078463 GOBP_CELLULAR_RESPIRATION
GOBP_CELLULAR_RESPONSE_TO_IN...1        SET      22      0.23896    0.0047419      0.18601     0.099458 GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA
GOBP_CELLULAR_RESPONSE_TO_IN...2        SET     112     0.096106    0.0042995     0.081401      0.11888 GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA
GOBP_CELLULAR_RESPONSE_TO_VI...         SET      80    -0.065219   -0.0024666     0.095142      0.75348 GOBP_CELLULAR_RESPONSE_TO_VIRUS
GOBP_CELL_ACTIVATION_INVOLVE...         SET     280    -0.018013   -0.0012723      0.04999       0.6407 GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_CELL_KILLING                       SET     174     0.081765    0.0045568     0.064269      0.10165 GOBP_CELL_KILLING
GOBP_CENTRAL_NERVOUS_SYSTEM_...         SET     163      0.11574    0.0062435     0.065499     0.038615 GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION
GOBP_CHAPERONE_MEDIATED_PROT...         SET      72     0.092372    0.0033146     0.097806      0.17247 GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING
GOBP_CHROMOSOME_SEGREGATION             SET     332      0.01361    0.0010462     0.045172       0.3816 GOBP_CHROMOSOME_SEGREGATION
GOBP_CILIUM_MOVEMENT                    SET     178     0.096859    0.0054595     0.062084     0.059369 GOBP_CILIUM_MOVEMENT
GOBP_CILIUM_ORGANIZATION                SET     392      0.04997    0.0041718     0.042042      0.11731 GOBP_CILIUM_ORGANIZATION
GOBP_CILIUM_OR_FLAGELLUM_DEP...         SET     143     0.098299    0.0049677       0.0694     0.078332 GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY
GOBP_CYTOKINE_MEDIATED_SIGNA...         SET     462       0.0327    0.0029618      0.04073      0.21104 GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY
GOBP_CYTOKINE_PRODUCTION_INV...         SET      97     -0.08704   -0.0036243     0.081149      0.85827 GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_CYTOPLASMIC_TRANSLATION            SET     137    -0.026191   -0.0012956     0.071922      0.64213 GOBP_CYTOPLASMIC_TRANSLATION
GOBP_CYTOSKELETON_DEPENDENT_...         SET      97      0.15609    0.0064995     0.080856     0.026776 GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
GOBP_DEFENSE_RESPONSE_TO_BAC...         SET     286   -0.0054765   -0.0003909     0.051843      0.54206 GOBP_DEFENSE_RESPONSE_TO_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_GRA...         SET      95     -0.08497   -0.0035015     0.090651       0.8257 GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_SYM...         SET     281   -0.0051869    -0.000367     0.050368      0.54101 GOBP_DEFENSE_RESPONSE_TO_SYMBIONT
GOBP_DENDRITIC_CELL_DIFFEREN...         SET      46      0.13049    0.0037434      0.12511      0.14848 GOBP_DENDRITIC_CELL_DIFFERENTIATION
GOBP_DETECTION_OF_BIOTIC_STI...         SET      35     0.024265   0.00060727      0.13859      0.43051 GOBP_DETECTION_OF_BIOTIC_STIMULUS
GOBP_DETECTION_OF_EXTERNAL_B...         SET      24     -0.13744   -0.0028485      0.16668      0.79519 GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS
GOBP_DETECTION_OF_MOLECULE_O...         SET      12     -0.39706   -0.0058197      0.22112      0.96373 GOBP_DETECTION_OF_MOLECULE_OF_BACTERIAL_ORIGIN
GOBP_DETECTION_OF_OTHER_ORGA...         SET      19     0.011005   0.00020295      0.19077        0.477 GOBP_DETECTION_OF_OTHER_ORGANISM
GOBP_DE_NOVO_PROTEIN_FOLDING            SET      43     0.031233   0.00086631      0.12656      0.40254 GOBP_DE_NOVO_PROTEIN_FOLDING
GOBP_DICARBOXYLIC_ACID_TRANS...         SET      90     0.089228     0.003579      0.08718      0.15304 GOBP_DICARBOXYLIC_ACID_TRANSPORT
GOBP_DIENCEPHALON_DEVELOPMENT           SET      71     0.072209     0.002573     0.098108      0.23086 GOBP_DIENCEPHALON_DEVELOPMENT
GOBP_DIVALENT_INORGANIC_CATI...         SET     487     0.033736    0.0031365     0.038861      0.19267 GOBP_DIVALENT_INORGANIC_CATION_HOMEOSTASIS
GOBP_DNA_GEOMETRIC_CHANGE               SET      90     0.063421    0.0025439     0.085539      0.22922 GOBP_DNA_GEOMETRIC_CHANGE
GOBP_DNA_REPLICATION                    SET     271    0.0014137   9.8235e-05     0.050144      0.48875 GOBP_DNA_REPLICATION
GOBP_ELECTRON_TRANSPORT_CHAIN           SET     148     0.042148    0.0021669     0.068159      0.26816 GOBP_ELECTRON_TRANSPORT_CHAIN
GOBP_ENERGY_DERIVATION_BY_OX...         SET     293     0.081534    0.0058901     0.048895     0.047708 GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS
GOBP_EOSINOPHIL_CHEMOTAXIS              SET      18    -0.017309  -0.00031069      0.22321       0.5309 GOBP_EOSINOPHIL_CHEMOTAXIS
GOBP_EOSINOPHIL_MIGRATION               SET      22    -0.017632  -0.00034987      0.18838      0.53728 GOBP_EOSINOPHIL_MIGRATION
GOBP_EPITHELIAL_CILIUM_MOVEM...         SET      11      0.33435     0.004692      0.26782      0.10594 GOBP_EPITHELIAL_CILIUM_MOVEMENT_INVOLVED_IN_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY
GOBP_ERK1_AND_ERK2_CASCADE              SET     325     0.013729    0.0010443     0.047493      0.38626 GOBP_ERK1_AND_ERK2_CASCADE
GOBP_ESTABLISHMENT_OF_ORGANE...         SET     393      0.13517     0.011299     0.042578   0.00075062 GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION
GOBP_ESTABLISHMENT_OF_PROTEI...         SET     411     0.031683    0.0027079     0.040847      0.21898 GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE
GOBP_EXTERNAL_ENCAPSULATING_...         SET     297     0.026555    0.0019314     0.049313      0.29511 GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
GOBP_FOREBRAIN_DEVELOPMENT              SET     362     0.095278    0.0076459     0.043827     0.014857 GOBP_FOREBRAIN_DEVELOPMENT
GOBP_GENERATION_OF_PRECURSOR...         SET     456     0.037795    0.0034012     0.038984      0.16615 GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY
GOBP_HUMORAL_IMMUNE_RESPONSE            SET     248    -0.021301   -0.0014163     0.057752      0.64387 GOBP_HUMORAL_IMMUNE_RESPONSE
GOBP_IMMUNE_RESPONSE_REGULAT...         SET     403      0.08765    0.0074187       0.0418     0.018004 GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY
GOBP_IMPORT_ACROSS_PLASMA_ME...         SET     170      0.18276     0.010068     0.065092    0.0024963 GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE
GOBP_IMPORT_INTO_CELL                   SET     219      0.13076    0.0081725     0.058027     0.012116 GOBP_IMPORT_INTO_CELL
GOBP_INTERFERON_BETA_PRODUCT...         SET      54     0.024987    0.0007766       0.1148      0.41385 GOBP_INTERFERON_BETA_PRODUCTION
GOBP_INTERLEUKIN_10_PRODUCTI...         SET      57    -0.099976   -0.0031923      0.10924      0.81994 GOBP_INTERLEUKIN_10_PRODUCTION
GOBP_INTERLEUKIN_8_PRODUCTION           SET      95     -0.13221   -0.0054481     0.089494       0.9302 GOBP_INTERLEUKIN_8_PRODUCTION
GOBP_INTRACILIARY_TRANSPORT             SET      38     -0.19925   -0.0051956      0.13389      0.93164 GOBP_INTRACILIARY_TRANSPORT
GOBP_LEUKOCYTE_CELL_CELL_ADH...         SET     362       0.0534    0.0042852     0.044653      0.11587 GOBP_LEUKOCYTE_CELL_CELL_ADHESION
GOBP_LEUKOCYTE_MEDIATED_CYTO...         SET     121     0.088043    0.0040937     0.076862      0.12601 GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY
GOBP_LEUKOCYTE_MEDIATED_IMMU...         SET     378     0.016661    0.0013661     0.043761       0.3517 GOBP_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_LEUKOCYTE_PROLIFERATION            SET     318     0.027584    0.0020755      0.04757      0.28101 GOBP_LEUKOCYTE_PROLIFERATION
GOBP_LYMPHOCYTE_MEDIATED_IMM...         SET     287   -0.0037188   -0.0002659     0.051038      0.52904 GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY
GOBP_MACROAUTOPHAGY                     SET     298     0.050699    0.0036935     0.047416      0.14249 GOBP_MACROAUTOPHAGY
GOBP_MACROPHAGE_ACTIVATION              SET     105     0.046376     0.002009     0.080864      0.28315 GOBP_MACROPHAGE_ACTIVATION
GOBP_MACROPHAGE_CYTOKINE_PRO...         SET      17     -0.19489   -0.0033998      0.18263      0.85704 GOBP_MACROPHAGE_CYTOKINE_PRODUCTION
GOBP_MICROGLIAL_CELL_ACTIVAT...         SET      47     -0.11291   -0.0032743      0.11992      0.82679 GOBP_MICROGLIAL_CELL_ACTIVATION
GOBP_MITOCHONDRIAL_RESPIRATO...         SET      85     0.036495    0.0014227     0.097146      0.35358 GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY
GOBP_MITOCHONDRION_LOCALIZAT...         SET      45    -0.091495   -0.0025961      0.12474      0.76836 GOBP_MITOCHONDRION_LOCALIZATION
GOBP_MITOCHONDRION_ORGANIZAT...         SET     487     0.070461     0.006551     0.038332     0.033021 GOBP_MITOCHONDRION_ORGANIZATION
GOBP_MITOTIC_NUCLEAR_DIVISION           SET     286    -0.017641   -0.0012592     0.048741       0.6413 GOBP_MITOTIC_NUCLEAR_DIVISION
GOBP_MITOTIC_SISTER_CHROMATI...         SET     168   -0.0079445  -0.00043507     0.062427      0.55063 GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION
GOBP_MITOTIC_SPINDLE_ASSEMBLY           SET      66     0.012677   0.00043555     0.097577      0.44831 GOBP_MITOTIC_SPINDLE_ASSEMBLY
GOBP_MITOTIC_SPINDLE_ORGANIZ...         SET     120    -0.030922   -0.0014318       0.0738      0.66239 GOBP_MITOTIC_SPINDLE_ORGANIZATION
GOBP_MONONUCLEAR_CELL_DIFFER...         SET     417    -0.040564   -0.0034921     0.040571       0.8413 GOBP_MONONUCLEAR_CELL_DIFFERENTIATION
GOBP_MULTICELLULAR_ORGANISMA...         SET     507    -0.015028   -0.0014253     0.037433      0.65596 GOBP_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS
GOBP_MYELOID_CELL_APOPTOTIC_...         SET      32     -0.13838   -0.0033115      0.14571      0.82887 GOBP_MYELOID_CELL_APOPTOTIC_PROCESS
GOBP_MYELOID_CELL_DIFFERENTI...         SET     372     -0.03306   -0.0026892     0.042447      0.78196 GOBP_MYELOID_CELL_DIFFERENTIATION
GOBP_MYELOID_LEUKOCYTE_ACTIV...         SET     227  -0.00082556  -5.2526e-05     0.055577      0.50593 GOBP_MYELOID_LEUKOCYTE_ACTIVATION
GOBP_MYELOID_LEUKOCYTE_CYTOK...         SET      30    -0.036457  -0.00084474      0.14298      0.60063 GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION
GOBP_MYELOID_LEUKOCYTE_DIFFE...         SET     200     0.050085    0.0029919     0.058033      0.19406 GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION
GOBP_NAD_METABOLIC_PROCESS              SET      29    -0.023189  -0.00052827      0.14794      0.56228 GOBP_NAD_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...1        SET     300      0.08671    0.0063381     0.046041     0.029831 GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...2        SET     206     0.059001    0.0035767     0.058399      0.15618 GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION
GOBP_NEGATIVE_REGULATION_OF_...3        SET     339    -0.050136   -0.0038942     0.046054      0.86184 GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION
GOBP_NEGATIVE_REGULATION_OF_...4        SET     256     0.052259    0.0035301     0.052345      0.15906 GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...5        SET     349     0.015558     0.001226     0.045287       0.3656 GOBP_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...6        SET     171     0.013578   0.00075018     0.065472      0.41785 GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...7        SET     408     0.049703    0.0042327     0.041939      0.11799 GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...8        SET      70     0.095283    0.0033712      0.10249      0.17626 GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...9        SET     513     0.017318    0.0016522     0.037251        0.321 GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION
GOBP_NEGATIVE_REGULATION_OF_...10       SET      18      -0.0538   -0.0009657      0.19111      0.61084 GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION
GOBP_NEGATIVE_REGULATION_OF_...11       SET      46     0.024551   0.00070432      0.12228      0.42044 GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION
GOBP_NEGATIVE_REGULATION_OF_...12       SET      18     -0.26894   -0.0048274      0.18741      0.92436 GOBP_NEGATIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...13       SET     199     0.072833    0.0043399     0.057762      0.10367 GOBP_NEGATIVE_REGULATION_OF_NEURON_DEATH
GOBP_NEGATIVE_REGULATION_OF_...14       SET     431   -0.0018316  -0.00016028     0.040039      0.51824 GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...15       SET     373    0.0067928   0.00055328     0.042874      0.43706 GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...16       SET     191     0.035755    0.0020874     0.060649      0.27775 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION
GOBP_NEGATIVE_REGULATION_OF_...17       SET     108     0.042836    0.0018819       0.0809      0.29823 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS
GOBP_NEGATIVE_REGULATION_OF_...18       SET     412  -0.00091957  -7.8691e-05     0.041271      0.50889 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS
GOBP_NEGATIVE_REGULATION_OF_...19       SET      20     0.076913    0.0014552      0.17984      0.33445 GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...20       SET      57     0.046037      0.00147      0.11995      0.35057 GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION
GOBP_NEGATIVE_REGULATION_OF_...21       SET      90    -0.047373   -0.0019002     0.092059      0.69658 GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS
GOBP_NEUROMUSCULAR_PROCESS_C...         SET      16     0.014526   0.00024583      0.21527       0.4731 GOBP_NEUROMUSCULAR_PROCESS_CONTROLLING_POSTURE
GOBP_NEURON_DEATH                       SET     334     0.046762    0.0036055     0.044939      0.14904 GOBP_NEURON_DEATH
GOBP_NEUROPEPTIDE_SIGNALING_...         SET      99     0.054712    0.0023015     0.085756      0.26174 GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY
GOBP_NEUROTRANSMITTER_TRANSP...         SET     198       0.1322    0.0078579     0.059743     0.013455 GOBP_NEUROTRANSMITTER_TRANSPORT
GOBP_NON_MEMBRANE_BOUNDED_OR...         SET     376     0.021582    0.0017649     0.041503      0.30153 GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY
GOBP_NUCLEOSIDE_PHOSPHATE_BI...         SET     239     0.049784    0.0032498      0.05357      0.17636 GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS
GOBP_ONE_CARBON_METABOLIC_PR...         SET      39     -0.20048   -0.0052959      0.14376      0.91842 GOBP_ONE_CARBON_METABOLIC_PROCESS
GOBP_ORGANELLE_TRANSPORT_ALO...         SET      80      0.15309    0.0057898     0.096687      0.05668 GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE
GOBP_ORGANIC_CYCLIC_COMPOUND...         SET     479   -0.0072176  -0.00066556     0.037255      0.57681 GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS
GOBP_OXIDATIVE_PHOSPHORYLATI...         SET     120     0.038887    0.0018006     0.078233      0.30957 GOBP_OXIDATIVE_PHOSPHORYLATION
GOBP_PATTERN_RECOGNITION_REC...         SET     168     0.024233    0.0013271     0.061657      0.34715 GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY
GOBP_PENILE_ERECTION                    SET      11     -0.14053   -0.0019721      0.23351      0.72635 GOBP_PENILE_ERECTION
GOBP_PHAGOCYTOSIS                       SET     247      0.01942    0.0012886     0.054809      0.36155 GOBP_PHAGOCYTOSIS
GOBP_POSITIVE_REGULATION_OF_...1        SET     110    -0.018475  -0.00081911     0.078785       0.5927 GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...2        SET      35    -0.036355  -0.00090984      0.13831      0.60367 GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE
GOBP_POSITIVE_REGULATION_OF_...3        SET      16      0.18672    0.0031599      0.21581      0.19347 GOBP_POSITIVE_REGULATION_OF_BONE_RESORPTION
GOBP_POSITIVE_REGULATION_OF_...4        SET      93      -0.0943   -0.0038449      0.08868      0.85619 GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION
GOBP_POSITIVE_REGULATION_OF_...5        SET      41     -0.07518   -0.0020363      0.12797      0.72157 GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION
GOBP_POSITIVE_REGULATION_OF_...6        SET     364   1.6208e-05   1.3043e-06      0.04415      0.49985 GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION
GOBP_POSITIVE_REGULATION_OF_...7        SET     428   -0.0097697  -0.00085198     0.041226      0.59366 GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION
GOBP_POSITIVE_REGULATION_OF_...8        SET     279   -0.0087151  -0.00061444     0.050449      0.56858 GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION
GOBP_POSITIVE_REGULATION_OF_...9        SET      63      0.06879    0.0023091      0.11474      0.27441 GOBP_POSITIVE_REGULATION_OF_CELL_KILLING
GOBP_POSITIVE_REGULATION_OF_...10       SET     460    -0.033929   -0.0030665     0.039191      0.80668 GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...11       SET      67     -0.11069   -0.0038315     0.097543      0.87176 GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...12       SET     277     0.056425     0.003964     0.050879      0.13371 GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...13       SET     215     -0.11358   -0.0070334     0.059504      0.97185 GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE
GOBP_POSITIVE_REGULATION_OF_...14       SET     239    -0.070839   -0.0046242     0.054202      0.90438 GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
GOBP_POSITIVE_REGULATION_OF_...15       SET     510     0.055094    0.0052408      0.03779     0.072435 GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...16       SET     131    -0.032518   -0.0015731     0.076175      0.66527 GOBP_POSITIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...17       SET      36     -0.14812   -0.0037594      0.14945      0.83918 GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...18       SET      59     -0.14647   -0.0047581      0.10795      0.91257 GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...19       SET     259     0.010654   0.00072384     0.052162      0.41908 GOBP_POSITIVE_REGULATION_OF_ION_TRANSPORT
GOBP_POSITIVE_REGULATION_OF_...20       SET     233    -0.012744  -0.00082144     0.055084      0.59148 GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION
