# TOTAL_GENES = 59313
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_B_CELL_DIFFERENTIATION             SET     142      0.17447    0.0085264     0.072703    0.0082052 GOBP_B_CELL_DIFFERENTIATION
GOBP_B_CELL_MEDIATED_IMMUNITY           SET     188      0.11575    0.0065066     0.065738     0.039137 GOBP_B_CELL_MEDIATED_IMMUNITY
GOBP_B_CELL_PROLIFERATION               SET     100      0.21096    0.0086551     0.086982    0.0076482 GOBP_B_CELL_PROLIFERATION
GOBP_CARBOHYDRATE_CATABOLIC_...         SET     152    -0.088976   -0.0044985     0.069457      0.89991 GOBP_CARBOHYDRATE_CATABOLIC_PROCESS
GOBP_CATECHOLAMINE_SECRETION            SET      57    0.0059229   0.00018352      0.11554      0.47956 GOBP_CATECHOLAMINE_SECRETION
GOBP_CELLULAR_COMPONENT_DISA...         SET     464   -0.0046118  -0.00040631     0.041062      0.54471 GOBP_CELLULAR_COMPONENT_DISASSEMBLY
GOBP_CELLULAR_RESPIRATION               SET     216     0.071963    0.0043348     0.064738      0.13316 GOBP_CELLULAR_RESPIRATION
GOBP_CELLULAR_RESPONSE_TO_IN...1        SET      23    -0.050613  -0.00099649      0.19459      0.60261 GOBP_CELLULAR_RESPONSE_TO_INTERFERON_BETA
GOBP_CELLULAR_RESPONSE_TO_IN...2        SET     113     -0.06944    -0.003028     0.088275      0.78425 GOBP_CELLULAR_RESPONSE_TO_INTERFERON_GAMMA
GOBP_CELLULAR_RESPONSE_TO_VI...         SET      83    -0.097314   -0.0036378     0.095815       0.8451 GOBP_CELLULAR_RESPONSE_TO_VIRUS
GOBP_CELL_ACTIVATION_INVOLVE...         SET     288      0.17196     0.011953     0.052136   0.00048682 GOBP_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_CELL_KILLING                       SET     180      0.16477    0.0090632     0.065392    0.0058739 GOBP_CELL_KILLING
GOBP_CENTRAL_NERVOUS_SYSTEM_...         SET     169      0.13898    0.0074083     0.066247     0.017957 GOBP_CENTRAL_NERVOUS_SYSTEM_NEURON_DIFFERENTIATION
GOBP_CHAPERONE_MEDIATED_PROT...         SET      71   -0.0073315  -0.00025351        0.108      0.52706 GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING
GOBP_CHROMOSOME_SEGREGATION             SET     345    -0.084378   -0.0064166      0.04978      0.95496 GOBP_CHROMOSOME_SEGREGATION
GOBP_CILIUM_MOVEMENT                    SET     186    0.0092753    0.0005186     0.061569      0.44013 GOBP_CILIUM_MOVEMENT
GOBP_CILIUM_ORGANIZATION                SET     408      0.01797    0.0014853     0.042761      0.33715 GOBP_CILIUM_ORGANIZATION
GOBP_CILIUM_OR_FLAGELLUM_DEP...         SET     151     0.021684    0.0010927     0.069585      0.37767 GOBP_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY
GOBP_CYTOKINE_MEDIATED_SIGNA...         SET     477      0.18272      0.01632     0.041909   6.5184e-06 GOBP_CYTOKINE_MEDIATED_SIGNALING_PATHWAY
GOBP_CYTOKINE_PRODUCTION_INV...         SET     101      0.22325    0.0092049     0.085089    0.0043497 GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_CYTOPLASMIC_TRANSLATION            SET     147     -0.12868   -0.0063981      0.08142      0.94299 GOBP_CYTOPLASMIC_TRANSLATION
GOBP_CYTOSKELETON_DEPENDENT_...         SET     100     -0.16806   -0.0068948     0.085151      0.97579 GOBP_CYTOSKELETON_DEPENDENT_CYTOKINESIS
GOBP_DEFENSE_RESPONSE_TO_BAC...         SET     320     0.061738    0.0045226     0.052612      0.12031 GOBP_DEFENSE_RESPONSE_TO_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_GRA...         SET      96     0.029471    0.0011847     0.098172      0.38202 GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM
GOBP_DEFENSE_RESPONSE_TO_SYM...         SET     289     0.067331    0.0046885     0.052501     0.099845 GOBP_DEFENSE_RESPONSE_TO_SYMBIONT
GOBP_DENDRITIC_CELL_DIFFEREN...         SET      49      0.19902    0.0057179      0.12969     0.062455 GOBP_DENDRITIC_CELL_DIFFERENTIATION
GOBP_DETECTION_OF_BIOTIC_STI...         SET      36    -0.026606  -0.00065529      0.14276      0.57392 GOBP_DETECTION_OF_BIOTIC_STIMULUS
GOBP_DETECTION_OF_EXTERNAL_B...         SET      24    -0.071995   -0.0014479      0.18729      0.64966 GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS
GOBP_DETECTION_OF_MOLECULE_O...         SET      12     0.094502    0.0013441      0.24487      0.34977 GOBP_DETECTION_OF_MOLECULE_OF_BACTERIAL_ORIGIN
GOBP_DETECTION_OF_OTHER_ORGA...         SET      19      -0.2083   -0.0037276      0.21364      0.83523 GOBP_DETECTION_OF_OTHER_ORGANISM
GOBP_DE_NOVO_PROTEIN_FOLDING            SET      42      0.13691    0.0036419      0.14149      0.16662 GOBP_DE_NOVO_PROTEIN_FOLDING
GOBP_DICARBOXYLIC_ACID_TRANS...         SET      92    -0.084197   -0.0033135     0.088419      0.82951 GOBP_DICARBOXYLIC_ACID_TRANSPORT
GOBP_DIENCEPHALON_DEVELOPMENT           SET      75     0.025492   0.00090593      0.10327      0.40251 GOBP_DIENCEPHALON_DEVELOPMENT
GOBP_DIVALENT_INORGANIC_CATI...         SET     506    0.0034069   0.00031333     0.040531      0.46651 GOBP_DIVALENT_INORGANIC_CATION_HOMEOSTASIS
GOBP_DNA_GEOMETRIC_CHANGE               SET      94    -0.058878   -0.0023421     0.087929      0.74844 GOBP_DNA_GEOMETRIC_CHANGE
GOBP_DNA_REPLICATION                    SET     278    -0.036238   -0.0024751     0.054812      0.74574 GOBP_DNA_REPLICATION
GOBP_ELECTRON_TRANSPORT_CHAIN           SET     153      0.14944      0.00758     0.075092     0.023296 GOBP_ELECTRON_TRANSPORT_CHAIN
GOBP_ENERGY_DERIVATION_BY_OX...         SET     305    0.0062171   0.00044468     0.053127      0.45342 GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS
GOBP_EOSINOPHIL_CHEMOTAXIS              SET      18     0.039006   0.00067941       0.2336      0.43369 GOBP_EOSINOPHIL_CHEMOTAXIS
GOBP_EOSINOPHIL_MIGRATION               SET      22    -0.077561   -0.0014935      0.19471      0.65481 GOBP_EOSINOPHIL_MIGRATION
GOBP_EPITHELIAL_CILIUM_MOVEM...         SET      12     0.027546   0.00039177      0.27045      0.45944 GOBP_EPITHELIAL_CILIUM_MOVEMENT_INVOLVED_IN_DETERMINATION_OF_LEFT_RIGHT_ASYMMETRY
GOBP_ERK1_AND_ERK2_CASCADE              SET     336     0.044047    0.0033058     0.049475      0.18666 GOBP_ERK1_AND_ERK2_CASCADE
GOBP_ESTABLISHMENT_OF_ORGANE...         SET     405    -0.051598   -0.0042491     0.044968       0.8744 GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION
GOBP_ESTABLISHMENT_OF_PROTEI...         SET     422    0.0015925   0.00013385     0.041377      0.48465 GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE
GOBP_EXTERNAL_ENCAPSULATING_...         SET     309     0.032452    0.0023362     0.050835      0.26162 GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION
GOBP_FOREBRAIN_DEVELOPMENT              SET     374     0.068764    0.0054432     0.046343     0.068934 GOBP_FOREBRAIN_DEVELOPMENT
GOBP_GENERATION_OF_PRECURSOR...         SET     477     0.030859    0.0027562     0.041068      0.22621 GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY
GOBP_HUMORAL_IMMUNE_RESPONSE            SET     286     0.034492    0.0023893     0.055544      0.26731 GOBP_HUMORAL_IMMUNE_RESPONSE
GOBP_IMMUNE_RESPONSE_REGULAT...         SET     452     0.071972    0.0062589     0.042293     0.044405 GOBP_IMMUNE_RESPONSE_REGULATING_SIGNALING_PATHWAY
GOBP_IMPORT_ACROSS_PLASMA_ME...         SET     181     0.084948    0.0046855     0.064614     0.094309 GOBP_IMPORT_ACROSS_PLASMA_MEMBRANE
GOBP_IMPORT_INTO_CELL                   SET     231     0.067976    0.0042339     0.057371      0.11804 GOBP_IMPORT_INTO_CELL
GOBP_INTERFERON_BETA_PRODUCT...         SET      57     -0.01064  -0.00032969      0.11817      0.53587 GOBP_INTERFERON_BETA_PRODUCTION
GOBP_INTERLEUKIN_10_PRODUCTI...         SET      63      0.28433    0.0092617      0.11336    0.0060691 GOBP_INTERLEUKIN_10_PRODUCTION
GOBP_INTERLEUKIN_8_PRODUCTION           SET     103      0.16521    0.0068788     0.089437     0.032359 GOBP_INTERLEUKIN_8_PRODUCTION
GOBP_INTRACILIARY_TRANSPORT             SET      38     0.069381    0.0017556      0.13064      0.29768 GOBP_INTRACILIARY_TRANSPORT
GOBP_LEUKOCYTE_CELL_CELL_ADH...         SET     376      0.23689     0.018802     0.046249   1.5166e-07 GOBP_LEUKOCYTE_CELL_CELL_ADHESION
GOBP_LEUKOCYTE_MEDIATED_CYTO...         SET     128      0.15898    0.0073776     0.077883     0.020613 GOBP_LEUKOCYTE_MEDIATED_CYTOTOXICITY
GOBP_LEUKOCYTE_MEDIATED_IMMU...         SET     423      0.13942     0.011732     0.043265   0.00063581 GOBP_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_LEUKOCYTE_PROLIFERATION            SET     329      0.18261     0.013563     0.048059   7.2523e-05 GOBP_LEUKOCYTE_PROLIFERATION
GOBP_LYMPHOCYTE_MEDIATED_IMM...         SET     331      0.16513     0.012302     0.049631   0.00043892 GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY
GOBP_MACROAUTOPHAGY                     SET     308    -0.015002   -0.0010783     0.049354      0.61942 GOBP_MACROAUTOPHAGY
GOBP_MACROPHAGE_ACTIVATION              SET     106      0.19636    0.0082937      0.08291    0.0089358 GOBP_MACROPHAGE_ACTIVATION
GOBP_MACROPHAGE_CYTOKINE_PRO...         SET      17      0.25222    0.0042695      0.22017      0.12599 GOBP_MACROPHAGE_CYTOKINE_PRODUCTION
GOBP_MICROGLIAL_CELL_ACTIVAT...         SET      47      0.31443    0.0088477       0.1247    0.0058446 GOBP_MICROGLIAL_CELL_ACTIVATION
GOBP_MITOCHONDRIAL_RESPIRATO...         SET      89     0.061909    0.0023964      0.10019      0.26833 GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY
GOBP_MITOCHONDRION_LOCALIZAT...         SET      50    0.0096611   0.00028039      0.11841      0.46749 GOBP_MITOCHONDRION_LOCALIZATION
GOBP_MITOCHONDRION_ORGANIZAT...         SET     510    -0.001154  -0.00010655     0.038817      0.51186 GOBP_MITOCHONDRION_ORGANIZATION
GOBP_MITOTIC_NUCLEAR_DIVISION           SET     294    -0.077372   -0.0054338     0.052346       0.9303 GOBP_MITOTIC_NUCLEAR_DIVISION
GOBP_MITOTIC_SISTER_CHROMATI...         SET     173     -0.16278   -0.0087785     0.069775      0.99017 GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION
GOBP_MITOTIC_SPINDLE_ASSEMBLY           SET      71    -0.071652   -0.0024776      0.10494      0.75262 GOBP_MITOTIC_SPINDLE_ASSEMBLY
GOBP_MITOTIC_SPINDLE_ORGANIZ...         SET     127    -0.013915  -0.00064319     0.078296      0.57053 GOBP_MITOTIC_SPINDLE_ORGANIZATION
GOBP_MONONUCLEAR_CELL_DIFFER...         SET     432      0.19969      0.01698     0.041872   9.2857e-07 GOBP_MONONUCLEAR_CELL_DIFFERENTIATION
GOBP_MULTICELLULAR_ORGANISMA...         SET     518     0.037545    0.0034933     0.038973      0.16769 GOBP_MULTICELLULAR_ORGANISMAL_HOMEOSTASIS
GOBP_MYELOID_CELL_APOPTOTIC_...         SET      32       0.1985    0.0046095      0.15049     0.093583 GOBP_MYELOID_CELL_APOPTOTIC_PROCESS
GOBP_MYELOID_CELL_DIFFERENTI...         SET     390      0.12062    0.0097486     0.044139    0.0031419 GOBP_MYELOID_CELL_DIFFERENTIATION
GOBP_MYELOID_LEUKOCYTE_ACTIV...         SET     230      0.13355       0.0083     0.057466     0.010067 GOBP_MYELOID_LEUKOCYTE_ACTIVATION
GOBP_MYELOID_LEUKOCYTE_CYTOK...         SET      30      0.28506    0.0064093      0.15754     0.035194 GOBP_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION
GOBP_MYELOID_LEUKOCYTE_DIFFE...         SET     210      0.12119    0.0071985     0.059698     0.021177 GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION
GOBP_NAD_METABOLIC_PROCESS              SET      29    -0.011674  -0.00025808      0.15438      0.53014 GOBP_NAD_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...1        SET     320    -0.072855   -0.0053369     0.048012      0.93542 GOBP_NEGATIVE_REGULATION_OF_CATABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...2        SET     213      0.14753    0.0088248     0.059059    0.0062481 GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION
GOBP_NEGATIVE_REGULATION_OF_...3        SET     363     0.077774    0.0060657      0.04715     0.049525 GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION
GOBP_NEGATIVE_REGULATION_OF_...4        SET     267     0.082565    0.0055271     0.053308     0.060716 GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...5        SET     366     0.035072    0.0027465     0.047191      0.22869 GOBP_NEGATIVE_REGULATION_OF_HYDROLASE_ACTIVITY
GOBP_NEGATIVE_REGULATION_OF_...6        SET     179      0.10094    0.0055367     0.064205     0.057965 GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...7        SET     423      0.13717     0.011543      0.04221   0.00057778 GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...8        SET      73    -0.015787  -0.00055349     0.099221      0.56321 GOBP_NEGATIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...9        SET     535      0.04614    0.0043623      0.03813      0.11313 GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION
GOBP_NEGATIVE_REGULATION_OF_...10       SET      19      0.37332    0.0066805      0.17303     0.015484 GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_ACTIVATION
GOBP_NEGATIVE_REGULATION_OF_...11       SET      49      0.23411    0.0067261      0.11786     0.023507 GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRION_ORGANIZATION
GOBP_NEGATIVE_REGULATION_OF_...12       SET      18       0.4281    0.0074567      0.18318    0.0097189 GOBP_NEGATIVE_REGULATION_OF_NEUROINFLAMMATORY_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...13       SET     206    0.0058646   0.00034502     0.060086      0.46112 GOBP_NEGATIVE_REGULATION_OF_NEURON_DEATH
GOBP_NEGATIVE_REGULATION_OF_...14       SET     436      0.11219    0.0095834     0.042054    0.0038194 GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS
GOBP_NEGATIVE_REGULATION_OF_...15       SET     378     0.099856    0.0079462     0.044947     0.013157 GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION
GOBP_NEGATIVE_REGULATION_OF_...16       SET     198     0.033928     0.001957     0.063048      0.29525 GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION
GOBP_NEGATIVE_REGULATION_OF_...17       SET     113    -0.068261   -0.0029766     0.082745       0.7953 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS
GOBP_NEGATIVE_REGULATION_OF_...18       SET     428     0.061157    0.0051764     0.042654     0.075818 GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_EXTERNAL_STIMULUS
GOBP_NEGATIVE_REGULATION_OF_...19       SET      20    -0.010418  -0.00019127      0.19043      0.52181 GOBP_NEGATIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY
GOBP_NEGATIVE_REGULATION_OF_...20       SET      57      0.13459    0.0041702      0.12807      0.14666 GOBP_NEGATIVE_REGULATION_OF_VIRAL_GENOME_REPLICATION
GOBP_NEGATIVE_REGULATION_OF_...21       SET      91      0.17986    0.0070398     0.099062     0.034713 GOBP_NEGATIVE_REGULATION_OF_VIRAL_PROCESS
GOBP_NEUROMUSCULAR_PROCESS_C...         SET      17       0.2575    0.0043589      0.18658     0.083776 GOBP_NEUROMUSCULAR_PROCESS_CONTROLLING_POSTURE
GOBP_NEURON_DEATH                       SET     349     0.018365    0.0014046      0.04651      0.34647 GOBP_NEURON_DEATH
GOBP_NEUROPEPTIDE_SIGNALING_...         SET     107    -0.085218   -0.0036163     0.084691      0.84284 GOBP_NEUROPEPTIDE_SIGNALING_PATHWAY
GOBP_NEUROTRANSMITTER_TRANSP...         SET     207     0.073025    0.0043065     0.060253      0.11277 GOBP_NEUROTRANSMITTER_TRANSPORT
GOBP_NON_MEMBRANE_BOUNDED_OR...         SET     391    0.0033208   0.00026873     0.045064      0.47063 GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY
GOBP_NUCLEOSIDE_PHOSPHATE_BI...         SET     251     0.020423    0.0013257     0.055192      0.35568 GOBP_NUCLEOSIDE_PHOSPHATE_BIOSYNTHETIC_PROCESS
GOBP_ONE_CARBON_METABOLIC_PR...         SET      40      0.22345    0.0058008      0.13536     0.049396 GOBP_ONE_CARBON_METABOLIC_PROCESS
GOBP_ORGANELLE_TRANSPORT_ALO...         SET      84     0.053818    0.0020239     0.094946      0.28542 GOBP_ORGANELLE_TRANSPORT_ALONG_MICROTUBULE
GOBP_ORGANIC_CYCLIC_COMPOUND...         SET     498    0.0079594   0.00072626     0.039277       0.4197 GOBP_ORGANIC_CYCLIC_COMPOUND_CATABOLIC_PROCESS
GOBP_OXIDATIVE_PHOSPHORYLATI...         SET     125     0.085068    0.0039011     0.087759      0.16619 GOBP_OXIDATIVE_PHOSPHORYLATION
GOBP_PATTERN_RECOGNITION_REC...         SET     177     0.035059    0.0019123     0.066137      0.29802 GOBP_PATTERN_RECOGNITION_RECEPTOR_SIGNALING_PATHWAY
GOBP_PENILE_ERECTION                    SET      11    -0.036211  -0.00049309      0.32313      0.54461 GOBP_PENILE_ERECTION
GOBP_PHAGOCYTOSIS                       SET     281     0.011606   0.00079698      0.05392      0.41479 GOBP_PHAGOCYTOSIS
GOBP_POSITIVE_REGULATION_OF_...1        SET     114      0.20156    0.0088279     0.083376    0.0078175 GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...2        SET      36    -0.084535    -0.002082      0.14794      0.71613 GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE
GOBP_POSITIVE_REGULATION_OF_...3        SET      16    -0.025185  -0.00041359      0.22837      0.54391 GOBP_POSITIVE_REGULATION_OF_BONE_RESORPTION
GOBP_POSITIVE_REGULATION_OF_...4        SET     126      0.13023    0.0059961     0.084571     0.061795 GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION
GOBP_POSITIVE_REGULATION_OF_...5        SET      42      0.23423    0.0062308      0.12996     0.035753 GOBP_POSITIVE_REGULATION_OF_B_CELL_PROLIFERATION
GOBP_POSITIVE_REGULATION_OF_...6        SET     405        0.239     0.019682     0.045175   6.1242e-08 GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION
GOBP_POSITIVE_REGULATION_OF_...7        SET     441      0.24111     0.020713     0.042501   7.0583e-09 GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION
GOBP_POSITIVE_REGULATION_OF_...8        SET     288      0.31422     0.021842     0.052498   1.0882e-09 GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION
GOBP_POSITIVE_REGULATION_OF_...9        SET      65      0.19195     0.006351      0.11718     0.050698 GOBP_POSITIVE_REGULATION_OF_CELL_KILLING
GOBP_POSITIVE_REGULATION_OF_...10       SET     474       0.2111     0.018796     0.040539   9.6194e-08 GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...11       SET      69       0.1356    0.0046223      0.10564     0.099651 GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...12       SET     287      0.11715    0.0081296       0.0533     0.013977 GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...13       SET     220     0.037247    0.0022642     0.062105      0.27434 GOBP_POSITIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE
GOBP_POSITIVE_REGULATION_OF_...14       SET     246      0.18412     0.011833     0.057196   0.00064327 GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
GOBP_POSITIVE_REGULATION_OF_...15       SET     561       0.1178     0.011402     0.038313    0.0010547 GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...16       SET     139     0.077496    0.0037472     0.081287      0.17021 GOBP_POSITIVE_REGULATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...17       SET      39     0.047633     0.001221      0.14156      0.36826 GOBP_POSITIVE_REGULATION_OF_INTERFERON_BETA_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...18       SET      62      0.19688    0.0063622      0.11108     0.038158 GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...19       SET     271     0.088222    0.0059497     0.052845     0.047516 GOBP_POSITIVE_REGULATION_OF_ION_TRANSPORT
GOBP_POSITIVE_REGULATION_OF_...20       SET     242      0.35589     0.022686     0.057153   2.3991e-10 GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION
