GENE_ID	GENE_NAME	GENE_DESCRIPTION	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000022766.15	Serpind1	serine (or cysteine) peptidase inhibitor, clade D, member 1 	101.0390303	-1.13690925	0.21578816	-5.268635919	1.37441E-07	5.93168E-05
ENSMUSG00000043670.5	Diras1	DIRAS family, GTP-binding RAS-like 1 	3707.067604	0.375073414	0.071389838	5.253876779	1.48931E-07	6.26272E-05
ENSMUSG00000031841.20	Cdh13	cadherin 13 	5013.140533	-0.229855011	0.044366474	-5.180826639	2.20905E-07	8.93744E-05
ENSMUSG00000068129.6	Cst7	cystatin F (leukocystatin) 	14.59996189	3.417027139	0.659823199	5.178701118	2.23436E-07	8.93744E-05
ENSMUSG00000003282.10	Plag1	pleiomorphic adenoma gene 1 	360.1679172	-0.55072404	0.108986204	-5.053153707	4.34574E-07	0.000169691
ENSMUSG00000015966.18	Il17rb	interleukin 17 receptor B 	127.6216178	0.986729663	0.196752848	5.015071824	5.30137E-07	0.000202192
ENSMUSG00000039960.6	Rhou	ras homolog family member U 	1066.4391	-0.399479955	0.080412366	-4.967892042	6.76846E-07	0.000252279
ENSMUSG00000073680.3	Tmem88b	transmembrane protein 88B 	4121.568638	-0.495271265	0.100141566	-4.945711201	7.58664E-07	0.000276491
ENSMUSG00000030683.12	Sez6l2	seizure related 6 homolog like 2 	10338.28999	-0.38240199	0.077919865	-4.907631579	9.21828E-07	0.000328652
ENSMUSG00000079235.11	Ccdc13	coiled-coil domain containing 13 	265.9759579	-0.711929885	0.145472861	-4.89390174	9.88562E-07	0.000340992
ENSMUSG00000024479.4	Mal2	mal, T cell differentiation protein 2 	3726.942808	-0.227921201	0.046590337	-4.892027292	9.98026E-07	0.000340992
ENSMUSG00000040952.17	Rps19	ribosomal protein S19 	4734.336273	-0.235492705	0.048269001	-4.878756564	1.06757E-06	0.000357308
ENSMUSG00000020454.18	Eif4enif1	eukaryotic translation initiation factor 4E nuclear import factor 1 	2136.192585	0.66058104	0.136083457	4.854234714	1.20853E-06	0.000396396
ENSMUSG00000035967.16	Ints6l	integrator complex subunit 6 like 	4784.877191	-0.251916454	0.052215052	-4.824594529	1.40288E-06	0.000451123
ENSMUSG00000101523.3	Csnk2a1-ps3	casein kinase 2, alpha 1 polypeptide, pseudogene 3 	223.3818209	1.57768632	0.329201295	4.792466926	1.64743E-06	0.000519574
ENSMUSG00000020758.16	Itgb4	integrin beta 4 	854.8782812	-0.9203273	0.192686998	-4.776281285	1.78567E-06	0.000552546
ENSMUSG00000034855.14	Cxcl10	chemokine (C-X-C motif) ligand 10 	20.72367352	2.625438312	0.555174335	4.72903401	2.25591E-06	0.000685127
ENSMUSG00000030744.14	Rps3	ribosomal protein S3 	7844.036018	-0.191114038	0.04054164	-4.714018484	2.42879E-06	0.00072422
ENSMUSG00000095325.4	Zfp870	zinc finger protein 870 	434.2434129	-0.467402124	0.09972337	-4.68698684	2.77257E-06	0.000811966
ENSMUSG00000001986.17	Gria3	glutamate receptor, ionotropic, AMPA3 (alpha 3) 	9245.683644	-0.147513119	0.031664535	-4.658622678	3.18332E-06	0.000905927
ENSMUSG00000030317.9	Timp4	tissue inhibitor of metalloproteinase 4 	997.6022332	0.345863438	0.074262703	4.657296635	3.20389E-06	0.000905927
ENSMUSG00000061232.17	H2-K1	histocompatibility 2, K1, K region 	939.7215803	0.412512523	0.08888964	4.640726665	3.47186E-06	0.000954621
ENSMUSG00000024197.11	Plin3	perilipin 3 	642.1187945	-0.616607062	0.132903745	-4.639501018	3.49251E-06	0.000954621
ENSMUSG00000038173.16	Enpp6	ectonucleotide pyrophosphatase/phosphodiesterase 6 	955.5697265	-0.57527448	0.124434508	-4.623110508	3.78028E-06	0.001003804
ENSMUSG00000024810.17	Il33	interleukin 33 	1765.96449	-0.531289642	0.114940241	-4.622311864	3.79487E-06	0.001003804
ENSMUSG00000033910.14	Gucy1a1	guanylate cyclase 1, soluble, alpha 1 	7440.07714	-0.25975078	0.056356281	-4.609083096	4.04449E-06	0.001046802
ENSMUSG00000041133.12	Smc1a	structural maintenance of chromosomes 1A 	3593.516896	-0.208444385	0.045245085	-4.60700611	4.08508E-06	0.001046802
ENSMUSG00000060036.15	Rpl3	ribosomal protein L3 	17567.70919	-0.149989424	0.032875191	-4.562389484	5.05747E-06	0.001276039
ENSMUSG00000074896.4	Ifit3	interferon-induced protein with tetratricopeptide repeats 3 	418.0879261	1.057789239	0.232196205	4.555583665	5.22403E-06	0.001281088
ENSMUSG00000036777.9	Anln	anillin, actin binding protein 	2248.617738	-0.673469109	0.147956771	-4.551796473	5.31898E-06	0.001281088
ENSMUSG00000025915.15	Sgk3	serum/glucocorticoid regulated kinase 3 	1789.113205	-0.253254651	0.05565938	-4.550080367	5.36254E-06	0.001281088
ENSMUSG00000000308.15	Ckmt1	creatine kinase, mitochondrial 1, ubiquitous 	5464.003029	0.203690161	0.044776832	4.54900782	5.38994E-06	0.001281088
ENSMUSG00000020460.16	Rps27a	ribosomal protein S27A 	5413.199613	-0.21291826	0.046965223	-4.533530271	5.80059E-06	0.001358997
ENSMUSG00000020458.17	Rtn4	reticulon 4 	25647.30061	-0.228232847	0.050415564	-4.527031473	5.9818E-06	0.001381712
ENSMUSG00000029063.17	Nadk	NAD kinase 	2577.34454	0.301155025	0.067555783	4.457871878	8.27774E-06	0.001885484
ENSMUSG00000022514.15	Il1rap	interleukin 1 receptor accessory protein 	1546.772921	-0.279522091	0.062870679	-4.445984938	8.74901E-06	0.001965531
ENSMUSG00000015314.11	Slamf6	SLAM family member 6 	29.74187242	1.856045405	0.420995381	4.408707291	1.03989E-05	0.002304631
ENSMUSG00000014226.11	Cacybp	calcyclin binding protein 	2035.722091	0.353863821	0.080398003	4.401400634	1.07554E-05	0.002351854
ENSMUSG00000029797.14	Sspo	SCO-spondin 	343.8666062	-0.504680731	0.115100448	-4.384698218	1.16147E-05	0.002506323
ENSMUSG00000034336.4	Ina	internexin neuronal intermediate filament protein, alpha 	5339.836469	0.311684415	0.071221433	4.376272701	1.20726E-05	0.002571306
ENSMUSG00000024186.16	Rgs11	regulator of G-protein signaling 11 	2175.996853	-0.397474862	0.091077066	-4.364159707	1.27612E-05	0.002683131
ENSMUSG00000022594.15	Lynx1	Ly6/neurotoxin 1 	16086.24018	0.246366648	0.056630734	4.350405378	1.35886E-05	0.002820926
ENSMUSG00000020620.15	Abca8b	ATP-binding cassette, sub-family A (ABC1), member 8b 	1407.950724	-0.320793973	0.073955224	-4.337678353	1.43996E-05	0.002951911
ENSMUSG00000036905.9	C1qb	complement component 1, q subcomponent, beta polypeptide 	2020.493329	0.363671735	0.084167369	4.320816215	1.55453E-05	0.003137164
ENSMUSG00000100862.2	Gm10925	predicted gene 10925 	255563.9227	-0.699186689	0.161892599	-4.318830461	1.56858E-05	0.003137164
ENSMUSG00000028081.7	Rps3a1	ribosomal protein S3A1 	9611.025534	-0.139147413	0.032278321	-4.310862768	1.62619E-05	0.003213191
ENSMUSG00000051041.9	Olfml1	olfactomedin-like 1 	498.0601481	-0.532435257	0.123628427	-4.306738117	1.6568E-05	0.003234696
ENSMUSG00000046818.8	Ddit4l	DNA-damage-inducible transcript 4-like 	1145.751487	-0.609008242	0.141770733	-4.295726118	1.74122E-05	0.003347317
ENSMUSG00000078249.6	Hmga1b	high mobility group AT-hook 1B 	60.71670666	-7.810315739	1.818915957	-4.293939866	1.7553E-05	0.003347317
ENSMUSG00000033706.14	Smyd5	SET and MYND domain containing 5 	2273.704046	-0.247438898	0.057925815	-4.271651564	1.94031E-05	0.003657588
ENSMUSG00000026202.14	Tuba4a	tubulin, alpha 4A 	14682.40999	0.204968638	0.04809701	4.261567135	2.02998E-05	0.003783151
ENSMUSG00000047428.15	Dlk2	delta like non-canonical Notch ligand 2 	515.733408	0.530424327	0.124948706	4.24513663	2.1846E-05	0.00402556
ENSMUSG00000002147.19	Stat6	signal transducer and activator of transcription 6 	794.1212176	0.557179902	0.131647649	4.232357398	2.31255E-05	0.004213421
ENSMUSG00000051067.9	Lingo3	leucine rich repeat and Ig domain containing 3 	4677.051826	0.355168692	0.083966181	4.229901694	2.33793E-05	0.004213421
ENSMUSG00000036896.6	C1qc	complement component 1, q subcomponent, C chain 	1785.535421	0.305957879	0.072488059	4.220803879	2.43433E-05	0.004311901
ENSMUSG00000052798.14	Nup107	nucleoporin 107 	658.0288863	-0.501108105	0.118751551	-4.21980261	2.44516E-05	0.004311901
ENSMUSG00000035004.4	Igsf6	immunoglobulin superfamily, member 6 	47.94900531	1.178480363	0.279464532	4.216922818	2.47659E-05	0.004320854
ENSMUSG00000018930.4	Ccl4	chemokine (C-C motif) ligand 4 	13.43442109	2.069958535	0.491618519	4.210497479	2.54809E-05	0.004398807
ENSMUSG00000000088.8	Cox5a	cytochrome c oxidase subunit 5A 	3163.533362	0.179284111	0.042720801	4.196646705	2.70896E-05	0.004627807
ENSMUSG00000038526.15	Car14	carbonic anhydrase 14 	734.7513269	-0.477418971	0.114092973	-4.184473066	2.85828E-05	0.004832562
ENSMUSG00000028464.17	Tpm2	tropomyosin 2, beta 	616.9698363	0.724873437	0.173401427	4.180319904	2.91099E-05	0.004871457
ENSMUSG00000046607.7	Hrk	harakiri, BCL2 interacting protein (contains only BH3 domain) 	2384.319009	-0.322406628	0.077375011	-4.166805585	3.08898E-05	0.00507615
ENSMUSG00000051054.5	1700014D04Rik	RIKEN cDNA 1700014D04 gene 	71.16925309	-1.893054615	0.454368117	-4.166345622	3.09521E-05	0.00507615
ENSMUSG00000032558.20	Nphp3	nephronophthisis 3 (adolescent) 	624.2763618	-2.058765752	0.495190222	-4.15752505	3.21714E-05	0.005223871
ENSMUSG00000024925.12	Rnaseh2c	ribonuclease H2, subunit C 	172.9350819	0.664305709	0.160176045	4.147347442	3.36349E-05	0.005407971
ENSMUSG00000041426.13	Hibch	3-hydroxyisobutyryl-Coenzyme A hydrolase 	600.5399071	0.404520637	0.097975848	4.128779123	3.64695E-05	0.005806787
ENSMUSG00000026335.17	Pam	peptidylglycine alpha-amidating monooxygenase 	6234.680469	-0.199893689	0.048507056	-4.120919849	3.77363E-05	0.00595072
ENSMUSG00000055900.15	Tmem69	transmembrane protein 69 	382.1199428	0.68353735	0.166028393	4.116990693	3.83852E-05	0.005995396
ENSMUSG00000062488.10	Ifit3b	interferon-induced protein with tetratricopeptide repeats 3B 	233.2790821	1.050350602	0.255568627	4.109857357	3.95904E-05	0.006125301
ENSMUSG00000060716.8	Plekhh1	pleckstrin homology domain containing, family H (with MyTH4 domain) member 1 	3488.138927	-0.340096589	0.083084249	-4.093394285	4.25104E-05	0.006515612
ENSMUSG00000019359.15	Gdpd2	glycerophosphodiester phosphodiesterase domain containing 2 	269.2921724	0.572416318	0.140059351	4.086955375	4.37071E-05	0.006637006
ENSMUSG00000034120.19	Srsf2	serine and arginine-rich splicing factor 2 	4678.019434	0.23793275	0.058286836	4.082100971	4.46304E-05	0.006715032
ENSMUSG00000034278.4	Dnajc17	DnaJ heat shock protein family (Hsp40) member C17 	301.5584745	-0.418672343	0.102751242	-4.07462077	4.60894E-05	0.006871509
ENSMUSG00000034422.15	Parp14	poly (ADP-ribose) polymerase family, member 14 	276.0186863	0.654771259	0.161019848	4.066400937	4.77448E-05	0.007054182
ENSMUSG00000029810.16	Tmem176b	transmembrane protein 176B 	942.3820064	0.389477624	0.096149376	4.050755589	5.10525E-05	0.007475546
ENSMUSG00000033768.18	Nrxn2	neurexin II 	7745.650823	0.308902759	0.076333296	4.046763023	5.19308E-05	0.007536855
ENSMUSG00000103476.2	Strit1	small transmembrane regulator of ion transport 1 	29.50058713	-1.3889186	0.343926621	-4.03841551	5.38135E-05	0.007689711
ENSMUSG00000031320.10	Rps4x	ribosomal protein S4, X-linked 	9082.055478	-0.155337073	0.038469349	-4.037943864	5.39218E-05	0.007689711
ENSMUSG00000042453.15	Reln	reelin 	8564.708188	-0.250551492	0.062103291	-4.034431782	5.47346E-05	0.007701034
ENSMUSG00000034459.9	Ifit1	interferon-induced protein with tetratricopeptide repeats 1 	138.6428693	0.903698219	0.224142335	4.031805149	5.53501E-05	0.007701034
ENSMUSG00000026887.10	Mrrf	mitochondrial ribosome recycling factor 	584.1247755	0.373442287	0.092629921	4.031551395	5.54099E-05	0.007701034
ENSMUSG00000036887.6	C1qa	complement component 1, q subcomponent, alpha polypeptide 	1688.998993	0.324970951	0.080769228	4.02345	5.73518E-05	0.007903941
ENSMUSG00000032128.16	Robo3	roundabout guidance receptor 3 	1213.481953	0.67706677	0.168460093	4.019152299	5.84079E-05	0.007982414
ENSMUSG00000033382.16	Trappc8	trafficking protein particle complex 8 	3017.015366	0.263972349	0.065731342	4.015928173	5.92123E-05	0.008025467
ENSMUSG00000018765.6	Fxr2	fragile X mental retardation, autosomal homolog 2 	4390.043657	0.196415864	0.048937678	4.013591815	5.98017E-05	0.00803892
ENSMUSG00000023067.15	Cdkn1a	cyclin-dependent kinase inhibitor 1A (P21) 	541.2128302	0.612535599	0.152901036	4.006091875	6.17316E-05	0.008230886
ENSMUSG00000086583.4	Gm15500	predicted pseudogene 15500 	5314.44836	-0.173205034	0.043272422	-4.00266557	6.26328E-05	0.008283694
ENSMUSG00000021186.10	Fbln5	fibulin 5 	351.1591334	-0.535234163	0.133813669	-3.999846709	6.33835E-05	0.008315919
ENSMUSG00000071708.12	Sms	spermine synthase 	3485.004209	0.229622783	0.057446366	3.997168109	6.41048E-05	0.008343796
ENSMUSG00000040459.12	Arglu1	arginine and glutamate rich 1 	7879.286748	-0.178041973	0.04459316	-3.992584813	6.53569E-05	0.008439795
ENSMUSG00000047583.10	Tyw3	tRNA-yW synthesizing protein 3 homolog (S. cerevisiae) 	432.9069182	-0.339489954	0.085305993	-3.979672949	6.90101E-05	0.008841924
ENSMUSG00000042662.17	Dusp15	dual specificity phosphatase-like 15 	861.2210167	0.268504164	0.067566584	3.973919446	7.06995E-05	0.008988151
ENSMUSG00000084416.4	Rpl10a-ps1	ribosomal protein L10A, pseudogene 1 	989.0179839	-0.707117199	0.178098363	-3.9703745	7.17597E-05	0.009047038
ENSMUSG00000033880.12	Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein 	756.5311069	0.754495621	0.190170947	3.96745997	7.26427E-05	0.009047038
ENSMUSG00000026260.13	Ndufa10	NADH:ubiquinone oxidoreductase subunit A10 	3900.176404	0.254929079	0.064264272	3.96688657	7.28176E-05	0.009047038
ENSMUSG00000051235.11	Gen1	GEN1, Holliday junction 5' flap endonuclease 	75.94231871	-1.175589691	0.296838691	-3.96036543	7.48352E-05	0.009202309
ENSMUSG00000022490.8	Ppp1r1a	protein phosphatase 1, regulatory inhibitor subunit 1A 	3017.097554	0.331342244	0.083688409	3.959236992	7.51896E-05	0.009202309
ENSMUSG00000048978.15	Nrsn1	neurensin 1 	10483.28187	-0.179362806	0.045568326	-3.936128957	8.28065E-05	0.010059455
ENSMUSG00000000386.17	Mx1	MX dynamin-like GTPase 1 	34.3888679	1.661239023	0.422873919	3.928449947	8.54951E-05	0.010309708
ENSMUSG00000037771.12	Slc32a1	solute carrier family 32 (GABA vesicular transporter), member 1 	8139.806899	0.20331937	0.051999308	3.910039943	9.22809E-05	0.011020365
ENSMUSG00000031835.17	Mbtps1	membrane-bound transcription factor peptidase, site 1 	6473.076012	-0.292830467	0.074914528	-3.908860892	9.27323E-05	0.011020365
ENSMUSG00000067212.9	H2-T23	histocompatibility 2, T region locus 23 	563.3169831	0.337269759	0.086484249	3.899782482	9.62791E-05	0.011359554
ENSMUSG00000022438.7	Parvb	parvin, beta 	1353.839916	0.364208757	0.093470389	3.896514834	9.75868E-05	0.0114316
ENSMUSG00000020696.19	Rffl	ring finger and FYVE like domain containing protein 	940.1097213	-0.260779662	0.06700076	-3.892189596	9.93436E-05	0.011554854
ENSMUSG00000054150.13	Syne3	spectrin repeat containing, nuclear envelope family member 3 	163.7614006	-0.709817373	0.182709944	-3.884941116	0.000102355	0.011821246
ENSMUSG00000046434.17	Hnrnpa1	heterogeneous nuclear ribonucleoprotein A1 	10774.13919	-0.154040712	0.039766616	-3.873618843	0.000107231	0.01229783
ENSMUSG00000039013.17	Siglecf	sialic acid binding Ig-like lectin F 	22.6424794	1.454532253	0.376273357	3.865626478	0.000110804	0.012619391
ENSMUSG00000046721.12	Rpl14-ps1	ribosomal protein L14, pseudogene 1 	777.0429874	-0.764470107	0.198501413	-3.851207388	0.000117537	0.013167705
ENSMUSG00000034708.13	Grn	granulin 	2206.194851	0.197436588	0.051269775	3.850935339	0.000117668	0.013167705
ENSMUSG00000026628.14	Atf3	activating transcription factor 3 	40.31878498	1.168695511	0.30354252	3.850187151	0.000118028	0.013167705
ENSMUSG00000029007.9	Agtrap	angiotensin II, type I receptor-associated protein 	485.5241582	-1.166054442	0.30306445	-3.847546099	0.000119307	0.013207135
ENSMUSG00000039943.17	Plcb4	phospholipase C, beta 4 	1489.842872	0.566435617	0.147273669	3.846143188	0.000119992	0.013207135
ENSMUSG00000081406.5	Rps6-ps4	ribosomal protein S6, pseudogene 4 	226.7943144	-11.25405108	2.929026761	-3.842249319	0.000121912	0.013329035
ENSMUSG00000081225.4	Cyp2j12	cytochrome P450, family 2, subfamily j, polypeptide 12 	223.7140342	-0.532308801	0.138741849	-3.83668522	0.000124706	0.013490609
ENSMUSG00000038180.12	Spag4	sperm associated antigen 4 	121.0940635	0.984775734	0.256716867	3.836038301	0.000125035	0.013490609
ENSMUSG00000036622.16	Atp13a2	ATPase type 13A2 	4556.173064	0.29529061	0.077146567	3.827657168	0.000129369	0.01386698
ENSMUSG00000037280.13	Galnt6	polypeptide N-acetylgalactosaminyltransferase 6 	1035.686421	-0.385840473	0.101085486	-3.81697205	0.000135099	0.01438642
ENSMUSG00000091617.9	Gm3752	predicted gene 3752 	17.32433697	4.443828906	1.164888695	3.814809883	0.000136288	0.01438642
ENSMUSG00000079017.4	Ifi27l2a	interferon, alpha-inducible protein 27 like 2A 	44.87039514	0.998206898	0.261735538	3.813799631	0.000136846	0.01438642
ENSMUSG00000041801.6	Phlda3	pleckstrin homology like domain, family A, member 3 	594.7201315	0.323714963	0.08510496	3.80371443	0.000142542	0.014889789
ENSMUSG00000035773.7	Kiss1r	KISS1 receptor 	205.9959656	0.537665325	0.14158199	3.797554517	0.000146131	0.015050619
ENSMUSG00000068037.12	Mas1	MAS1 oncogene 	247.6791411	-0.788783584	0.207742265	-3.796933593	0.000146497	0.015050619
ENSMUSG00000003378.10	Grik5	glutamate receptor, ionotropic, kainate 5 (gamma 2) 	7851.627266	-0.173648516	0.045740774	-3.796361548	0.000146835	0.015050619
ENSMUSG00000032690.17	Oas2	2'-5' oligoadenylate synthetase 2 	50.15401565	1.063606824	0.280933985	3.785967094	0.000153112	0.015596495
ENSMUSG00000030630.17	Fah	fumarylacetoacetate hydrolase 	578.2115613	-0.287578993	0.076027217	-3.782579499	0.000155211	0.015712769
ENSMUSG00000021194.7	Chga	chromogranin A 	3581.862152	0.347725206	0.0924712	3.76036223	0.000169667	0.016979853
ENSMUSG00000029304.15	Spp1	secreted phosphoprotein 1 	389.71247	1.099294872	0.292352508	3.760169119	0.000169799	0.016979853
ENSMUSG00000026418.17	Tnni1	troponin I, skeletal, slow 1 	266.0217104	-0.505934715	0.134808384	-3.752991455	0.000174737	0.017307472
ENSMUSG00000032399.9	Rpl4	ribosomal protein L4 	15222.1382	-0.123382457	0.032887765	-3.751621841	0.000175694	0.017307472
ENSMUSG00000057098.15	Ebf1	early B cell factor 1 	852.143209	-0.750382423	0.200056983	-3.750843443	0.000176241	0.017307472
ENSMUSG00000001864.14	Aif1l	allograft inflammatory factor 1-like 	496.6020114	-0.566148251	0.151397009	-3.739494284	0.000184391	0.018000058
ENSMUSG00000054986.14	Sec14l3	SEC14-like lipid binding 3 	119.4439332	-0.711204891	0.190769695	-3.728081077	0.000192943	0.018723493
ENSMUSG00000036528.17	Ppfibp2	PTPRF interacting protein, binding protein 2 (liprin beta 2) 	655.1747752	-0.312544186	0.083910063	-3.724752148	0.000195507	0.018860696
ENSMUSG00000036990.14	Otud4	OTU domain containing 4 	4212.975904	-0.211223657	0.057013794	-3.704781642	0.000211573	0.020291203
ENSMUSG00000040987.16	Mill2	MHC I like leukocyte 2 	169.7614299	-0.682847059	0.184489881	-3.70127107	0.000214522	0.020349102
ENSMUSG00000034317.15	Trim59	tripartite motif-containing 59 	1075.382239	-0.435597477	0.117702835	-3.700823987	0.000214901	0.020349102
ENSMUSG00000057367.13	Birc2	baculoviral IAP repeat-containing 2 	1892.825706	0.219712517	0.059387417	3.699647642	0.000215899	0.020349102
ENSMUSG00000029538.15	Srsf9	serine and arginine-rich splicing factor 9 	1373.529994	-0.21054747	0.057014443	-3.692879518	0.000221729	0.020779183
ENSMUSG00000002900.18	Lamb1	laminin B1 	1609.161102	-0.418735352	0.113479416	-3.689967469	0.000224283	0.020899073
ENSMUSG00000030786.19	Itgam	integrin alpha M 	1093.875605	-0.332365658	0.090123586	-3.687887645	0.000226123	0.020951551
ENSMUSG00000067873.12	Htatsf1	HIV TAT specific factor 1 	2888.738405	-0.21170774	0.057474263	-3.68352248	0.000230033	0.021194051
ENSMUSG00000028927.7	Padi2	peptidyl arginine deiminase, type II 	1906.523425	-0.515984795	0.140479032	-3.673037813	0.000239684	0.021828954
ENSMUSG00000052776.11	Oas1a	2'-5' oligoadenylate synthetase 1A 	51.34847478	1.165377554	0.317525108	3.670190248	0.00024237	0.021828954
ENSMUSG00000015702.14	Anxa9	annexin A9 	39.29790539	1.273150856	0.34691022	3.669972182	0.000242577	0.021828954
ENSMUSG00000026634.17	Angel2	angel homolog 2 	2921.521094	-0.186782957	0.05090559	-3.669203297	0.000243308	0.021828954
ENSMUSG00000021379.3	Id4	inhibitor of DNA binding 4 	7207.420152	-0.275922772	0.075205489	-3.668918002	0.000243579	0.021828954
