GENEID	ENSID	Gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj			
ENSMUSG00000063873	ENSG00000185052	Slc24a3	4121.434584	-0.293885282	0.079350744	-3.703623504	9.38E-06	0.001760246			
ENSMUSG00000070327	ENSG00000173821	Rnf213	3487.535125	0.308623005	0.083695512	3.68744988	1.01E-05	0.001865506			
ENSMUSG00000032579	ENSG00000114735	Hemk1	1157.173821	-0.670302539	0.184345075	-3.636129359	1.09E-05	0.001996788			
ENSMUSG00000032128	ENSG00000154134	Robo3	1425.642344	0.54768502	0.151566586	3.613494472	1.17E-05	0.002130245			
ENSMUSG00000005973	ENSG00000049449	Rcn1	6502.771581	-0.219900783	0.059831128	-3.675357489	1.21E-05	0.002174143			
ENSMUSG00000024014	ENSG00000137193	Pim1	546.1075698	0.656263575	0.182635113	3.593304507	1.25E-05	0.00221417			
ENSMUSG00000033063	ENSG00000154529	Cntnap3	3023.351442	-0.439237234	0.123499141	-3.556601525	1.44E-05	0.002536244			
ENSMUSG00000032766	ENSG00000127920	Gng11	1173.024391	-0.355850745	0.101898632	-3.492203351	1.95E-05	0.003388768			
ENSMUSG00000047369	ENSG00000185842	Dnah14	48.70894126	-0.012037875	0.042907145	-0.280556418	2.01E-05	0.003460101			
ENSMUSG00000042596	ENSG00000008197	Tfap2d	17.4685918	-0.006399004	0.040982892	-0.156138422	2.14E-05	0.003647573			
ENSMUSG00000026628	ENSG00000162772	Atf3	102.4601405	1.131852483	0.329495202	3.435110668	2.19E-05	0.003675269			
ENSMUSG00000025375	ENSG00000181409	Aatk	30597.68875	-0.197321901	0.055815964	-3.535223387	2.20E-05	0.003675269			
ENSMUSG00000042770	ENSG00000013583	Hebp1	2235.106723	-0.325620999	0.095766551	-3.400153771	2.59E-05	0.004280532			
ENSMUSG00000037280	ENSG00000139629	Galnt6	2160.18463	-0.357487473	0.105017791	-3.404065829	2.67E-05	0.004373647			
ENSMUSG00000021696	ENSG00000164181	Elovl7	2221.750629	-0.257033983	0.074810978	-3.43577895	2.86E-05	0.004633472			
ENSMUSG00000040794	ENSG00000172247	C1qtnf4	7437.162259	-0.261979087	0.076652307	-3.417758673	2.91E-05	0.004671255			
ENSMUSG00000040055	ENSG00000121742	Gjb6	2214.431245	0.317190459	0.093486526	3.392900252	2.94E-05	0.004677785			
ENSMUSG00000103677	ENSG00000262576	Pcdhga4	2747.02799	-0.250526955	0.073505489	-3.408275474	2.98E-05	0.004694646			
ENSMUSG00000029797	0	Sspo	621.288114	-0.680299001	0.204584264	-3.325275309	3.11E-05	0.004859948			
ENSMUSG00000000296	ENSG00000111907	Tpd52l1	1974.109932	-0.287169105	0.085691692	-3.351189559	3.18E-05	0.004915276			
ENSMUSG00000039316	ENSG00000131378	Rftn1	1235.345528	-0.316790109	0.094472644	-3.353246999	3.30E-05	0.00505214			
ENSMUSG00000027792	ENSG00000114200	Bche	669.4584512	-0.452230807	0.135962926	-3.326133235	3.33E-05	0.005061953			
ENSMUSG00000030878	ENSG00000140743	Cdr2	2413.081245	0.395950705	0.119156662	3.322942228	3.46E-05	0.005200132			
ENSMUSG00000039960	ENSG00000116574	Rhou	2428.932939	-0.318814695	0.095964701	-3.322207979	3.61E-05	0.005385432			
ENSMUSG00000022383	ENSG00000186951	Ppara	259.8592205	0.560725378	0.170579066	3.287187527	3.71E-05	0.005487103			
ENSMUSG00000047205	ENSG00000167065	Dusp18	2145.175044	-0.330391858	0.100909436	-3.274142356	4.15E-05	0.006058629			
ENSMUSG00000039001	ENSG00000171858	Rps21	10398.90349	-0.241463412	0.073105014	-3.302966478	4.17E-05	0.006058629			
ENSMUSG00000024661	ENSG00000167996	Fth1	39198.98838	-0.19957196	0.059585572	-3.349333636	4.26E-05	0.006127571			
ENSMUSG00000021750	ENSG00000168309	Fam107a	30123.96469	0.227679887	0.068527508	3.322459764	4.37E-05	0.006234748			
ENSMUSG00000057522	ENSG00000121067	Spop	8354.851479	-0.19883052	0.059642658	-3.33369649	4.48E-05	0.00633497			
ENSMUSG00000100755	0	Rps23-ps1	4936.398423	-0.25092733	0.077082106	-3.255325296	5.02E-05	0.007047854			
ENSMUSG00000049436	ENSG00000114638	Upk1b	33.33932518	-1.838668029	0.584023287	-3.148278623	5.43E-05	0.007562913			
ENSMUSG00000094281	0	Gm8034	7.642554791	0.002368813	0.040335983	0.058727039	5.58E-05	NA			
ENSMUSG00000026841	ENSG00000130720	Fibcd1	1610.516958	-0.331402281	0.104808069	-3.161992047	6.12E-05	0.008451713			
ENSMUSG00000020620	ENSG00000141338	Abca8b	3474.6302	-0.246777934	0.077641782	-3.17841668	6.42E-05	0.00879237			
ENSMUSG00000040629	ENSG00000143194	Mael	10.45105567	5.032832541	1.594526583	3.15631774	6.73E-05	NA			
ENSMUSG00000060314	ENSG00000005801	Zfp941	3384.567974	-0.473483494	0.153186993	-3.090885747	7.03E-05	0.009543177			
ENSMUSG00000003657	ENSG00000172137	Calb2	325.4725602	0.7966003	0.25869863	3.079259837	7.09E-05	0.009543177			
ENSMUSG00000015852	ENSG00000163534	Fcrls	1805.581431	-0.316665156	0.102064953	-3.102584655	7.49E-05	0.010006452			
ENSMUSG00000074151	ENSG00000140853	Nlrc5	151.4213521	1.217970499	0.405064916	3.006852611	8.21E-05	0.010876271			
ENSMUSG00000030220	ENSG00000111348	Arhgdib	2015.086802	-0.258116669	0.083810725	-3.079757038	8.77E-05	0.011474795			
ENSMUSG00000043298	ENSG00000179256	Smco3	1093.191102	-0.381281894	0.125428826	-3.0398267	8.80E-05	0.011474795			
ENSMUSG00000000982	ENSG00000276085	Ccl3	28.44803713	1.69264501	0.564694194	2.997454248	9.23E-05	0.011917982			
ENSMUSG00000029304	ENSG00000118785	Spp1	705.2121532	0.629373804	0.209780453	3.000154663	9.28E-05	0.011917982			
ENSMUSG00000000290	ENSG00000160255	Itgb2	530.6460396	0.394499929	0.130557694	3.021652088	9.43E-05	0.012022562			
ENSMUSG00000078898	0	Zfp968	6064.489034	-0.485588146	0.165209016	-2.939235144	0.000104311	0.013196176			
ENSMUSG00000030579	ENSG00000011600	Tyrobp	1327.450579	0.304787583	0.101502984	3.002745063	0.00010698	0.013432022			
ENSMUSG00000072720	ENSG00000133454	Myo18b	108.4816135	-0.952592565	0.324920725	-2.931769174	0.000111896	0.013926057			
ENSMUSG00000081225	0	Cyp2j12	457.9294873	-0.428955689	0.145426726	-2.949634504	0.000112583	0.013926057			
ENSMUSG00000027968	ENSG00000174720	Larp7	1485.24701	-0.270162475	0.090127171	-2.997569671	0.000113459	0.013931238			
ENSMUSG00000026395	ENSG00000081237	Ptprc	661.6673805	0.334202324	0.112789572	2.963060495	0.000116376	0.014185167			
ENSMUSG00000036353	ENSG00000169313	P2ry12	3435.589462	-0.233697478	0.077493681	-3.015697194	0.00011768	0.014240192			
ENSMUSG00000029093	ENSG00000184985	Sorcs2	11331.0411	-0.174329746	0.057113323	-3.052348168	0.000119525	0.014359308			
ENSMUSG00000052911	ENSG00000172037	Lamb2	3214.864186	0.261702164	0.087981863	2.974501294	0.000126634	0.015104757			
ENSMUSG00000024610	ENSG00000019582	Cd74	196.3457248	0.031002526	0.06040458	0.513247943	0.000137743	0.016313307			
ENSMUSG00000041828	0	Abca8a	935.6179006	-0.035962535	0.069295317	-0.518974969	0.000149803	0.017525393			
ENSMUSG00000020460	0	Rps27a	11677.26603	-0.183444425	0.063665482	-2.881379683	0.000150077	0.017525393			
ENSMUSG00000022489	ENSG00000123360	Pde1b	128815.1562	-0.149712087	0.051905159	-2.884339241	0.000152728	0.0176468			
ENSMUSG00000039013	ENSG00000105383	Siglecf	47.26222865	1.285151486	0.456597231	2.814628294	0.00015323	0.0176468			
ENSMUSG00000023992	ENSG00000095970	Trem2	1195.03965	0.278394691	0.096482178	2.885451991	0.000159708	0.018266827			
ENSMUSG00000041696	ENSG00000103710	Rasl12	263.990302	-0.527048556	0.187499701	-2.810930118	0.000165684	0.018821478			
ENSMUSG00000035305	ENSG00000185483	Ror1	751.9094989	-0.342409796	0.120711804	-2.836589166	0.000167051	0.018848593			
ENSMUSG00000074634	ENSG00000151881	Tmem267	2353.727668	0.24228492	0.084119883	2.880233669	0.000170486	0.019107069			
ENSMUSG00000032841	ENSG00000135362	Prr5l	2020.071242	-0.276507791	0.09686124	-2.854679446	0.000173235	0.019220941			
ENSMUSG00000015090	ENSG00000107317	Ptgds	11332.32761	-0.693795306	0.249928318	-2.775977172	0.000173805	0.019220941			
ENSMUSG00000023367	ENSG00000002933	Tmem176a	632.3301036	0.530109313	0.193137255	2.744728416	0.000197394	0.021686089			
ENSMUSG00000030560	ENSG00000109861	Ctsc	779.7773293	0.329843827	0.118444245	2.784802465	0.000199256	0.021747527			
ENSMUSG00000066861	ENSG00000089127	Oas1g	17.17753845	1.937373842	0.704644885	2.749432916	0.00020545	0.022277939			
ENSMUSG00000028899	ENSG00000120656	Taf12	1115.763636	0.333679522	0.121029248	2.75701557	0.000211311	0.022765696			
ENSMUSG00000038173	ENSG00000164303	Enpp6	2115.926427	-0.295185627	0.107411129	-2.748184745	0.000221185	0.023676716			
ENSMUSG00000030630	ENSG00000103876	Fah	852.7599427	-0.329679431	0.120395557	-2.738302309	0.000223117	0.023731406			
ENSMUSG00000060284	ENSG00000170374	Sp7	369.7574412	0.459299044	0.169684713	2.706779152	0.000227914	0.024088244			
ENSMUSG00000037071	0	Scd1	13136.06354	-0.222227769	0.080107918	-2.774104915	0.000234161	0.024592796			
ENSMUSG00000026834	ENSG00000123612	Acvr1c	19214.31711	-0.196081927	0.069601489	-2.8172088	0.000238543	0.024896412			
ENSMUSG00000038642	ENSG00000163131	Ctss	6087.539045	0.229680893	0.083035507	2.766056354	0.000243432	0.025248849			
ENSMUSG00000030979	ENSG00000188690	Uros	1468.7904	0.247262777	0.090071873	2.745171931	0.000248903	0.025600111			
ENSMUSG00000006333	ENSG00000170889	Rps9	12463.65304	-0.234244861	0.085142035	-2.751224607	0.000249884	0.025600111			
ENSMUSG00000019761	ENSG00000186395	Krt10	1043.684341	-0.280648585	0.103257526	-2.717947993	0.000252009	0.02566033			
ENSMUSG00000052776	ENSG00000089127	Oas1a	97.36133794	0.772769765	0.296850494	2.603228835	0.000287147	0.028892005			
ENSMUSG00000015714	ENSG00000143418	Cers2	5607.639087	-0.196925666	0.071918227	-2.738188566	0.000287207	0.028892005			
ENSMUSG00000021186	ENSG00000140092	Fbln5	715.6741201	-0.498388791	0.191501546	-2.602531423	0.000294013	0.029399559			
ENSMUSG00000005299	ENSG00000168924	Letm1	5928.78552	0.167587882	0.060482154	2.770864968	0.00030069	0.029888184			
ENSMUSG00000032564	ENSG00000196353	Cpne4	1863.929651	-0.310373153	0.118544152	-2.618207208	0.000316263	0.031250157			
ENSMUSG00000007030	ENSG00000204396	Vwa7	196.7418741	-0.575616983	0.224581202	-2.563068401	0.000323042	0.03173227			
ENSMUSG00000020953	ENSG00000100473	Coch	9873.016338	-0.255347102	0.097553422	-2.617510444	0.000338246	0.032773815			
ENSMUSG00000032625	ENSG00000005108	Thsd7a	20070.37843	-0.184208797	0.06807848	-2.705830071	0.00033889	0.032773815			
ENSMUSG00000031385	ENSG00000198753	Plxnb3	4424.89807	-0.227958335	0.086406776	-2.63819974	0.000339534	0.032773815			
ENSMUSG00000073902	0	Gvin3	55.45665088	1.101212516	0.437015208	2.519849416	0.000343793	0.032923196			
ENSMUSG00000030222	ENSG00000134533	Rerg	843.7439898	-0.330483952	0.128153438	-2.578814563	0.000345024	0.032923196			
ENSMUSG00000091003	0	Gm7244	84.15456344	-0.806654741	0.321558374	-2.508579489	0.000359322	0.034092707			
ENSMUSG00000090963	0	Gm17655	690.5746035	-0.69764615	0.280395617	-2.488077941	0.000371411	0.035040681			
ENSMUSG00000051390	ENSG00000236104	Zbtb22	2089.967622	-0.24698169	0.095669256	-2.58162026	0.00038642	0.036251795			
ENSMUSG00000102697	ENSG00000243232	Pcdhac2	3637.389669	-0.177223807	0.067318019	-2.632635521	0.000401414	0.037448068			
ENSMUSG00000002395	ENSG00000053501	Use1	3043.08047	-0.269093519	0.105730994	-2.545076982	0.000406462	0.037653243			
ENSMUSG00000032268	ENSG00000166682	Tmprss5	122.3827003	-0.017704108	0.046037324	-0.384559876	0.000408122	0.037653243			
ENSMUSG00000020696	ENSG00000092871	Rffl	2059.820553	-0.208253782	0.08054354	-2.585605029	0.000422174	0.038723121			
ENSMUSG00000033282	ENSG00000103494	Rpgrip1l	2877.848782	0.356731547	0.143305851	2.489302039	0.000424357	0.038723121			
ENSMUSG00000052557	ENSG00000261609	Gan	3081.791879	-0.205033863	0.079722234	-2.571852972	0.000438116	0.039761427			
ENSMUSG00000031775	ENSG00000102934	Pllp	4956.514597	-0.250719789	0.100761323	-2.488254246	0.000456961	0.041247553			
ENSMUSG00000030921	ENSG00000132256	Trim30a	352.390399	0.500691286	0.206110655	2.429235337	0.000459992	0.041297882			
ENSMUSG00000046879	ENSG00000237693	Irgm1	536.1393906	0.389699336	0.160281713	2.431339976	0.000484758	0.043288597			
ENSMUSG00000034459	ENSG00000204010	Ifit1	271.8063149	0.529973561	0.220741673	2.4008768	0.00049183	0.043613638			
ENSMUSG00000020962	ENSG00000165417	Gtf2a1	6112.613989	0.205126166	0.08089206	2.535801004	0.000493621	0.043613638			
ENSMUSG00000033826	ENSG00000124721	Dnah8	72.80037351	1.258057471	0.545634535	2.305677866	0.00049931	0.043884082			
ENSMUSG00000036961	ENSG00000075290	Wnt8b	110.1044229	-0.702868551	0.296509755	-2.370473613	0.000503038	0.043980228			
ENSMUSG00000039059	ENSG00000101180	Hrh3	8128.632324	0.154197136	0.058934173	2.616429983	0.000508638	0.044238241			
ENSMUSG00000070880	ENSG00000128683	Gad1	43640.14775	-0.159492263	0.062996207	-2.53177565	0.000515934	0.044640332			
ENSMUSG00000034275	ENSG00000080854	Igsf9b	14022.96205	0.349534021	0.144913134	2.412024435	0.000520225	0.044779556			
ENSMUSG00000039904	ENSG00000170775	Gpr37	9090.260918	-0.169809691	0.065472988	-2.593583945	0.000526931	0.045124226			
ENSMUSG00000041841	0	Rpl37	12151.899	-0.151261079	0.058729768	-2.575543624	0.000540168	0.04602177			
ENSMUSG00000045667	ENSG00000188176	Smtnl2	147.7014179	-0.605410985	0.258304531	-2.343787714	0.000546056	0.046287216			
ENSMUSG00000063445	ENSG00000153406	Nmral1	1450.01779	-0.256029699	0.105576577	-2.425061567	0.00055977	0.047210071			
ENSMUSG00000103476	0	Strit1	72.91995452	-0.876120774	0.377403706	-2.321441894	0.000565782	0.047477394			
ENSMUSG00000030616	ENSG00000137501	Sytl2	4089.58365	-0.227401062	0.093525678	-2.431429165	0.000598221	0.049919847			
ENSMUSG00000021919	ENSG00000070748	Chat	2072.924122	0.262636346	0.109678747	2.394596521	0.000600868	0.049919847			
ENSMUSG00000029810	ENSG00000106565	Tmem176b	1399.617718	0.261187324	0.109609418	2.382891255	0.000619033	0.051174405			
ENSMUSG00000038668	ENSG00000198121	Lpar1	5427.510577	-0.191766344	0.078125561	-2.454591578	0.000622839	0.051235447			
ENSMUSG00000036887	ENSG00000173372	C1qa	3616.71133	0.217966521	0.090304054	2.413695852	0.000648991	0.052928532			
ENSMUSG00000053279	ENSG00000165092	Aldh1a1	4431.970935	0.289874731	0.123427074	2.348550612	0.00064976	0.052928532			
ENSMUSG00000050931	ENSG00000164023	Sgms2	392.0992626	0.539643188	0.238828281	2.259544753	0.000667197	0.054085035			
ENSMUSG00000051504	ENSG00000105383	Siglech	1839.37001	0.228317522	0.096205586	2.373225207	0.000678447	0.054731359			
ENSMUSG00000068617	ENSG00000034239	Efcab1	828.3509601	-0.29635879	0.128655944	-2.303498624	0.000698478	0.056076397			
ENSMUSG00000036634	ENSG00000105695	Mag	25807.45061	-0.157180232	0.063126017	-2.489943764	0.000714859	0.056857356			
ENSMUSG00000079419	ENSG00000166926	Ms4a6c	102.1433664	0.667782161	0.299600528	2.228908492	0.000715016	0.056857356			
ENSMUSG00000071415	ENSG00000125691	Rpl23	12254.7717	-0.149060094	0.060538287	-2.462245003	0.000721711	0.057117747			
