




Analysis Type:	PANTHER Overrepresentation Test (Released 20230705)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.7942786 Released 2023-05-10
Analyzed List:	upload_1 (Mus musculus)
Reference List:	Mus musculus (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Mus musculus - REFLIST (21997)	upload_1 (176)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
general transcription initiation factor binding (GO:0140296)	59	6	.47	+	12.71	1.29E-05	1.83E-03
ribonucleoprotein complex binding (GO:0043021)	186	18	1.49	+	12.10	4.89E-14	2.71E-11
basal RNA polymerase II transcription machinery binding (GO:0001099)	63	6	.50	+	11.90	1.82E-05	2.52E-03
basal transcription machinery binding (GO:0001098)	63	6	.50	+	11.90	1.82E-05	2.45E-03
translation regulator activity, nucleic acid binding (GO:0090079)	109	10	.87	+	11.47	3.88E-08	8.80E-06
snRNA binding (GO:0017069)	44	4	.35	+	11.36	5.68E-04	4.81E-02
structural molecule activity (GO:0005198)	652	59	5.22	+	11.31	7.46E-44	1.24E-40
translation regulator activity (GO:0045182)	157	13	1.26	+	10.35	1.07E-09	4.11E-07
RNA binding (GO:0003723)	1113	87	8.91	+	9.77	1.84E-62	4.58E-59
ribosome binding (GO:0043022)	114	8	.91	+	8.77	5.99E-06	9.35E-04
single-stranded RNA binding (GO:0003727)	100	7	.80	+	8.75	2.36E-05	3.02E-03
single-stranded DNA binding (GO:0003697)	123	8	.98	+	8.13	1.01E-05	1.49E-03
proton transmembrane transporter activity (GO:0015078)	118	7	.94	+	7.41	6.40E-05	7.42E-03
heat shock protein binding (GO:0031072)	149	8	1.19	+	6.71	3.76E-05	4.58E-03
protein-folding chaperone binding (GO:0051087)	165	7	1.32	+	5.30	4.59E-04	4.02E-02
ubiquitin protein ligase binding (GO:0031625)	335	12	2.68	+	4.48	2.26E-05	2.97E-03
ATP hydrolysis activity (GO:0016887)	283	10	2.26	+	4.42	1.23E-04	1.23E-02
ubiquitin-like protein ligase binding (GO:0044389)	352	12	2.82	+	4.26	3.61E-05	4.50E-03
nucleic acid binding (GO:0003676)	3371	103	26.97	+	3.82	9.34E-39	1.17E-35
transcription factor binding (GO:0008134)	707	17	5.66	+	3.01	6.80E-05	7.71E-03
protein-containing complex binding (GO:0044877)	2141	46	17.13	+	2.69	4.70E-10	1.95E-07
heterocyclic compound binding (GO:1901363)	5371	114	42.97	+	2.65	2.54E-29	2.12E-26
organic cyclic compound binding (GO:0097159)	5453	114	43.63	+	2.61	1.04E-28	7.41E-26
enzyme binding (GO:0019899)	2361	48	18.89	+	2.54	1.08E-09	3.83E-07
protein binding (GO:0005515)	9462	113	75.71	+	1.49	2.40E-08	5.99E-06
binding (GO:0005488)	14105	152	112.86	+	1.35	6.44E-11	2.92E-08
transferase activity (GO:0016740)	2239	4	17.91	-	.22	1.24E-04	1.22E-02
DNA-binding transcription factor activity (GO:0003700)	1318	1	10.55	-	.09	5.62E-04	4.83E-02
molecular transducer activity (GO:0060089)	2418	1	19.35	-	.05	6.53E-08	1.36E-05
signaling receptor activity (GO:0038023)	2418	1	19.35	-	.05	6.53E-08	1.30E-05
olfactory receptor activity (GO:0004984)	1169	0	9.35	-	 < 0.01	1.24E-04	1.19E-02
transmembrane signaling receptor activity (GO:0004888)	2203	0	17.63	-	 < 0.01	1.55E-08	4.06E-06
