GENE	ZSTAT	P_MULTI
ENSG00000169598	-1.7641	0.96114
ENSG00000198912	-2.4427	0.99271
ENSG00000196581	-1.0988	0.86407
ENSG00000131697	0.6822	0.24756
ENSG00000069424	-1.2183	0.88845
ENSG00000116254	-0.61859	0.73191
ENSG00000116251	-0.44042	0.67018
ENSG00000158286	-0.4873	0.68698
ENSG00000116237	-0.22842	0.59034
ENSG00000173673	-1.4884	0.93167
ENSG00000158292	-0.079348	0.53162
ENSG00000097021	2.9952	0.0013715
ENSG00000069812	3.2734	0.0005313
ENSG00000187017	3.591	0.0001647
ENSG00000215788	3.8065	7.05E-05
ENSG00000171680	2.7487	0.0029913
ENSG00000162408	0.77697	0.21859
ENSG00000173662	0.26041	0.39727
ENSG00000204859	-1.2504	0.89443
ENSG00000162413	-0.81852	0.79347
ENSG00000116273	0.26185	0.39672
ENSG00000041988	0.27499	0.39166
ENSG00000007923	0.73326	0.2317
ENSG00000171735	0.8777	0.19005
ENSG00000049245	-0.089004	0.53546
ENSG00000049246	-0.95399	0.82996
ENSG00000049247	-1.372	0.91498
ENSG00000049249	1.3391	0.090273
ENSG00000116288	1.0419	0.14873
ENSG00000116285	0.51656	0.30273
ENSG00000162426	-0.43429	0.66796
ENSG00000142599	-0.40412	0.65694
ENSG00000074800	0.72996	0.23271
ENSG00000131686	0.0050508	0.49799
ENSG00000197241	-0.52156	0.69901
ENSG00000142583	0.59305	0.27658
ENSG00000180758	0.35815	0.36011
ENSG00000049239	1.305	0.09594
ENSG00000171621	3.089	0.0010041
ENSG00000171612	-0.72066	0.76444
ENSG00000188807	-0.24615	0.59722
ENSG00000171608	-0.099816	0.53975
ENSG00000171603	-1.1675	0.87849
ENSG00000178585	-0.2274	0.58994
ENSG00000162441	2.3931	0.0083523
ENSG00000173614	2.125	0.016793
ENSG00000162444	2.4186	0.0077908
ENSG00000130939	1.8766	0.030287
ENSG00000054523	0.88275	0.18869
ENSG00000142657	-0.20018	0.57933
ENSG00000241563	0.68927	0.24533
ENSG00000160049	1.7695	0.038401
ENSG00000142655	2.0448	0.020438
ENSG00000130940	2.4798	0.0065729
ENSG00000175262	0.44073	0.32971
ENSG00000120948	-0.52109	0.69885
ENSG00000009724	-0.89494	0.81459
ENSG00000116649	-3.4976	0.99977
ENSG00000171824	-2.3767	0.99127
ENSG00000198793	-1.2081	0.88651
ENSG00000171819	-0.74519	0.77192
ENSG00000120942	-0.71316	0.76213
ENSG00000116661	-0.98603	0.83794
ENSG00000132879	-1.4539	0.92702
ENSG00000116663	-0.67983	0.7517
ENSG00000116670	0.52978	0.29813
ENSG00000162490	2.071	0.01918
ENSG00000177674	-0.17594	0.56983
ENSG00000215910	2.009	0.022269
ENSG00000177000	1.9337	0.026577
ENSG00000011021	2.7289	0.0031777
ENSG00000175206	2.837	0.002277
ENSG00000120937	2.8533	0.0021633
ENSG00000116685	2.7752	0.0027582
ENSG00000083444	2.468	0.0067943
ENSG00000116688	2.5277	0.0057413
ENSG00000116691	1.0103	0.15619
ENSG00000120949	2.3496	0.0093972
ENSG00000028137	2.0657	0.01943
ENSG00000048707	2.8641	0.0020907
ENSG00000162496	0.3855	0.34993
ENSG00000204518	-0.37948	0.64783
ENSG00000188984	0.10598	0.4578
ENSG00000116726	1.05	0.14686
ENSG00000116721	0.19051	0.42446
ENSG00000239810	-1.6341	0.94889
ENSG00000179172	-0.5407	0.70564
ENSG00000120952	-0.83733	0.7988
ENSG00000275774	-0.72752	0.76655
ENSG00000162494	0.68381	0.24705
ENSG00000162493	-0.66604	0.74731
ENSG00000116731	1.7396	0.040963
ENSG00000189337	1.2134	0.11249
ENSG00000171729	1.597	0.05513
ENSG00000142621	0.64192	0.26046
ENSG00000142634	0.69406	0.24382
ENSG00000162438	1.6307	0.05148
ENSG00000142615	1.1605	0.12292
ENSG00000215704	-0.44158	0.6706
ENSG00000132906	-0.62963	0.73553
ENSG00000116138	1.353	0.088021
ENSG00000116771	1.2222	0.11081
ENSG00000197312	1.1863	0.11775
ENSG00000215695	-1.0802	0.85998
ENSG00000116786	0.6595	0.25479
ENSG00000162461	0.075022	0.4701
ENSG00000162460	0.2516	0.40067
ENSG00000162458	2.7389	0.0030826
ENSG00000233954	-0.87588	0.80945
ENSG00000065526	0.33923	0.36722
ENSG00000116809	0.40132	0.34409
ENSG00000224966	-0.12794	0.5509
ENSG00000173641	-0.38189	0.64873
ENSG00000186510	-0.42761	0.66553
ENSG00000184908	-0.31876	0.62505
ENSG00000185519	0.70223	0.24127
ENSG00000142627	-1.2535	0.89498
ENSG00000142632	-0.11478	0.54569
ENSG00000037637	-0.67958	0.75162
ENSG00000055070	-0.28083	0.61058
ENSG00000187144	1.1761	0.11977
ENSG00000157191	1.9859	0.023524
ENSG00000219481	-5.8218	1
ENSG00000186715	-2.058	0.9802
ENSG00000117122	1.1987	0.11533
ENSG00000159363	2.4227	0.0077019
ENSG00000117118	2.4433	0.0072773
ENSG00000117115	1.4295	0.076433
ENSG00000142623	1.2305	0.10925
ENSG00000142619	0.67016	0.25138
ENSG00000159339	-0.88358	0.81154
ENSG00000276747	-0.82455	0.79519
ENSG00000179051	-0.53386	0.70328
ENSG00000074964	1.362	0.086599
ENSG00000117148	1.9868	0.023471
ENSG00000117154	-0.016998	0.50678
ENSG00000179023	-0.13673	0.55438
ENSG00000009709	0.78004	0.21768
ENSG00000179002	-0.64673	0.7411
ENSG00000159423	1.0511	0.1466
ENSG00000169991	0.9335	0.17528
ENSG00000127481	-0.2476	0.59778
ENSG00000127463	-0.45566	0.67568
ENSG00000053372	-0.87079	0.80806
ENSG00000162482	-1.2983	0.90291
ENSG00000053371	-1.0928	0.86275
ENSG00000077549	0.18379	0.42709
ENSG00000158747	0.085271	0.46602
ENSG00000158748	-0.66075	0.74561
ENSG00000162542	-0.60135	0.7262
ENSG00000178828	0.67738	0.24908
ENSG00000169914	0.45634	0.32407
ENSG00000188784	0.012462	0.49503
ENSG00000188257	-1.7528	0.96019
ENSG00000127472	-1.803	0.9643
ENSG00000117215	-0.67947	0.75158
ENSG00000158786	-0.62478	0.73394
ENSG00000187980	-0.2818	0.61095
ENSG00000162543	0.76038	0.22351
ENSG00000158816	-0.88339	0.81149
ENSG00000162545	-0.71046	0.76129
ENSG00000090432	-0.99449	0.84001
ENSG00000183114	-0.24675	0.59745
ENSG00000158825	-1.6429	0.9498
ENSG00000158828	-1.2794	0.89962
ENSG00000244038	-2.457	0.99299
ENSG00000117245	1.0283	0.15191
ENSG00000189410	1.0381	0.14962
ENSG00000127483	1.0775	0.14063
ENSG00000075151	0.92549	0.17736
ENSG00000117298	0.7079	0.2395
ENSG00000142794	0.059932	0.4761
ENSG00000162551	1.1292	0.1294
ENSG00000076864	-0.049264	0.51965
ENSG00000090686	1.0022	0.15813
ENSG00000187942	-0.0030535	0.50122
ENSG00000142798	0.47908	0.31594
ENSG00000219073	2.1408	0.016144
ENSG00000142789	2.7728	0.002779
ENSG00000070831	0.63164	0.26381
ENSG00000162552	1.6346	0.051066
ENSG00000184677	-1.9179	0.97244
ENSG00000070886	-1.803	0.9643
ENSG00000173372	-2.6978	0.99651
ENSG00000159189	-3.3834	0.99964
ENSG00000173369	-2.9224	0.99826
ENSG00000133216	1.0432	0.14843
ENSG00000215906	0.42999	0.3336
ENSG00000004487	1.0761	0.14094
ENSG00000169641	-0.17065	0.56775
ENSG00000179546	-0.10635	0.54235
ENSG00000125944	-1.1743	0.87987
ENSG00000125945	0.052646	0.47901
ENSG00000204219	1.3189	0.093609
ENSG00000088280	1.6658	0.047874
ENSG00000007968	2.3994	0.008212
ENSG00000117318	2.6262	0.0043176
ENSG00000142676	-0.055262	0.52203
ENSG00000057757	3.063	0.0010956
ENSG00000011009	1.9044	0.028426
ENSG00000117308	3.1679	0.00076764
ENSG00000117305	2.9667	0.0015049
ENSG00000179163	3.017	0.0012763
ENSG00000188822	3.6464	0.00013295
ENSG00000189266	-0.83804	0.799
ENSG00000188529	-1.5093	0.93438
ENSG00000142661	0.20598	0.4184
ENSG00000142677	-1.4413	0.92526
ENSG00000185436	0.72122	0.23539
ENSG00000158055	0.054997	0.47807
ENSG00000001460	-0.20198	0.58003
ENSG00000001461	-0.29978	0.61783
ENSG00000117602	-1.9008	0.97134
ENSG00000184454	-0.26483	0.60443
ENSG00000133226	-0.32953	0.62912
ENSG00000169504	-0.32243	0.62644
ENSG00000020633	3.5549	0.00018906
ENSG00000117614	-0.20594	0.58158
ENSG00000117616	2.051	0.020132
ENSG00000187010	-1.2709	0.89812
ENSG00000183726	-0.36851	0.64375
ENSG00000188672	-1.3638	0.91369
ENSG00000157978	0.67253	0.25062
ENSG00000117643	0.14175	0.44364
ENSG00000117640	0.76718	0.22149
ENSG00000127423	0.85424	0.19649
ENSG00000182749	0.80325	0.21092
ENSG00000117632	-0.12448	0.54953
ENSG00000158006	1.3655	0.086048
ENSG00000158008	1.4072	0.07969
ENSG00000158014	0.91189	0.18091
ENSG00000158022	0.050024	0.48005
ENSG00000175087	-2.2473	0.98769
ENSG00000197245	-0.84541	0.80106
ENSG00000142684	-1.2255	0.8898
ENSG00000142675	-1.4686	0.92902
ENSG00000188782	-1.3717	0.91492
ENSG00000130695	-1.2885	0.90121
ENSG00000142669	-1.0146	0.84485
ENSG00000158062	-1.7962	0.96377
ENSG00000169442	-1.3435	0.91044
ENSG00000176083	-1.5875	0.94381
ENSG00000131914	1.4973	0.067155
ENSG00000117682	1.8993	0.028766
ENSG00000198830	1.6538	0.049089
ENSG00000117676	2.6566	0.0039467
ENSG00000117713	0.70798	0.23948
ENSG00000060642	0.16919	0.43282
ENSG00000204160	0.76036	0.22352
ENSG00000175793	0.68733	0.24594
ENSG00000142751	0.29278	0.38485
ENSG00000198746	0.33358	0.36935
ENSG00000131910	0.37181	0.35502
ENSG00000090273	0.45222	0.32556
ENSG00000175707	0.0090967	0.49637
ENSG00000253368	0.58954	0.27775
ENSG00000090020	-1.0143	0.84478
ENSG00000142784	-1.3736	0.91522
ENSG00000186501	-0.011516	0.50459
ENSG00000142765	0.56005	0.28772
ENSG00000142733	0.74452	0.22828
ENSG00000142748	-0.26681	0.60519
ENSG00000174950	0.1301	0.44824
ENSG00000181773	1.3532	0.087996
ENSG00000158195	0.64581	0.2592
ENSG00000126705	1.3812	0.083604
ENSG00000000938	-0.39799	0.65468
ENSG00000126709	-0.10753	0.54282
ENSG00000009780	-0.68961	0.75478
ENSG00000117758	-1.396	0.91864
ENSG00000117751	0.088903	0.46458
ENSG00000130775	0.72091	0.23548
ENSG00000117748	-0.26898	0.60603
ENSG00000130768	-0.097803	0.53896
ENSG00000158156	1.0307	0.15134
ENSG00000158161	-0.11199	0.54459
ENSG00000169403	0.024645	0.49017
ENSG00000126698	-0.16767	0.56658
ENSG00000130766	0.27304	0.39241
ENSG00000130772	-0.070422	0.52807
ENSG00000204138	-0.12092	0.54812
ENSG00000180198	0.13845	0.44494
ENSG00000180098	-0.21933	0.5868
ENSG00000188060	0.75014	0.22658
ENSG00000120656	0.58523	0.2792
ENSG00000162419	-0.11305	0.54501
ENSG00000198492	-0.85695	0.80426
ENSG00000116329	-0.43183	0.66707
ENSG00000159023	0.41157	0.34033
ENSG00000253304	1.2872	0.099015
ENSG00000116350	1.5415	0.061596
ENSG00000116353	1.5833	0.056681
ENSG00000060656	2.0756	0.018963
ENSG00000162510	2.1127	0.017312
ENSG00000162511	1.4037	0.080211
ENSG00000162512	-1.1468	0.87426
ENSG00000134644	0.71675	0.23676
ENSG00000084628	0.45182	0.3257
ENSG00000060688	0.0019624	0.49922
ENSG00000121766	0.096395	0.4616
ENSG00000121769	0.12582	0.44994
ENSG00000168528	-0.26552	0.6047
ENSG00000142910	-1.1846	0.8819
ENSG00000121764	-2.8776	0.998
ENSG00000162517	-2.7656	0.99716
ENSG00000084636	0.14306	0.44312
ENSG00000121753	1.3648	0.086163
ENSG00000134668	2.7763	0.0027493
ENSG00000184007	0.0030103	0.4988
ENSG00000121774	1.8853	0.029698
ENSG00000121775	1.9239	0.027182
ENSG00000025800	2.2589	0.011944
ENSG00000084652	2.3507	0.009369
ENSG00000160050	2.4312	0.0075237
ENSG00000160051	2.4591	0.0069636
ENSG00000222046	3.6268	0.00014347
ENSG00000160055	3.7066	0.00010502
ENSG00000084623	3.7763	7.96E-05
ENSG00000183615	4.2246	1.20E-05
ENSG00000182866	4.525	3.02E-06
ENSG00000116478	4.3982	5.46E-06
ENSG00000175130	0.50618	0.30636
ENSG00000162526	0.77897	0.218
ENSG00000225828	0.85467	0.19637
ENSG00000160058	0.28307	0.38856
ENSG00000273274	1.8133	0.034895
ENSG00000160062	0.067083	0.47326
ENSG00000176261	1.2262	0.11006
ENSG00000162521	1.1787	0.11926
ENSG00000162520	1.3559	0.087564
ENSG00000162522	2.7514	0.0029669
ENSG00000116497	2.7817	0.0027039
ENSG00000160097	2.718	0.0032842
ENSG00000121905	2.6663	0.003834
ENSG00000121900	2.5916	0.004776
ENSG00000116514	2.7664	0.0028337
ENSG00000004455	2.2421	0.012477
ENSG00000142920	2.3254	0.010027
ENSG00000116525	2.6418	0.004123
ENSG00000160094	1.1264	0.13
ENSG00000184389	2.6769	0.003715
ENSG00000134686	2.8847	0.001959
ENSG00000121903	-1.1057	0.86558
ENSG00000121904	-0.7984	0.78768
ENSG00000176256	0.39065	0.34803
ENSG00000142698	0.35839	0.36003
ENSG00000189280	0.73107	0.23237
ENSG00000188910	-0.95144	0.82931
ENSG00000187513	0.20101	0.42035
ENSG00000163866	1.2446	0.10663
ENSG00000116544	1.2503	0.10559
ENSG00000163867	1.2987	0.097024
ENSG00000197056	1.6409	0.050411
ENSG00000116560	1.0843	0.13911
ENSG00000146463	1.5222	0.063974
ENSG00000142687	2.1693	0.015028
ENSG00000020129	1.8878	0.029524
ENSG00000116819	1.6775	0.046725
ENSG00000126067	1.3642	0.086252
ENSG00000142686	-0.12282	0.54887
ENSG00000092853	0.033115	0.48679
ENSG00000134698	-0.12432	0.54947
ENSG00000092847	-0.26293	0.6037
ENSG00000126070	-0.55529	0.71065
ENSG00000092850	-1.0277	0.84796
ENSG00000171812	-0.13488	0.55365
ENSG00000054116	0.73755	0.23039
ENSG00000116871	0.79651	0.21287
ENSG00000054118	0.97192	0.16555
ENSG00000214193	1.1695	0.12111
ENSG00000142694	1.0531	0.14614
ENSG00000196182	2.0209	0.021645
ENSG00000181817	0.88051	0.18929
ENSG00000116885	0.035737	0.48575
ENSG00000116898	0.40871	0.34138
ENSG00000119535	0.55383	0.28985
ENSG00000163873	-1.5557	0.94011
ENSG00000163874	1.7409	0.040852
ENSG00000163875	1.7465	0.040363
ENSG00000163877	1.6162	0.053022
ENSG00000163879	1.5406	0.061705
ENSG00000134697	1.7691	0.038438
ENSG00000169218	1.1876	0.1175
ENSG00000116922	0.20128	0.42024
ENSG00000134690	-1.8792	0.96989
ENSG00000183317	0.021729	0.49133
ENSG00000185090	-0.014202	0.50567
ENSG00000196449	0.166	0.43408
ENSG00000197982	0.18777	0.42553
ENSG00000188786	-0.17625	0.56995
ENSG00000204084	0.00010922	0.49996
ENSG00000183431	0.98538	0.16222
ENSG00000183386	0.093434	0.46278
ENSG00000185668	1.4197	0.077846
ENSG00000116954	-1.407	0.92029
ENSG00000214114	-1.5573	0.9403
ENSG00000131233	-1.3516	0.91175
ENSG00000158315	-1.7646	0.96118
ENSG00000174574	2.3098	0.01045
ENSG00000168653	1.5524	0.060279
ENSG00000127603	0.22989	0.40909
ENSG00000183682	0.81685	0.20701
ENSG00000090621	1.3918	0.081997
ENSG00000163909	-0.44616	0.67226
ENSG00000116981	-1.5432	0.93861
ENSG00000116983	-1.4922	0.93218
ENSG00000084072	-0.018367	0.50733
ENSG00000116985	-0.66262	0.74621
ENSG00000198754	-0.71288	0.76204
ENSG00000043514	0.33685	0.36811
ENSG00000116990	-0.2134	0.58449
ENSG00000168389	0.060209	0.47599
ENSG00000131236	0.39468	0.34654
ENSG00000131238	0.071372	0.47155
ENSG00000117000	-2.1185	0.98293
ENSG00000188800	-1.6873	0.95423
ENSG00000084073	-1.8771	0.96975
ENSG00000049089	-0.088265	0.53517
ENSG00000084070	-0.32754	0.62837
ENSG00000187801	0.064237	0.47439
ENSG00000187815	-1.0979	0.86387
ENSG00000164002	-0.80694	0.79015
ENSG00000117010	-0.97202	0.83448
ENSG00000117016	0.78076	0.21747
ENSG00000066136	0.12959	0.44845
ENSG00000117013	-0.44388	0.67143
ENSG00000179862	0.84997	0.19767
ENSG00000171793	0.57273	0.28341
ENSG00000171790	0.58888	0.27797
ENSG00000010803	0.43124	0.33315
ENSG00000204060	1.0363	0.15002
ENSG00000127129	-1.1199	0.86862
ENSG00000127124	-0.099862	0.53977
ENSG00000044012	-2.0655	0.98056
ENSG00000197273	-1.3888	0.91755
ENSG00000198815	-0.035365	0.51411
ENSG00000177181	-0.7465	0.77232
ENSG00000066185	-0.46152	0.67779
ENSG00000127125	-0.070377	0.52805
ENSG00000186409	-0.14355	0.55707
ENSG00000171960	0.40953	0.34107
ENSG00000065978	-0.65762	0.74461
ENSG00000164007	0.94153	0.17322
ENSG00000117385	1.0459	0.1478
ENSG00000164008	0.64465	0.25958
ENSG00000164010	0.25576	0.39907
ENSG00000164011	1.3753	0.084526
ENSG00000117394	1.8801	0.030047
ENSG00000186973	-1.1332	0.87144
ENSG00000117395	0.496	0.30995
ENSG00000243710	-0.96796	0.83347
ENSG00000179178	-0.8415	0.79997
ENSG00000253313	-0.74842	0.7729
ENSG00000066056	0.64264	0.26023
ENSG00000117400	-0.47056	0.68102
ENSG00000117399	-0.47844	0.68383
ENSG00000066322	-0.51235	0.6958
ENSG00000159479	0.31126	0.3778
ENSG00000198198	-0.068404	0.52727
ENSG00000178922	-0.86345	0.80605
ENSG00000142949	-1.1791	0.88082
ENSG00000066135	-0.66124	0.74577
ENSG00000126091	-0.98398	0.83744
ENSG00000117407	-0.33433	0.63094
ENSG00000117408	-0.5472	0.70788
ENSG00000132768	-0.45669	0.67605
ENSG00000117410	-0.32902	0.62893
ENSG00000117411	-0.32305	0.62667
ENSG00000159214	-0.075539	0.53011
ENSG00000196517	2.3827	0.008594
ENSG00000171872	1.739	0.041019
ENSG00000178028	0.5705	0.28417
ENSG00000117419	0.20398	0.41918
ENSG00000187147	0.017951	0.49284
ENSG00000126106	0.54992	0.29119
ENSG00000142945	2.7898	0.0026368
ENSG00000142937	2.9029	0.0018488
ENSG00000142959	2.8863	0.0019492
ENSG00000173846	2.4523	0.0070982
ENSG00000222009	2.4208	0.0077429
ENSG00000117425	2.5098	0.0060399
ENSG00000070785	2.2705	0.011588
ENSG00000126107	-1.5914	0.94424
ENSG00000126088	-2.2884	0.98894
ENSG00000162415	-1.0324	0.84905
ENSG00000186603	0.47363	0.31788
ENSG00000132781	-1.4515	0.92668
ENSG00000132773	-0.92436	0.82235
ENSG00000070759	-0.52432	0.69997
ENSG00000132763	-0.39385	0.65315
ENSG00000117450	-0.27338	0.60772
ENSG00000117448	-0.098928	0.5394
ENSG00000132780	-0.70019	0.7581
ENSG00000159588	-0.54075	0.70566
ENSG00000159592	0.085571	0.4659
ENSG00000159596	0.49356	0.31081
ENSG00000197429	0.30271	0.38105
ENSG00000086015	0.46078	0.32248
ENSG00000117461	0.086024	0.46572
ENSG00000117472	-0.32526	0.62751
ENSG00000085998	0.5912	0.27719
ENSG00000171357	0.73069	0.23248
ENSG00000085999	2.5286	0.0057253
ENSG00000132128	1.8205	0.03434
ENSG00000173660	1.3203	0.093375
ENSG00000117481	2.2572	0.011997
ENSG00000117480	1.8006	0.035884
ENSG00000197587	2.0312	0.02112
ENSG00000162456	1.365	0.08613
ENSG00000079277	1.1704	0.12093
ENSG00000142961	-0.65046	0.7423
ENSG00000123472	-1.6436	0.94987
ENSG00000186118	-1.965	0.9753
ENSG00000159658	-2.1728	0.9851
ENSG00000142973	-0.56174	0.71285
ENSG00000187048	0.42147	0.33671
ENSG00000186377	0.61386	0.26965
ENSG00000186160	-1.0305	0.84861
ENSG00000162365	-1.2571	0.89565
ENSG00000162366	0.77167	0.22016
ENSG00000162367	0.92306	0.17799
ENSG00000123473	1.8761	0.030318
ENSG00000162368	1.8303	0.033605
ENSG00000186790	0.78389	0.21655
ENSG00000186564	0.43312	0.33246
ENSG00000269113	0.98399	0.16256
ENSG00000117834	-0.99417	0.83993
ENSG00000132122	-1.7696	0.9616
ENSG00000186094	-0.6272	0.73474
ENSG00000162373	-1.4591	0.92773
ENSG00000162374	-1.2378	0.8921
ENSG00000142700	-1.0888	0.86188
ENSG00000185104	-0.35646	0.63925
ENSG00000123080	1.0549	0.14573
ENSG00000204006	0.069198	0.47242
ENSG00000123091	-0.46584	0.67933
ENSG00000085831	0.75294	0.22574
ENSG00000085832	0.32787	0.3715
ENSG00000117859	1.1828	0.11844
ENSG00000169213	0.42702	0.33468
ENSG00000117862	0.43691	0.33109
ENSG00000198841	0.6477	0.25859
ENSG00000134717	-0.1072	0.54268
ENSG00000157077	-0.88799	0.81273
ENSG00000154222	-0.87143	0.80824
ENSG00000085840	-0.69153	0.75538
ENSG00000134748	-0.39346	0.65301
ENSG00000116157	-0.93497	0.8251
ENSG00000162377	0.83286	0.20246
ENSG00000162378	-0.7062	0.75997
ENSG00000203995	-0.60455	0.72726
ENSG00000121310	-0.93141	0.82418
ENSG00000116171	0.52021	0.30146
ENSG00000174348	-0.17302	0.56868
ENSG00000162383	-1.2473	0.89385
ENSG00000157184	-0.086547	0.53448
ENSG00000162385	-0.32495	0.62739
ENSG00000157193	-0.78908	0.78497
ENSG00000143006	1.1031	0.13499
ENSG00000174332	0.19514	0.42264
ENSG00000058804	-0.28141	0.6108
ENSG00000058799	-0.20127	0.57975
ENSG00000211452	0.31398	0.37677
ENSG00000081870	-0.95109	0.82922
ENSG00000116212	-1.0266	0.84769
ENSG00000203985	-0.65946	0.7452
ENSG00000116209	-0.73022	0.76737
ENSG00000116205	0.35748	0.36036
ENSG00000157211	-0.26331	0.60384
ENSG00000215883	0.12048	0.45205
ENSG00000116221	0.087358	0.46519
ENSG00000157216	-0.60795	0.72839
ENSG00000162390	-0.17339	0.56883
ENSG00000162391	-0.18968	0.57522
ENSG00000184313	0.30364	0.3807
ENSG00000243725	-1.8884	0.97052
ENSG00000162396	-1.7117	0.95653
ENSG00000006555	-2.31	0.98955
ENSG00000116133	-0.2881	0.61336
ENSG00000143001	0.28728	0.38695
ENSG00000162399	0.40707	0.34198
ENSG00000169174	0.78506	0.21621
ENSG00000162402	-0.13761	0.55473
ENSG00000162409	-0.69513	0.75651
ENSG00000157131	0.25005	0.40128
ENSG00000021852	-0.56579	0.71423
ENSG00000173406	-0.18933	0.57508
ENSG00000162600	-0.057464	0.52291
ENSG00000184292	-1.3607	0.9132
ENSG00000162601	-1.1676	0.87852
ENSG00000177606	-1.0536	0.85397
ENSG00000172456	0.018672	0.49255
ENSG00000134709	-0.63896	0.73858
ENSG00000134716	-0.67246	0.74935
ENSG00000162598	-1.6357	0.94905
ENSG00000162599	0.8406	0.20029
ENSG00000162604	-1.0293	0.84834
ENSG00000240563	0.11834	0.4529
ENSG00000132854	1.5555	0.059918
ENSG00000162607	1.2062	0.11388
ENSG00000116641	1.2637	0.10317
ENSG00000132855	1.542	0.061534
ENSG00000125703	-0.19234	0.57626
ENSG00000187140	-0.85067	0.80252
ENSG00000088035	0.9632	0.16772
ENSG00000142856	1.0918	0.13746
ENSG00000203965	1.217	0.1118
ENSG00000079739	1.5544	0.060048
ENSG00000185483	-0.10199	0.54062
ENSG00000177414	-1.0453	0.85206
ENSG00000158966	-0.87685	0.80972
ENSG00000162437	2.5958	0.0047186
ENSG00000162434	4.1882	1.41E-05
ENSG00000162433	0.026928	0.48926
ENSG00000116675	-1.5396	0.93817
ENSG00000213625	1.1773	0.11954
ENSG00000116678	1.2041	0.11427
ENSG00000184588	0.041441	0.48347
ENSG00000118473	0.67237	0.25067
ENSG00000172410	-0.091394	0.53641
ENSG00000198160	1.1902	0.11698
ENSG00000116704	1.1719	0.12063
ENSG00000203963	1.4004	0.080703
ENSG00000162594	2.7212	0.0032524
ENSG00000081985	-0.79024	0.78531
ENSG00000142864	-0.91284	0.81934
ENSG00000116717	1.3527	0.088081
ENSG00000172380	2.3342	0.0097938
ENSG00000162595	-0.18657	0.574
ENSG00000116729	0.93239	0.17557
ENSG00000116745	0.25797	0.39821
ENSG00000024526	-0.11807	0.54699
ENSG00000033122	0.8266	0.20423
ENSG00000066557	0.081492	0.46753
ENSG00000116754	0.10426	0.45848
ENSG00000118454	0.11021	0.45612
ENSG00000197568	1.0719	0.14189
ENSG00000116761	0.57166	0.28378
ENSG00000050628	-1.3201	0.9066
ENSG00000132485	-0.39629	0.65406
ENSG00000172260	-0.093373	0.5372
ENSG00000162620	-1.4254	0.92298
ENSG00000254685	-0.98622	0.83799
ENSG00000259030	0.23229	0.40816
ENSG00000116783	0.52949	0.29823
ENSG00000178965	-0.48581	0.68645
ENSG00000116791	1.1627	0.12248
ENSG00000162623	1.6788	0.046598
ENSG00000162624	0.74076	0.22942
ENSG00000137968	1.223	0.11066
ENSG00000117054	1.084	0.13918
ENSG00000137955	0.55458	0.28959
ENSG00000057468	-0.67425	0.74992
