GENE             CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT      P_MULTI  P_SNPWISE_MEAN  P_SNPWISE_TOP1
ENSG00000173673    1    6299252    6310638     21       9  22389      0.69037      0.24498         0.25368         0.23975
ENSG00000158292    1    6302406    6326035     62      14  22389      0.13056      0.44806         0.46051         0.39268
ENSG00000097021    1    6319332    6458826    468      33  22389     -0.88042      0.81068         0.95094         0.56297
ENSG00000069812    1    6470292    6489724     73      14  22389      -1.9632      0.97519         0.99107          0.9284
ENSG00000187017    1    6479836    6526004    134      23  22389      -1.7315      0.95832         0.97205          0.8812
ENSG00000215788    1    6515787    6532432     46      14  22389     -0.33458      0.63103         0.53695         0.66839
ENSG00000171680    1    6521152    6585121    162      33  22389      -1.3926      0.91813         0.82668         0.90524
ENSG00000162408    1    6576407    6619658    139      10  22389      -1.0421      0.85131         0.79018         0.77162
ENSG00000173662    1    6609987    6644817     88      16  22389      -1.4893      0.93179         0.95761          0.8045
ENSG00000204859    1    6635051    6654340     30      15  22389      -1.0671      0.85703         0.93118         0.71817
ENSG00000162413    1    6645784    6667958     44      17  22389     -0.96899      0.83372         0.94227         0.64193
ENSG00000116273    1    6668756    6689093     37      10  22389      -1.0411      0.85107         0.79434         0.80151
ENSG00000041988    1    6679925    6700646     43      12  22389      -1.0022      0.84187         0.78767         0.78299
ENSG00000007923    1    6689228    6766966    167      26  22389     -0.52851      0.70143         0.49951         0.79794
ENSG00000171735    1    6840384    7834766   2749     186  22389      0.55931      0.28797         0.93168        0.087776
ENSG00000049245    1    7826329    7846492     57      16  22389      0.46336      0.32155         0.30213         0.33069
ENSG00000049246    1    7839413    7910241    251      31  22389     -0.60562      0.72762         0.85377          0.5433
ENSG00000049247    1    7902672    7918551     71      22  22389       -1.215      0.88781         0.92469         0.79654
ENSG00000049249    1    7970931    8008225     78      17  22389      -1.0273      0.84786         0.78428         0.80533
ENSG00000116288    1    8016714    8050342     62      14  22389     -0.78377      0.78341         0.57273          0.9282
ENSG00000116285    1    8066779    8091393     33       9  22389      0.54914      0.29146         0.24855         0.33391
ENSG00000162426    1    8373171    8409227    105      22  22389     0.061262      0.47558         0.27487         0.73449
ENSG00000142599    1    8407464    8882699    709      37  22389      0.18849      0.42525          0.5668         0.28054
ENSG00000074800    1    8916059    8944151     51      14  22389     -0.98299      0.83719         0.97816         0.60451
ENSG00000131686    1    9000893    9040151    155      40  22389       -1.647      0.95022          0.9269         0.89883
ENSG00000197241    1    9058359    9091404    108      34  22389     -0.60532      0.72752         0.58814         0.78655
ENSG00000142583    1    9092005    9136763    154      26  22389     -0.14332      0.55698           0.354         0.75054
ENSG00000180758    1    9158472    9194229     83      17  22389    -0.091923      0.53662         0.52173         0.48465
ENSG00000049239    1    9289822    9336396    150      28  22389      -1.4558      0.92728         0.84243         0.92533
ENSG00000171621    1    9330202    9434591    477      70  22389     -0.07234      0.52883         0.36886         0.66251
ENSG00000171612    1    9594528    9647831     69      17  22389      0.71396      0.23763         0.33035         0.18045
ENSG00000188807    1    9643932    9679935     48      13  22389      0.62302      0.26664         0.16389         0.43374
ENSG00000171608    1    9706789    9794172    159      36  22389     0.024213      0.49034         0.57284         0.36996
ENSG00000171603    1    9784079    9889550    140      25  22389    -0.013423      0.50535          0.4539         0.45557
ENSG00000178585    1    9903334    9975316     76      21  22389     -0.15859        0.563         0.38024         0.68285
ENSG00000162441    1    9977168   10008460     62      15  22389     -0.51099      0.69532         0.51663         0.78497
ENSG00000173614    1    9998486   10050556    101      21  22389     -0.65971      0.74528         0.68699         0.64076
ENSG00000162444    1   10052255   10081078     52      11  22389     -0.79068      0.78544         0.85434         0.58496
ENSG00000130939    1   10088041   10246297    311      26  22389      -0.2227      0.58812         0.68899         0.38462
ENSG00000054523    1   10265606   10446664    581      23  22389      0.52633      0.29933         0.86464         0.10006
ENSG00000142657    1   10453884   10485565     94      21  22389      -1.4206      0.92228         0.77882         0.95217
ENSG00000241563    1   10504776   10517060     26       9  22389        1.285       0.0994         0.26885        0.047505
ENSG00000160049    1   10515588   10537613     32      10  22389        1.774     0.038035        0.057684          0.0428
ENSG00000142655    1   10530003   10695815    417      39  22389      0.90718      0.18216          0.6152        0.061187
ENSG00000130940    1   10691661   10861733    463      87  22389        2.026     0.021385          0.1664       0.0082958
ENSG00000175262    1   11001530   11047094    168      27  22389      -0.6654       0.7471         0.71183         0.68391
ENSG00000120948    1   11067462   11090549     44       9  22389     -0.12957      0.55155         0.67075         0.38056
ENSG00000009724    1   11081580   11112296     64      13  22389      0.82917       0.2035         0.15634         0.28345
ENSG00000116649    1   11109649   11125091     25       4  22389       1.4713     0.070606        0.050138         0.12646
ENSG00000171824    1   11121675   11164961    116      11  22389       1.1612      0.12277        0.068667         0.28698
ENSG00000198793    1   11161588   11327614    354      18  22389       1.2501      0.10563        0.036292         0.45785
ENSG00000171819    1   11244346   11261038     23       4  22389        1.529      0.06313        0.041042         0.14361
ENSG00000120942    1   11328255   11353491     40      11  22389      0.48155      0.31506         0.23391         0.40461
ENSG00000116661    1   11702924   11719888     52      22  22389    -0.030937      0.51234         0.35423         0.64366
ENSG00000132879    1   11709432   11728384     58      21  22389     -0.94334      0.82725         0.79426         0.73998
ENSG00000116663    1   11719150   11739411     69      18  22389     -0.25629      0.60114         0.65775         0.50679
ENSG00000116670    1   11729537   11756678     88      22  22389     -0.35509      0.63874         0.63687         0.57299
ENSG00000162490    1   11746781   11785336    117      29  22389     -0.65632      0.74419          0.7221         0.66983
ENSG00000177674    1   11791142   11815828     68      17  22389      -1.0129      0.84446         0.92359         0.65836
ENSG00000215910    1   11818827   11854642    169      22  22389      -1.9923      0.97683         0.94998         0.95989
ENSG00000177000    1   11840787   11871160    135      18  22389      -2.0132      0.97795         0.97651         0.93635
ENSG00000011021    1   11861153   11908201    227      21  22389      -2.7831      0.99731         0.98579           0.991
ENSG00000175206    1   11900766   11912840     44      13  22389      -1.0972      0.86373         0.86869         0.75978
ENSG00000120937    1   11912521   11923992     33      10  22389     -0.87584      0.80944         0.96951         0.62725
ENSG00000116685    1   11974645   11991485     64      15  22389      0.55811      0.28838          0.3415         0.23935
ENSG00000083444    1   11989724   12040599    138      18  22389      0.87695      0.19026         0.14254         0.27856
ENSG00000116688    1   12035238   12078572    104      17  22389      0.22029      0.41282         0.40664         0.37293
ENSG00000116691    1   12074299   12097106     46      13  22389    -0.036607       0.5146         0.84655         0.28342
ENSG00000120949    1   12118434   12209264    235      53  22389     0.087441      0.46516         0.43746         0.43252
ENSG00000028137    1   12222044   12274279    153      31  22389     0.085789      0.46582         0.29669          0.6352
ENSG00000048707    1   12285101   12577099    426      39  22389      -1.0076      0.84318         0.72801         0.78232
ENSG00000162496    1   12622939   12682820    209      42  22389      -0.8286      0.79633         0.98639         0.56365
ENSG00000204518    1   12699566   12732097     83      15  22389      -1.6069      0.94596         0.84782         0.94528
ENSG00000188984    1   12771118   12793726     76      14  22389      0.18325       0.4273         0.52996         0.31041
ENSG00000116726    1   12829984   12843049     29       8  22389     -0.29151      0.61467         0.42844         0.78253
ENSG00000116721    1   12846546   12861777     40      11  22389    -0.030032      0.51198         0.33254         0.69927
ENSG00000239810    1   12879468   12896264     26       9  22389      0.51511      0.30324         0.30461         0.29302
ENSG00000179172    1   12902261   12913578     54       4  22389      0.28543      0.38766         0.68465         0.20352
ENSG00000120952    1   12911941   12926764     51       6  22389      0.24641      0.40268           0.751         0.20219
ENSG00000243073    1   12934033   12951025      2       2  22389      0.78181      0.21716         0.24445         0.19346
ENSG00000187545    1   12947727   12963094      1       1  22389       1.5636     0.058952        0.059313        0.059313
ENSG00000275774    1   13177960   13189326     41       8  22389      -1.1309      0.87095         0.81553         0.87123
ENSG00000182330    1   13381646   13395765      5       4  22389      -2.2153      0.98663         0.97773         0.98642
ENSG00000204478    1   13731907   13752803      1       1  22389      0.12569      0.44999         0.44932         0.44932
ENSG00000162494    1   13796445   13845242    218      49  22389     -0.20494      0.58119         0.52803         0.53164
ENSG00000162493    1   13905252   13949452    143      35  22389     -0.90647      0.81766         0.74552         0.79645
ENSG00000116731    1   14021714   14156574    399      37  22389      0.69658      0.24303         0.29298         0.20904
ENSG00000189337    1   14214646   15449544   4545     271  22389      0.93037      0.17609          0.2747         0.15398
ENSG00000171729    1   15474028   15551974    390      32  22389      -1.4922      0.93217         0.83896         0.91519
ENSG00000142621    1   15568730   15729767    490      75  22389     -0.16055      0.56378         0.59357         0.44558
ENSG00000142634    1   15731391   15761839     82      26  22389       1.1431       0.1265         0.14883         0.12609
ENSG00000162438    1   15759938   15778153     34      12  22389      0.19544      0.42252         0.27138         0.60716
ENSG00000142615    1   15778223   15803586     95      23  22389       1.6781      0.04666         0.13778        0.027193
ENSG00000215704    1   15797596   15822895     79      17  22389      0.70131      0.24155         0.54869          0.1091
ENSG00000132906    1   15812896   15856407    142      15  22389      0.32494      0.37261         0.72327         0.17525
ENSG00000116138    1   15848343   15903228    135      20  22389    -0.025369      0.51012         0.75576         0.28976
ENSG00000116771    1   15893194   15916605     91      14  22389      0.40069      0.34433         0.80103         0.13852
ENSG00000197312    1   15938953   16000539    128      16  22389     -0.46697      0.67974         0.75933         0.48824
ENSG00000215695    1   15981364   15993217     18       4  22389      -1.3046      0.90399         0.90078         0.83475
ENSG00000116786    1   16005632   16066264    166      25  22389     -0.10425      0.54152          0.3392         0.71424
ENSG00000162461    1   16057721   16072884     25       9  22389      0.60741      0.27179         0.17889         0.41186
ENSG00000162460    1   16063987   16079292     32      10  22389     -0.20566      0.58147         0.60185         0.47661
ENSG00000162458    1   16078107   16118089     89      22  22389     -0.92864      0.82346          0.6686         0.90334
ENSG00000233954    1   16128657   16139194     46       8  22389       -1.057      0.85475         0.73626         0.84135
ENSG00000065526    1   16169359   16271951    155      24  22389     -0.48777      0.68714         0.93131         0.41957
ENSG00000116809    1   16263364   16307627     68      16  22389      -1.4131      0.92118         0.91268         0.87814
ENSG00000224966    1   16297626   16328701    129      17  22389     -0.54729      0.70791         0.89386         0.46686
ENSG00000173641    1   16335523   16351084     95      12  22389      0.74826      0.22715          0.8783        0.060229
ENSG00000186510    1   16343486   16365548    117      17  22389      -1.5597      0.94058         0.94197         0.86287
ENSG00000184908    1   16365231   16388821    147      22  22389     -0.59246      0.72323         0.70389         0.63424
ENSG00000185519    1   16379264   16405127    108      18  22389      -1.2088      0.88663         0.96192         0.74354
ENSG00000142627    1   16445832   16487582     74      21  22389      -0.9129      0.81935          0.6961          0.8814
ENSG00000142632    1   16519599   16544104     76      13  22389     -0.68193      0.75236         0.50535         0.89427
ENSG00000037637    1   16568339   16683965    245      26  22389      0.19323      0.42339         0.24099         0.62336
ENSG00000055070    1   16688525   16729643     80      14  22389     -0.28275      0.61131         0.77854         0.37855
ENSG00000187144    1   16717101   16768919    131      29  22389     -0.76544      0.77799         0.79409         0.64113
ENSG00000157191    1   16762167   16791585     78      17  22389     -0.92112      0.82151         0.66892          0.8751
ENSG00000219481    1   16883922   16945100      5       4  22389     -0.56313      0.71333         0.70901         0.68434
ENSG00000186715    1   17076129   17095975      1       1  22389       0.8949      0.18542         0.18565         0.18565
ENSG00000117122    1   17295997   17313081     39      13  22389       0.5827      0.28005         0.18544         0.41775
ENSG00000159363    1   17307453   17343467     76      17  22389      0.77842      0.21816         0.18048         0.27668
ENSG00000117118    1   17340217   17385665    151      21  22389      0.39816      0.34526          0.2623         0.42833
ENSG00000117115    1   17388256   17450948    281      25  22389     -0.64967      0.74205         0.88187         0.50587
ENSG00000142623    1   17526621   17577501    203      55  22389     -0.11788      0.54692         0.52799         0.49091
ENSG00000142619    1   17570593   17615728    211      35  22389     -0.44256      0.67096         0.55516         0.70924
ENSG00000159339    1   17629690   17695495    326      29  22389     -0.30998      0.62171         0.49596         0.66359
ENSG00000276747    1   17693741   17733195    218      25  22389     -0.67534      0.75027         0.70586         0.66074
ENSG00000179051    1   17728251   17771250     99      21  22389     -0.79766      0.78747         0.51332         0.94478
ENSG00000074964    1   17841693   18029370    472      72  22389       -1.801      0.96415         0.85616         0.97059
ENSG00000117148    1   18076808   18158558    227      35  22389      -1.1656      0.87811         0.85966          0.7918
ENSG00000117154    1   18429240   18709977   1028     128  22389    -0.024956      0.50995         0.29017         0.75969
ENSG00000179023    1   18802424   18817540     85      18  22389      -1.4302      0.92367          0.8361         0.95288
ENSG00000009709    1   18952500   19080360    386      69  22389       2.0469     0.020334        0.096328         0.01178
ENSG00000179002    1   19161093   19191155    179      34  22389      -0.2486      0.59816         0.37991         0.82708
ENSG00000159423    1   19192924   19234293    188      34  22389     -0.25943      0.60235         0.43766         0.69896
ENSG00000169991    1   19225774   19287826    210      40  22389      0.90188      0.18356         0.20528         0.18481
ENSG00000127481    1   19396000   19541812    273      24  22389       -1.238      0.89215         0.91619         0.75123
ENSG00000127463    1   19537158   19583053    135      21  22389       -0.668      0.74793         0.80222          0.5981
ENSG00000053372    1   19573075   19591622     98      17  22389     -0.56389      0.71359         0.62849         0.67722
ENSG00000162482    1   19604057   19620280     60      11  22389     -0.23797      0.59405         0.50454         0.57475
ENSG00000053371    1   19624202   19643640     60      19  22389       1.3352     0.090899        0.025785         0.42608
ENSG00000077549    1   19660267   19817066    539      30  22389       1.0064      0.15711        0.097688         0.29818
ENSG00000158747    1   19964723   19989949     79      23  22389      0.28845       0.3865         0.41228         0.33258
ENSG00000158748    1   19986780   20011055     55      12  22389      0.55263      0.29026         0.24374         0.33875
ENSG00000162542    1   20003706   20131424    403      53  22389     -0.79036      0.78534         0.72074         0.70973
ENSG00000178828    1   20135522   20146771     64      23  22389     -0.89603      0.81488         0.84358         0.67056
ENSG00000169914    1   20203356   20244438     95      19  22389      0.35066      0.36292         0.22215         0.55445
ENSG00000188784    1   20241800   20255110     50      19  22389     -0.17715       0.5703         0.48517         0.58752
ENSG00000188257    1   20296924   20311932     51      18  22389     0.050038      0.48005         0.34632         0.61136
ENSG00000127472    1   20381157   20423394    141      25  22389       1.2816     0.099984         0.37341         0.03411
ENSG00000117215    1   20434143   20451059     54      21  22389      -1.1487      0.87467         0.91609          0.7645
ENSG00000158786    1   20460823   20481879     52      25  22389     -0.16941      0.56726         0.61019         0.45843
ENSG00000187980    1   20485484   20506687     58      17  22389     -0.74914      0.77311         0.67917         0.77184
ENSG00000162543    1   20507578   20527540     37      11  22389     -0.33561      0.63142         0.59601         0.55926
ENSG00000158816    1   20612412   20686662    274      32  22389      -1.6539      0.95093         0.95418         0.87766
ENSG00000162545    1   20803884   20817728     20      10  22389     0.050002      0.48006         0.41087         0.53147
ENSG00000090432    1   20820941   20839674     50      16  22389       1.5525     0.060272         0.18639        0.030143
ENSG00000183114    1   20873932   20886513     55      16  22389      0.93428      0.17508         0.77261        0.043192
ENSG00000158825    1   20910444   20950401    178      25  22389      0.21008       0.4168         0.25609         0.62281
ENSG00000158828    1   20954948   20983004    105      17  22389      0.63257      0.26351         0.17762         0.39166
ENSG00000244038    1   20973260   20993037     67      13  22389      0.86182      0.19439         0.13224         0.30783
ENSG00000117245    1   20985475   21049317    225      49  22389      0.44062      0.32975         0.66096         0.15669
ENSG00000189410    1   21041225   21064133     66      17  22389     -0.85454       0.8036         0.76956         0.75828
ENSG00000127483    1   21064170   21118808    114      21  22389     -0.47423      0.68233         0.80591         0.49485
ENSG00000075151    1   21127785   21508381    701      31  22389      -1.1251      0.86973         0.96849         0.64904
ENSG00000117298    1   21538740   21677034    365      43  22389      0.48717      0.31307         0.58506         0.16086
ENSG00000142794    1   21761583   21816393    161      19  22389     -0.22475      0.58891         0.47846         0.61713
ENSG00000162551    1   21830475   21909905    331      37  22389      0.88516      0.18803          0.7045        0.057242
ENSG00000076864    1   21917708   22001010    314      47  22389      0.12327      0.45095         0.44759         0.40997
ENSG00000090686    1   21999791   22114688    379      41  22389      0.92829      0.17663         0.62462        0.057045
ENSG00000187942    1   22133758   22156714     76      27  22389      0.77601      0.21887         0.34643         0.14471
ENSG00000142798    1   22143737   22268750    388      46  22389       1.8307     0.033572        0.060336        0.046212
ENSG00000219073    1   22298418   22320847    102      20  22389      -0.0387      0.51544         0.72666         0.31077
ENSG00000142789    1   22323149   22344035     73      16  22389      0.29532      0.38387         0.25954         0.52537
ENSG00000070831    1   22374120   22424439    127      22  22389      0.69224      0.24439         0.22958         0.26984
ENSG00000162552    1   22438798   22475474    117      25  22389       1.3985     0.080985         0.17787        0.059286
ENSG00000184677    1   22773344   22862650    151      28  22389      0.38955      0.34843          0.5719         0.19689
ENSG00000070886    1   22885004   22935087    181      35  22389      0.49206      0.31134         0.32957         0.28244
ENSG00000173372    1   22958118   22971175     48      10  22389       0.6936      0.24397         0.18597         0.32649
ENSG00000159189    1   22964969   22979603     59      14  22389    -0.051562      0.52056         0.54862         0.44731
ENSG00000173369    1   22974682   22993130     62      14  22389     -0.15744      0.56255         0.68575         0.42132
ENSG00000133216    1   23032263   23246823    465      62  22389     -0.54779      0.70808         0.61021         0.65897
ENSG00000215906    1   23274536   23304524     89      21  22389      0.45675      0.32392         0.32123         0.31479
ENSG00000004487    1   23340937   23415184     96      18  22389      -1.1366      0.87214         0.69656           0.919
ENSG00000169641    1   23405516   23509301    195      27  22389     -0.71479      0.76263         0.61794         0.76819
ENSG00000179546    1   23513388   23526222     44       7  22389      0.22973      0.40915         0.31975         0.47596
ENSG00000125944    1   23630953   23676143     36      11  22389      -1.0542       0.8541         0.92239         0.66857
ENSG00000125945    1   23680941   23701357     50      12  22389     -0.73888      0.77001          0.7376         0.68012
ENSG00000204219    1   23702555   23756269    140      28  22389     -0.97728      0.83579         0.73221         0.76105
ENSG00000088280    1   23750056   23815750    142      20  22389     -0.26092      0.60292         0.35417         0.80136
ENSG00000007968    1   23827920   23862712     67      16  22389      0.13933      0.44459         0.46266         0.37799
ENSG00000117318    1   23879421   23891285     29      13  22389       1.6694     0.047522        0.092718        0.030076
ENSG00000142676    1   24013269   24027915     35      10  22389      0.54772      0.29194         0.42477         0.19662
ENSG00000057757    1   24099876   24119722     15       9  22389      0.49423      0.31057          0.2311         0.40612
ENSG00000011009    1   24112275   24127029      6       4  22389     0.046282      0.48154         0.50627         0.43491
ENSG00000117308    1   24117089   24132294      9       6  22389     -0.14632      0.55816         0.53408         0.54388
ENSG00000117305    1   24123367   24170110     54      10  22389      0.24368      0.40374         0.18735         0.77927
ENSG00000179163    1   24166567   24199859     71      12  22389      0.96596      0.16703         0.22622         0.15201
ENSG00000188822    1   24192005   24290549    219      24  22389      0.58229      0.28018         0.20972         0.36968
ENSG00000189266    1   24281301   24294952      7       3  22389      0.17311      0.43128         0.36735         0.49959
ENSG00000188529    1   24287935   24311953      8       4  22389       1.2442      0.10671        0.079691         0.15207
ENSG00000142661    1   24377531   24443665    231      33  22389      0.51532      0.30316         0.18723         0.47625
ENSG00000142677    1   24441261   24474783    115      25  22389     -0.30222      0.61876         0.44497         0.77408
ENSG00000185436    1   24475647   24518765    154      25  22389      0.76106      0.22331          0.1814          0.2862
ENSG00000158055    1   24640812   24695972    124      33  22389     -0.61823      0.73179         0.57371         0.79821
ENSG00000001460    1   24678489   24746587    173      24  22389      0.29014      0.38585         0.24478         0.56047
ENSG00000001461    1   24737245   24804473    185      24  22389   -0.0074936      0.50299         0.44148         0.48427
ENSG00000117602    1   24823841   24868510    123      19  22389      0.74745       0.2274         0.56741         0.09555
ENSG00000184454    1   24877567   24940819    261      30  22389     -0.37059      0.64453         0.50424         0.73265
ENSG00000133226    1   24964594   25004772     41      13  22389     -0.39854      0.65488         0.49927         0.73138
ENSG00000169504    1   25066760   25175815    110      22  22389       1.4759     0.069986        0.036929         0.26815
ENSG00000020633    1   25221002   25296648    171      40  22389     -0.78034      0.78241         0.76882         0.66279
ENSG00000117614    1   25543767   25564013     10       8  22389      -1.2714      0.89822         0.90998         0.84006
ENSG00000117616    1   25563740   25579010     15      11  22389     0.026625      0.48938          0.4985          0.4377
ENSG00000187010    1   25593884   25661936     29      11  22389     -0.78037      0.78241         0.72851         0.73362
ENSG00000183726    1   25659789   25693852     29      11  22389     -0.56017      0.71232         0.66553         0.62733
ENSG00000188672    1   25682853   25752363     75      14  22389     -0.30918      0.62141          0.8654         0.37567
ENSG00000157978    1   25865071   25900377     95      19  22389      0.25688      0.39863         0.27433         0.51761
ENSG00000117643    1   25938959   26116258    299      37  22389       0.3975       0.3455         0.49947         0.22068
ENSG00000117640    1   26141397   26164433     47       9  22389     -0.68516      0.75338         0.83328         0.53398
ENSG00000127423    1   26153414   26190939     80       8  22389      -1.8126      0.96505          0.9761         0.85812
ENSG00000182749    1   26182975   26207461     26      12  22389      -1.2719      0.89829         0.87436         0.83036
ENSG00000117632    1   26205670   26238368     49      13  22389     -0.81515      0.79251         0.78903         0.66803
ENSG00000158006    1   26281258   26331366    110      18  22389       1.8213     0.034284        0.040697        0.044171
