# ALPHA = 0.05
# NUMBER_OF_TESTS = 217

# _SET1_  VARIABLE = GO:0002262 (set)
# _SET1_  NGENES = 160
# _SET1_  P-VALUE = 2.15298e-05
_SET1_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   ENSG00000090316     4    1278675    1338935    266      15  41505     -0.38527      0.57678    7.2164e-16     -0.38527
_SET1_   ENSG00000145220     4    4264428    4296881    131      20  41505       -0.177      0.50403    7.2164e-16       -0.177
_SET1_   ENSG00000157404     4   55518434   55611949    172      24  41505       1.3962     0.057488    6.6613e-16       1.3962
_SET1_   ENSG00000151012     4  139080251  139168503    170      22  41505      0.15394      0.36674    7.2164e-16      0.15394
_SET1_   ENSG00000164104     4  174247527  174260583     19       4  41505      0.18837      0.41222    7.2164e-16      0.18837
_SET1_   ENSG00000164305     4  185543850  185576216     68      12  41505       1.2891     0.074545    6.6613e-16       1.2891
_SET1_   ENSG00000113658     5  135463534  135529435    125       6  41505     -0.68029       0.6946    6.6613e-16     -0.68029
_SET1_   ENSG00000113013     5  137884445  137916364     43      10  41505       0.7592      0.18402    6.6613e-16       0.7592
_SET1_   ENSG00000164587     5  149817198  149834302     43       4  41505      -2.1082      0.97526    8.8818e-16      -2.1082
_SET1_   ENSG00000164466     5  174899065  174961745    184      16  41505     0.033997      0.41783    7.1471e-16     0.033997
_SET1_   ENSG00000111843     6   10718148   10736362     25       4  41505     -0.37701      0.58868    7.2164e-16     -0.37701
_SET1_   ENSG00000204613     6   30114720   30133988     92      16  41505       8.9241   5.9258e-20             0       8.9241
_SET1_   ENSG00000204420     6   31681371   31699491     31      13  41505       9.6162   2.9112e-41             0       9.6162
_SET1_   ENSG00000204389     6   31778320   31790723     21      13  41505       9.6378   9.8836e-32             0       9.6378
_SET1_   ENSG00000204388     6   31790515   31803031     24      13  41505       9.6367   8.2789e-26             0       9.6367
_SET1_   ENSG00000030110     6   33535324   33553070     53      15  41505       4.5855   1.0904e-06    8.8818e-16       4.5855
_SET1_   ENSG00000112062     6   35990559   36084013    167      15  41505  -0.00071942       0.4415     7.159e-16  -0.00071942
_SET1_   ENSG00000112212     6   41005206   41017076     32       6  41505     -0.44485      0.62301    7.2164e-16     -0.44485
_SET1_   ENSG00000112658     6   43134007   43154244     29       7  41505     -0.57186      0.69218    6.6613e-16     -0.57186
_SET1_   ENSG00000112715     6   43732921   43759224     67      23  41505       0.7324      0.18645    6.6613e-16       0.7324
_SET1_   ENSG00000069122     6   46815259   46927680    305      31  41505       1.0976     0.098756    6.6613e-16       1.0976
_SET1_   ENSG00000112077     6   49567888   49609552    132      14  41505        2.074      0.01293    8.8818e-16        2.074
_SET1_   ENSG00000112305     6   71372479   71576714    265      15  41505      0.24684      0.32612    7.2164e-16      0.24684
_SET1_   ENSG00000014123     6   96964471   97008152     40       8  41505     -0.31869      0.56956    7.2164e-16     -0.31869
_SET1_   ENSG00000118689     6  108876038  109010977    153      18  41505       1.3778     0.061485    6.6613e-16       1.3778
_SET1_   ENSG00000056972     6  111871584  111933109    137      19  41505      -2.0619      0.97093    8.8818e-16      -2.0619
_SET1_   ENSG00000198945     6  130329844  130467594    274      26  41505       1.9257      0.01706    6.6613e-16       1.9257
_SET1_   ENSG00000164442     6  139687944  139700785     20       6  41505     -0.64102      0.69444    6.6613e-16     -0.64102
_SET1_   ENSG00000136244     7   22760503   22776621     45      14  41505       2.2415    0.0085684    8.8818e-16       2.2415
_SET1_   ENSG00000106004     7   27175671   27188300     21       8  41505     -0.15624      0.52003    7.2164e-16     -0.15624
_SET1_   ENSG00000122641     7   41701766   41750432     50      12  41505       0.3688      0.30466    7.2164e-16       0.3688
_SET1_   ENSG00000105810     7   92229235   92470887    192      28  41505     0.081802      0.40339    7.2164e-16     0.081802
_SET1_   ENSG00000130427     7  100313091  100326323     13       3  41505       1.2096     0.088274    6.6613e-16       1.2096
_SET1_   ENSG00000005483     7  104576390  104760466    204      18  41505      0.43652      0.26782    7.2164e-16      0.43652
_SET1_   ENSG00000172331     7  134326563  134369568    134       9  41505      0.75174      0.17538    6.6613e-16      0.75174
_SET1_   ENSG00000064393     7  139241316  139482797    327      42  41505      0.38794       0.2829    7.2164e-16      0.38794
_SET1_   ENSG00000146918     7  158418861  158502495    192      15  41505      -1.0473      0.80752    6.6613e-16      -1.0473
_SET1_   ENSG00000147324     8    8635864    8756140    454      33  41505     -0.18055      0.48225    7.2164e-16     -0.18055
_SET1_   ENSG00000158856     8   21901506   21945038     91      12  41505      0.95724      0.13624    6.6613e-16      0.95724
_SET1_   ENSG00000253729     8   48680672   48877738     75      13  41505     -0.20831      0.53829    7.2164e-16     -0.20831
_SET1_   ENSG00000254087     8   56787394   56931728    391      30  41505     -0.22184      0.50311    7.2164e-16     -0.22184
_SET1_   ENSG00000170631     8  146150744  146181274     55      10  41505     -0.49968       0.6373    7.2164e-16     -0.49968
_SET1_   ENSG00000096968     9    4979390    5134948    319      13  41505       3.8903   2.0619e-05    8.8818e-16       3.8903
_SET1_   ENSG00000137154     9   19370713   19385234     21       6  41505       1.1733     0.097001    6.6613e-16       1.1733
_SET1_   ENSG00000135046     9   75761781   75790309     59      13  41505     -0.67595      0.70194    6.6613e-16     -0.67595
_SET1_   ENSG00000158169     9   97856336   98194078    351      30  41505      -1.8455      0.94886    6.6613e-16      -1.8455
_SET1_   ENSG00000119314     9  114974996  115100944    292      10  41505       2.5405    0.0030061    8.8818e-16       2.5405
_SET1_   ENSG00000107485    10    8082341    8122161    128      24  41505       2.7433    0.0018349    8.8818e-16       2.7433
_SET1_   ENSG00000138326    10   79788518   79821571     30       5  41505      0.10824      0.41287    7.2164e-16      0.10824
_SET1_   ENSG00000198728    10  103861246  103885125     23       8  41505       1.0533      0.12461    6.6613e-16       1.0533
_SET1_   ENSG00000053918    11    2460914    2875335    930     112  41505     -0.14274      0.43998    7.2164e-16     -0.14274
_SET1_   ENSG00000066336    11   47371411   47405098     68      11  41505       2.7762    0.0016667    8.8818e-16       2.7762
_SET1_   ENSG00000134954    11  128323656  128462453    240      39  41505       3.4004   0.00016517    8.8818e-16       3.4004
_SET1_   ENSG00000166086    11  133933966  134026896    234      17  41505      0.56954      0.22557    6.6613e-16      0.56954
_SET1_   ENSG00000110911    12   51368184   51427349    134      12  41505     0.023716      0.42884    7.1471e-16     0.023716
_SET1_   ENSG00000135503    12   52340483   52395862     67      14  41505     -0.46841      0.62988    7.2164e-16     -0.46841
_SET1_   ENSG00000123338    12   54886536   54947027    114      28  41505      -1.6489      0.93207    6.6613e-16      -1.6489
_SET1_   ENSG00000049130    12   88881570   88979628    147       9  41505     -0.80615      0.74553    6.6613e-16     -0.80615
_SET1_   ENSG00000111252    12  111838727  111894427     28       4  41505       2.7892    0.0017263    8.8818e-16       2.7892
_SET1_   ENSG00000182782    12  123180840  123192904     32       6  41505     0.027919      0.42904    7.1471e-16     0.027919
_SET1_   ENSG00000139370    12  129272739  129313503    161      16  41505      -1.5863      0.92047    6.6613e-16      -1.5863
_SET1_   ENSG00000189403    13   31025841   31196734    306      58  41505     0.083847      0.39164    7.2164e-16     0.083847
_SET1_   ENSG00000139687    13   48872880   49178572    389      21  41505     -0.58689      0.65803    6.6613e-16     -0.58689
_SET1_   ENSG00000100813    14   23522773   23569823     65      12  41505     -0.28231      0.55344    7.2164e-16     -0.28231
_SET1_   ENSG00000125378    14   54411454   54430479     33      10  41505     -0.29427      0.55514    7.2164e-16     -0.29427
_SET1_   ENSG00000032219    14   58760222   58845605     82      11  41505       1.2202      0.08381    6.6613e-16       1.2202
_SET1_   ENSG00000100644    14   62157231   62219977     92      13  41505   -0.0079817      0.45516    7.1644e-16   -0.0079817
_SET1_   ENSG00000185650    14   69249377   69267970     39      10  41505       6.0307   3.1531e-10    8.8818e-16       6.0307
_SET1_   ENSG00000089902    14  103053986  103201898    195      17  41505       1.3508     0.063836    6.6613e-16       1.3508
_SET1_   ENSG00000169926    15   31614038   31732868    220      31  41505       2.0421      0.01294    8.8818e-16       2.0421
_SET1_   ENSG00000186073    15   36866827   37107449    504      35  41505     -0.24035      0.50335    7.2164e-16     -0.24035
_SET1_   ENSG00000166947    15   43484425   43518216     18       6  41505     -0.66279      0.71445    6.6613e-16     -0.66279
_SET1_   ENSG00000166710    15   44998556   45016049     26       9  41505      -1.0766      0.83627    6.6613e-16      -1.0766
_SET1_   ENSG00000138594    15   52116825   52244492    211       8  41505     -0.36298      0.56548    7.2164e-16     -0.36298
_SET1_   ENSG00000136381    15   78724773   78798795    122      11  41505     -0.55424       0.6485    6.6613e-16     -0.55424
_SET1_   ENSG00000182774    15   83200501   83214210      2       2  41505     -0.56323      0.66492    6.6613e-16     -0.56323
_SET1_   ENSG00000069764    16   14761405   14793165     10       7  41505     0.072147      0.42122    7.2164e-16     0.072147
_SET1_   ENSG00000168447    16   23284552   23397615    216      40  41505     -0.84686       0.7508    6.6613e-16     -0.84686
_SET1_   ENSG00000169877    16   31534221   31545124     45       7  41505       0.6616      0.20918    6.6613e-16       0.6616
_SET1_   ENSG00000179588    16   88514688   88608439    285      35  41505      0.34291      0.29761    7.2164e-16      0.34291
_SET1_   ENSG00000125686    17   37555538   37612525     76       6  41505      -1.0032      0.80402    6.6613e-16      -1.0032
_SET1_   ENSG00000126351    17   38209543   38255120     63      16  41505       2.3465    0.0061686    8.8818e-16       2.3465
_SET1_   ENSG00000173757    17   40346194   40445651     60      11  41505       5.1426   5.9492e-08    8.8818e-16       5.1426
_SET1_   ENSG00000168610    17   40460342   40545558    115      10  41505       7.8133    7.375e-16    8.8818e-16       7.8133
_SET1_   ENSG00000004939    17   42320758   42350509     58      19  41505     -0.29241      0.56372    7.2164e-16     -0.29241
_SET1_   ENSG00000108465    17   46040176   46064147     61      11  41505       1.1567     0.095279    6.6613e-16       1.1567
_SET1_   ENSG00000108511    17   46668113   46687354     38      11  41505     -0.21817      0.53724    7.2164e-16     -0.21817
_SET1_   ENSG00000136504    17   47860986   47917388     30       9  41505     -0.86505      0.77147    6.6613e-16     -0.86505
_SET1_   ENSG00000070495    17   74703914   74727881     33       8  41505      -2.4554      0.98962    8.8818e-16      -2.4554
_SET1_   ENSG00000175354    18   12780477   12934642    325      33  41505     -0.54352      0.63587    6.6613e-16     -0.54352
_SET1_   ENSG00000178951    19    4038301    4071897     60      13  41505       1.2334     0.086736    6.6613e-16       1.2334
_SET1_   ENSG00000105612    19   12981023   12997409     19       3  41505       1.4851     0.052254    6.6613e-16       1.4851
_SET1_   ENSG00000105610    19   12990236   13003015     15       4  41505       1.4532     0.055464    6.6613e-16       1.4532
_SET1_   ENSG00000127528    19   16430637   16444496     41      12  41505       3.3443   0.00024231    8.8818e-16       3.3443
_SET1_   ENSG00000105639    19   17930589   17963880     90      28  41505      -1.1814      0.84717    6.6613e-16      -1.1814
_SET1_   ENSG00000153879    19   33859591   33878592     28      10  41505      0.43928      0.27946    7.2164e-16      0.43928
_SET1_   ENSG00000105220    19   34845385   34898318     74      13  41505      0.19626      0.37338    7.2164e-16      0.19626
_SET1_   ENSG00000105697    19   35766619   35781046     37       7  41505      0.29741      0.32779    7.2164e-16      0.29741
_SET1_   ENSG00000105672    19   36127647   36140773     20       5  41505       1.4131     0.060606    6.6613e-16       1.4131
_SET1_   ENSG00000128016    19   39892487   39905052     12       5  41505     -0.92449      0.78537    6.6613e-16     -0.92449
_SET1_   ENSG00000167601    19   41720128   41772671     92      18  41505        1.734     0.028923    6.6613e-16        1.734
_SET1_   ENSG00000105372    19   42359325   42381993     32       3  41505      0.56865      0.23374    6.6613e-16      0.56865
_SET1_   ENSG00000104884    19   45848095   45879176     72      15  41505      0.59589      0.22334    6.6613e-16      0.59589
_SET1_   ENSG00000087088    19   49453072   49470055     41       9  41505       1.2937     0.075253    6.6613e-16       1.2937
_SET1_   ENSG00000126457    19   50174043   50197286     19       9  41505      0.92673      0.14315    6.6613e-16      0.92673
_SET1_   ENSG00000204103    20   39309488   39322876     15       4  41505      0.51575      0.26483    6.6613e-16      0.51575
_SET1_   ENSG00000124098    20   54929030   54948719     39       9  41505      -1.2686      0.87224    6.6613e-16      -1.2686
_SET1_   ENSG00000142168    21   33026979   33046244     33      12  41505     -0.44541      0.62967    7.2164e-16     -0.44541
_SET1_   ENSG00000160199    21   44389620   44459041    281      16  41505      0.88893      0.14064    6.6613e-16      0.88893
_SET1_   ENSG00000100292    22   35771354   35795207     61      11  41505     -0.46458      0.62389    7.2164e-16     -0.46458
_SET1_   ENSG00000198125    22   35997811   36038998    106      15  41505      -2.6174      0.99277    8.8818e-16      -2.6174
_SET1_   ENSG00000100320    22   36129783   36429872    256      23  41505      0.90928      0.14277    6.6613e-16      0.90928
_SET1_   ENSG00000100124    22   38221862   38250334     14       5  41505       1.0129      0.12442    6.6613e-16       1.0129
_SET1_   ENSG00000100425    22   50161931   50226521    115      13  41505     -0.80702      0.74898    6.6613e-16     -0.80702
_SET1_   ENSG00000185386    22   50697142   50714196     42      12  41505       3.0743   0.00062271    8.8818e-16       3.0743
_SET1_   ENSG00000207870     X   45600585   45610694     27       7  41505     -0.14069      0.51226    7.2164e-16     -0.14069
_SET1_   ENSG00000207725     X   45601421   45611530     23       7  41505     -0.14136      0.51202    7.2164e-16     -0.14136
_SET1_   ENSG00000102145     X   48639948   48657718      7       6  41505      0.38004       0.3284    7.2164e-16      0.38004
_SET1_   ENSG00000049768     X   49101899   49126262     19      10  41505    0.0077858       0.4433    7.1557e-16    0.0077858
_SET1_   ENSG00000158578     X   55030488   55062410     13      10  41505      -1.5511      0.92512    6.6613e-16      -1.5511
_SET1_   ENSG00000005022     X  118597385  118610359     28       9  41505     -0.71906      0.72263    6.6613e-16     -0.71906
_SET1_   ENSG00000160211     X  153741149  153780787     53      18  41505     -0.84395      0.77238    6.6613e-16     -0.84395

# _SET2_  VARIABLE = GO:0008134 (set)
# _SET2_  NGENES = 592
# _SET2_  P-VALUE = 0.00010005
_SET2_   GENE              CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   ENSG00000188976     1     874583     899689     40       5  41505     -0.20243      0.53909    7.2164e-16     -0.20243
_SET2_   ENSG00000157933     1    2153827    2246652    199      41  41505      0.16116      0.36647    7.2164e-16      0.16116
_SET2_   ENSG00000142611     1    2980732    3360185   1191     132  41505       1.2454     0.056762    6.6613e-16       1.2454
_SET2_   ENSG00000078900     1    3564080    3657765    261      45  41505       1.9226      0.01743    6.6613e-16       1.9226
_SET2_   ENSG00000049246     1    7839351    7910237    227      24  41505      -1.0916      0.81959    6.6613e-16      -1.0916
_SET2_   ENSG00000116288     1    8009351    8050565     59       9  41505      0.97418      0.12861    6.6613e-16      0.97418
_SET2_   ENSG00000074800     1    8916059    8944249     42       7  41505      0.61762      0.22051    6.6613e-16      0.61762
_SET2_   ENSG00000198793     1   11161592   11327613    271       8  41505      -1.3259      0.87604    6.6613e-16      -1.3259
_SET2_   ENSG00000116670     1   11713975   11756868    105      22  41505     0.016221      0.42946    7.1471e-16     0.016221
_SET2_   ENSG00000065526     1   16157590   16271951    162      16  41505     0.019722      0.42757    7.1471e-16     0.019722
_SET2_   ENSG00000116809     1   16263364   16307627     62      11  41505       0.2769      0.33446    7.2164e-16       0.2769
_SET2_   ENSG00000183888     1   16325731   16340302     64       9  41505     -0.37504      0.59243    7.2164e-16     -0.37504
_SET2_   ENSG00000117115     1   17388256   17450946    252      16  41505       1.2227      0.07782    6.6613e-16       1.2227
_SET2_   ENSG00000004487     1   23340936   23415182     73       9  41505      0.89367      0.14703    6.6613e-16      0.89367
_SET2_   ENSG00000117318     1   23879417   23890992     22      10  41505       2.5297    0.0036915    8.8818e-16       2.5297
_SET2_   ENSG00000020633     1   25221002   25296612    134      24  41505       3.4071   0.00016827    8.8818e-16       3.4071
_SET2_   ENSG00000117713     1   27014727   27113595     89       8  41505      0.61678      0.23014    6.6613e-16      0.61678
_SET2_   ENSG00000131910     1   27232980   27245466     19       7  41505      0.26705      0.35144    7.2164e-16      0.26705
_SET2_   ENSG00000120656     1   28909341   28979803     50       9  41505      0.37235      0.30167    7.2164e-16      0.37235
_SET2_   ENSG00000116478     1   32752684   32804236      5       4  41505       4.2149   7.7461e-06    8.8818e-16       4.2149
_SET2_   ENSG00000160062     1   33000028   33076542    127      12  41505    -0.057447      0.47056    7.1471e-16    -0.057447
_SET2_   ENSG00000054118     1   36685033   36775958     54       8  41505      0.87538      0.15608    6.6613e-16      0.87538
_SET2_   ENSG00000178028     1   44674127   44691353     11       6  41505      0.44148      0.28084    7.2164e-16      0.44148
_SET2_   ENSG00000162367     1   47676962   47702897     49       8  41505      0.78299      0.17514    6.6613e-16      0.78299
_SET2_   ENSG00000185104     1   50897700   51430939    442      22  41505     -0.56587      0.63969    6.6613e-16     -0.56587
_SET2_   ENSG00000177606     1   59237517   59254720     30       8  41505      -1.0568      0.82734    6.6613e-16      -1.0568
_SET2_   ENSG00000162599     1   61325931   61933460   1062     111  41505      0.19208      0.30942    7.2164e-16      0.19208
_SET2_   ENSG00000142867     1   85726459   85747315     65      14  41505       6.6292   6.2991e-12    8.8818e-16       6.6292
_SET2_   ENSG00000117174     1   86110100   86179116    114      14  41505       0.8187      0.16241    6.6613e-16       0.8187
_SET2_   ENSG00000143013     1   87789563   87819606     65      17  41505       1.5014     0.056193    6.6613e-16       1.5014
_SET2_   ENSG00000137947     1   89313316   89362627     91      10  41505      0.42707      0.28854    7.2164e-16      0.42707
_SET2_   ENSG00000122482     1   91375855   91492829    105      12  41505      0.86385      0.15556    6.6613e-16      0.86385
_SET2_   ENSG00000143033     1   93539792   93609636     85       9  41505       0.7258       0.1921    6.6613e-16       0.7258
_SET2_   ENSG00000117505     1   93806464   93840050     53       5  41505      0.24635      0.34853    7.2164e-16      0.24635
_SET2_   ENSG00000197780     1  109600118  109623634     36       6  41505     -0.33917       0.5777    7.2164e-16     -0.33917
_SET2_   ENSG00000121931     1  111484812  111511587     21       8  41505      -1.3836      0.89296    6.6613e-16      -1.3836
_SET2_   ENSG00000064703     1  112292454  112323224     93      12  41505     -0.47395      0.63012    7.2164e-16     -0.47395
_SET2_   ENSG00000177551     1  116373998  116391538     52       8  41505     -0.62522      0.68137    6.6613e-16     -0.62522
_SET2_   ENSG00000134250     1  120449176  120648366     98       9  41505    -0.049597       0.4748    7.1471e-16    -0.049597
_SET2_   ENSG00000143437     1  150777189  150854184     72      12  41505       2.4257     0.004865    8.8818e-16       2.4257
_SET2_   ENSG00000160741     1  153915145  153936091     16       5  41505       1.4169     0.059786    6.6613e-16       1.4169
_SET2_   ENSG00000163346     1  154911552  154933599     22       5  41505      0.45654      0.27182    7.2164e-16      0.45654
_SET2_   ENSG00000116604     1  156428519  156475571     69      11  41505       1.0617      0.11355    6.6613e-16       1.0617
_SET2_   ENSG00000143321     1  156706901  156741717     60      15  41505       -1.065      0.82035    6.6613e-16       -1.065
_SET2_   ENSG00000163565     1  158964758  159029945    194      16  41505       2.7234    0.0019935    8.8818e-16       2.7234
_SET2_   ENSG00000158773     1  161004041  161020767     31       7  41505       1.0717      0.11197    6.6613e-16       1.0717
_SET2_   ENSG00000185630     1  164519821  164873533    721      91  41505      -2.0587      0.96406    8.8818e-16      -2.0587
_SET2_   ENSG00000116132     1  170626869  170713562    122      23  41505       1.5564     0.042578    6.6613e-16       1.5564
_SET2_   ENSG00000135829     1  182803482  182862117     68      10  41505     0.052391      0.44706    7.1471e-16     0.052391
_SET2_   ENSG00000116833     1  199991742  200151548    459      53  41505     -0.54593      0.62695    6.6613e-16     -0.54593
_SET2_   ENSG00000069275     1  205676950  205724310     67      12  41505      0.33051      0.31507    7.2164e-16      0.33051
_SET2_   ENSG00000174059     1  208049317  208089747    112      20  41505      0.62432      0.21617    6.6613e-16      0.62432
_SET2_   ENSG00000117707     1  214151524  214219853     89      18  41505      0.69293      0.19821    6.6613e-16      0.69293
_SET2_   ENSG00000117724     1  214771528  214842917    159      18  41505       1.4922     0.049039    6.6613e-16       1.4922
_SET2_   ENSG00000143514     1  223962595  224038656    129      11  41505      0.31772      0.31972    7.2164e-16      0.31772
_SET2_   ENSG00000185155     1  226406319  226419761     15       5  41505      -1.8554      0.95641    6.6613e-16      -1.8554
_SET2_   ENSG00000143799     1  226542911  226600855    139      15  41505       2.9074    0.0010707    8.8818e-16       2.9074
_SET2_   ENSG00000153187     1  244998940  245032862     29       6  41505     -0.25172      0.54622    7.2164e-16     -0.25172
_SET2_   ENSG00000162711     1  247574458  247617410    162      38  41505        1.483     0.049505    6.6613e-16        1.483
_SET2_   ENSG00000115738     2    8813975    8829591     23       7  41505      -1.3344      0.89168    6.6613e-16      -1.3344
_SET2_   ENSG00000115750     2    9978572   10079545    366      17  41505      -2.2756      0.98011    8.8818e-16      -2.2756
_SET2_   ENSG00000071575     2   12852036   12887860     66      12  41505     -0.10117      0.47722    7.2164e-16     -0.10117
_SET2_   ENSG00000084676     2   24709123   24998571    480      25  41505       1.7345     0.025654    6.6613e-16       1.7345
_SET2_   ENSG00000119772     2   25445724   25570459    166      32  41505       3.5633   9.1132e-05    8.8818e-16       3.5633
_SET2_   ENSG00000163792     2   27366872   27384842     24       5  41505      0.20674      0.36066    7.2164e-16      0.20674
_SET2_   ENSG00000115808     2   37059841   37198679    234      20  41505     -0.27885      0.54312    7.2164e-16     -0.27885
_SET2_   ENSG00000138083     2   45163841   45178210     42      11  41505     -0.97829      0.80032    6.6613e-16     -0.97829
_SET2_   ENSG00000116016     2   46515806   46618836    227      36  41505      0.64437      0.20059    6.6613e-16      0.64437
_SET2_   ENSG00000197223     2   68263262   68343080     79      17  41505      0.26814      0.33809    7.2164e-16      0.26814
_SET2_   ENSG00000196975     2   69866557   70059244    352      25  41505       0.1573      0.35694    7.2164e-16       0.1573
_SET2_   ENSG00000183733     2   70999442   71022775     77       8  41505     -0.85894      0.75543    6.6613e-16     -0.85894
_SET2_   ENSG00000168874     2   85973467   86023506    113      20  41505      0.68935      0.19544    6.6613e-16      0.68935
_SET2_   ENSG00000115548     2   86662770   86724839     90      12  41505     -0.37245      0.58821    7.2164e-16     -0.37245
_SET2_   ENSG00000196843     2   97197480   97223371     28      10  41505        2.778    0.0017829    8.8818e-16        2.778
_SET2_   ENSG00000115641     2  105969169  106059970    249      42  41505      -1.0803      0.81338    6.6613e-16      -1.0803
_SET2_   ENSG00000082258     2  135670805  135721912     74       8  41505      0.85446       0.1547    6.6613e-16      0.85446
_SET2_   ENSG00000153234     2  157175949  157203860     24       6  41505     -0.85998      0.76458    6.6613e-16     -0.85998
_SET2_   ENSG00000163093     2  170330990  170368165     51      12  41505     -0.46184      0.63006    7.2164e-16     -0.46184
_SET2_   ENSG00000172845     2  174740578  174835101    236      22  41505       1.3413     0.065283    6.6613e-16       1.3413
_SET2_   ENSG00000115966     2  175931978  176038110    194      13  41505      0.32717      0.31808    7.2164e-16      0.32717
_SET2_   ENSG00000116044     2  178078395  178262484    343      22  41505    -0.084291      0.45425    7.2164e-16    -0.084291
_SET2_   ENSG00000162992     2  182528022  182550554     33       8  41505      0.64891      0.21477    6.6613e-16      0.64891
