# TOTAL_GENES = 59313
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
GO:0061013       SET     167     0.092729    0.0049135     0.065806     0.079404
GO:0061158       SET      17      0.26811    0.0045385      0.22536      0.11708
GO:0070180       SET       6     0.022689   0.00022819       0.4635      0.48048
GO:0070934       SET       9     -0.34791   -0.0042854      0.38141      0.81916
GO:0070937       SET       6     -0.29102   -0.0029269      0.41288      0.75954
GO:0070990       SET       7    -0.083308  -0.00090498      0.35789      0.59203
GO:0071007       SET      30    -0.020069  -0.00045125      0.14908      0.55354
GO:0071011       SET      53      0.14005    0.0041846      0.12609      0.13334
GO:0071013       SET      86     0.069426    0.0026417     0.098315      0.24005
GO:0071204       SET       6      -0.3087   -0.0031047      0.32501       0.8289
GO:0071541       SET       7     -0.58891   -0.0063974      0.32523      0.96491
GO:0071826       SET     202      -0.0277   -0.0016138     0.064655      0.66583
GO:0075522       SET      11     -0.68301   -0.0093006      0.31264      0.98554
GO:0075525       SET       5     -0.60039   -0.0055123      0.54856      0.86313
GO:0090079       SET     102     -0.12208   -0.0050581     0.087979      0.91736
GO:0097447       SET     607    -0.012134   -0.0012212     0.035864      0.63244
GO:0097525       SET      79      0.13499    0.0049231      0.10676      0.10305
GO:0097526       SET      43      0.20177    0.0054308      0.13812     0.072027
GO:0098793       SET     488   -0.0066599  -0.00060161     0.040194       0.5658
GO:0098794       SET     601    0.0098426   0.00098575     0.036363      0.39332
GO:0098984       SET     340    -0.010433  -0.00078766     0.047859      0.58628
GO:0099080       SET    1323     0.033549    0.0049543     0.025554     0.094624
GO:0099522       SET      15     0.097867    0.0015562      0.22415       0.3312
GO:0099523       SET       9      0.28189    0.0034722      0.31705      0.18697
GO:0101031       SET      34    -0.033717  -0.00080702      0.17435      0.57667
GO:0106002       SET       5     -0.42235   -0.0038776      0.53608       0.7846
GO:0120114       SET      98     0.054591    0.0022172     0.095094      0.28296
GO:0140296       SET      52      0.10615    0.0031416      0.12244      0.19299
GO:0140513       SET    1207     0.037248    0.0052593     0.025738     0.073924
GO:0140694       SET     391    0.0033208   0.00026873     0.045064      0.47063
GO:1900151       SET      26       0.2277    0.0047664      0.18737      0.11214
GO:1900152       SET      12    -0.030137  -0.00042863      0.29722      0.54038
GO:1901566       SET    1679     0.013484    0.0022364     0.022302      0.27271
GO:1901798       SET      28     0.044895   0.00097521      0.18233      0.40276
GO:1902255       SET       7    -0.020843  -0.00022642       0.4004      0.52076
GO:1902369       SET      74    -0.020195  -0.00071286     0.096326      0.58303
GO:1902373       SET      62     0.056692     0.001832      0.10812      0.30001
GO:1902494       SET    1402    0.0033785   0.00051326     0.024133      0.44433
GO:1903311       SET     284     0.089413    0.0061723     0.051475     0.041194
GO:1903312       SET      90     0.079834    0.0031075     0.091159      0.19058
GO:1903313       SET     122     0.085043     0.003853     0.081293      0.14775
GO:1903320       SET     243      0.03184    0.0020338     0.055757      0.28398
GO:1903321       SET      95     0.065221    0.0026081     0.091663      0.23838
GO:1904666       SET      24     0.065116    0.0013096      0.18789      0.36446
GO:1904667       SET      12      0.21713    0.0030881      0.29469      0.23062
GO:1904949       SET      88     0.073714    0.0028372     0.099382      0.22913
GO:1990124       SET      13     -0.33002   -0.0048853      0.22023        0.933
GO:1990825       SET      14     0.090528    0.0013907      0.21604       0.3376
GO:1990904       SET     709    -0.018561   -0.0020171     0.035071      0.70167
GO:2000765       SET      28     -0.31649   -0.0068748      0.16652      0.97132
GO:2000767       SET      15     -0.14373   -0.0022854      0.25036      0.71704
GO:2001242       SET     169    0.0067589   0.00036027     0.066176      0.45932
GO:2001244       SET      61    -0.023746  -0.00076113      0.11041      0.58515
