GENE_ID	ENSID	GENE_NAME	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000055900	ENSG00000159596	Tmem69	382.1199428	0.68353735	0.166028393	4.116990693	3.83852E-05	0.005995396
ENSMUSG00000062488	ENSG00000119917	Ifit3b	233.2790821	1.050350602	0.255568627	4.109857357	3.95904E-05	0.006125301
ENSMUSG00000060716	ENSG00000054690	Plekhh1	3488.138927	-0.340096589	0.083084249	-4.093394285	4.25104E-05	0.006515612
ENSMUSG00000019359	ENSG00000130055	Gdpd2	269.2921724	0.572416318	0.140059351	4.086955375	4.37071E-05	0.006637006
ENSMUSG00000034120	ENSG00000263465	Srsf2	4678.019434	0.23793275	0.058286836	4.082100971	4.46304E-05	0.006715032
ENSMUSG00000034278	ENSG00000104129	Dnajc17	301.5584745	-0.418672343	0.102751242	-4.07462077	4.60894E-05	0.006871509
ENSMUSG00000034422	ENSG00000173193	Parp14	276.0186863	0.654771259	0.161019848	4.066400937	4.77448E-05	0.007054182
ENSMUSG00000029810	ENSG00000106565	Tmem176b	942.3820064	0.389477624	0.096149376	4.050755589	5.10525E-05	0.007475546
ENSMUSG00000033768	ENSG00000110076	Nrxn2	7745.650823	0.308902759	0.076333296	4.046763023	5.19308E-05	0.007536855
ENSMUSG00000103476	0	Strit1	29.50058713	-1.3889186	0.343926621	-4.03841551	5.38135E-05	0.007689711
ENSMUSG00000031320	ENSG00000198034	Rps4x	9082.055478	-0.155337073	0.038469349	-4.037943864	5.39218E-05	0.007689711
ENSMUSG00000042453	ENSG00000189056	Reln	8564.708188	-0.250551492	0.062103291	-4.034431782	5.47346E-05	0.007701034
ENSMUSG00000034459	ENSG00000204010	Ifit1	138.6428693	0.903698219	0.224142335	4.031805149	5.53501E-05	0.007701034
ENSMUSG00000026887	ENSG00000148187	Mrrf	584.1247755	0.373442287	0.092629921	4.031551395	5.54099E-05	0.007701034
ENSMUSG00000036887	ENSG00000173372	C1qa	1688.998993	0.324970951	0.080769228	4.02345	5.73518E-05	0.007903941
ENSMUSG00000032128	ENSG00000154134	Robo3	1213.481953	0.67706677	0.168460093	4.019152299	5.84079E-05	0.007982414
ENSMUSG00000033382	ENSG00000153339	Trappc8	3017.015366	0.263972349	0.065731342	4.015928173	5.92123E-05	0.008025467
ENSMUSG00000018765	ENSG00000129245	Fxr2	4390.043657	0.196415864	0.048937678	4.013591815	5.98017E-05	0.00803892
ENSMUSG00000023067	ENSG00000124762	Cdkn1a	541.2128302	0.612535599	0.152901036	4.006091875	6.17316E-05	0.008230886
ENSMUSG00000086583	0	Gm15500	5314.44836	-0.173205034	0.043272422	-4.00266557	6.26328E-05	0.008283694
ENSMUSG00000021186	ENSG00000140092	Fbln5	351.1591334	-0.535234163	0.133813669	-3.999846709	6.33835E-05	0.008315919
ENSMUSG00000071708	ENSG00000102172	Sms	3485.004209	0.229622783	0.057446366	3.997168109	6.41048E-05	0.008343796
ENSMUSG00000040459	ENSG00000134884	Arglu1	7879.286748	-0.178041973	0.04459316	-3.992584813	6.53569E-05	0.008439795
ENSMUSG00000047583	ENSG00000162623	Tyw3	432.9069182	-0.339489954	0.085305993	-3.979672949	6.90101E-05	0.008841924
ENSMUSG00000042662	ENSG00000149599	Dusp15	861.2210167	0.268504164	0.067566584	3.973919446	7.06995E-05	0.008988151
ENSMUSG00000084416	0	Rpl10a-ps1	989.0179839	-0.707117199	0.178098363	-3.9703745	7.17597E-05	0.009047038
ENSMUSG00000033880	ENSG00000108679	Lgals3bp	756.5311069	0.754495621	0.190170947	3.96745997	7.26427E-05	0.009047038
ENSMUSG00000026260	ENSG00000130414	Ndufa10	3900.176404	0.254929079	0.064264272	3.96688657	7.28176E-05	0.009047038
ENSMUSG00000051235	ENSG00000178295	Gen1	75.94231871	-1.175589691	0.296838691	-3.96036543	7.48352E-05	0.009202309
ENSMUSG00000022490	ENSG00000135447	Ppp1r1a	3017.097554	0.331342244	0.083688409	3.959236992	7.51896E-05	0.009202309
ENSMUSG00000048978	ENSG00000152954	Nrsn1	10483.28187	-0.179362806	0.045568326	-3.936128957	8.28065E-05	0.010059455
ENSMUSG00000000386	ENSG00000157601	Mx1	34.3888679	1.661239023	0.422873919	3.928449947	8.54951E-05	0.010309708
ENSMUSG00000037771	ENSG00000101438	Slc32a1	8139.806899	0.20331937	0.051999308	3.910039943	9.22809E-05	0.011020365
ENSMUSG00000031835	ENSG00000140943	Mbtps1	6473.076012	-0.292830467	0.074914528	-3.908860892	9.27323E-05	0.011020365
ENSMUSG00000067212	0	H2-T23	563.3169831	0.337269759	0.086484249	3.899782482	9.62791E-05	0.011359554
ENSMUSG00000022438	ENSG00000188677	Parvb	1353.839916	0.364208757	0.093470389	3.896514834	9.75868E-05	0.0114316
ENSMUSG00000020696	ENSG00000092871	Rffl	940.1097213	-0.260779662	0.06700076	-3.892189596	9.93436E-05	0.011554854
ENSMUSG00000054150	ENSG00000176438	Syne3	163.7614006	-0.709817373	0.182709944	-3.884941116	0.000102355	0.011821246
ENSMUSG00000046434	ENSG00000135486	Hnrnpa1	10774.13919	-0.154040712	0.039766616	-3.873618843	0.000107231	0.01229783
ENSMUSG00000039013	ENSG00000105383	Siglecf	22.6424794	1.454532253	0.376273357	3.865626478	0.000110804	0.012619391
ENSMUSG00000046721	0	Rpl14-ps1	777.0429874	-0.764470107	0.198501413	-3.851207388	0.000117537	0.013167705
ENSMUSG00000034708	ENSG00000030582	Grn	2206.194851	0.197436588	0.051269775	3.850935339	0.000117668	0.013167705
ENSMUSG00000026628	ENSG00000162772	Atf3	40.31878498	1.168695511	0.30354252	3.850187151	0.000118028	0.013167705
ENSMUSG00000029007	ENSG00000177674	Agtrap	485.5241582	-1.166054442	0.30306445	-3.847546099	0.000119307	0.013207135
ENSMUSG00000039943	ENSG00000101333	Plcb4	1489.842872	0.566435617	0.147273669	3.846143188	0.000119992	0.013207135
ENSMUSG00000081406	0	Rps6-ps4	226.7943144	-11.25405108	2.929026761	-3.842249319	0.000121912	0.013329035
ENSMUSG00000081225	0	Cyp2j12	223.7140342	-0.532308801	0.138741849	-3.83668522	0.000124706	0.013490609
ENSMUSG00000038180	ENSG00000061656	Spag4	121.0940635	0.984775734	0.256716867	3.836038301	0.000125035	0.013490609
ENSMUSG00000036622	ENSG00000159363	Atp13a2	4556.173064	0.29529061	0.077146567	3.827657168	0.000129369	0.01386698
ENSMUSG00000037280	ENSG00000139629	Galnt6	1035.686421	-0.385840473	0.101085486	-3.81697205	0.000135099	0.01438642
ENSMUSG00000091617	0	Gm3752	17.32433697	4.443828906	1.164888695	3.814809883	0.000136288	0.01438642
ENSMUSG00000079017	0	Ifi27l2a	44.87039514	0.998206898	0.261735538	3.813799631	0.000136846	0.01438642
ENSMUSG00000041801	ENSG00000174307	Phlda3	594.7201315	0.323714963	0.08510496	3.80371443	0.000142542	0.014889789
ENSMUSG00000035773	ENSG00000116014	Kiss1r	205.9959656	0.537665325	0.14158199	3.797554517	0.000146131	0.015050619
ENSMUSG00000068037	ENSG00000130368	Mas1	247.6791411	-0.788783584	0.207742265	-3.796933593	0.000146497	0.015050619
ENSMUSG00000003378	ENSG00000105737	Grik5	7851.627266	-0.173648516	0.045740774	-3.796361548	0.000146835	0.015050619
ENSMUSG00000032690	ENSG00000111335	Oas2	50.15401565	1.063606824	0.280933985	3.785967094	0.000153112	0.015596495
ENSMUSG00000030630	ENSG00000103876	Fah	578.2115613	-0.287578993	0.076027217	-3.782579499	0.000155211	0.015712769
ENSMUSG00000021194	ENSG00000100604	Chga	3581.862152	0.347725206	0.0924712	3.76036223	0.000169667	0.016979853
ENSMUSG00000029304	ENSG00000118785	Spp1	389.71247	1.099294872	0.292352508	3.760169119	0.000169799	0.016979853
ENSMUSG00000026418	ENSG00000159173	Tnni1	266.0217104	-0.505934715	0.134808384	-3.752991455	0.000174737	0.017307472
ENSMUSG00000032399	ENSG00000174444	Rpl4	15222.1382	-0.123382457	0.032887765	-3.751621841	0.000175694	0.017307472
ENSMUSG00000057098	ENSG00000164330	Ebf1	852.143209	-0.750382423	0.200056983	-3.750843443	0.000176241	0.017307472
ENSMUSG00000001864	ENSG00000126878	Aif1l	496.6020114	-0.566148251	0.151397009	-3.739494284	0.000184391	0.018000058
ENSMUSG00000054986	ENSG00000100012	Sec14l3	119.4439332	-0.711204891	0.190769695	-3.728081077	0.000192943	0.018723493
ENSMUSG00000036528	ENSG00000166387	Ppfibp2	655.1747752	-0.312544186	0.083910063	-3.724752148	0.000195507	0.018860696
ENSMUSG00000036990	ENSG00000164164	Otud4	4212.975904	-0.211223657	0.057013794	-3.704781642	0.000211573	0.020291203
ENSMUSG00000040987	ENSG00000204516	Mill2	169.7614299	-0.682847059	0.184489881	-3.70127107	0.000214522	0.020349102
ENSMUSG00000034317	ENSG00000213186	Trim59	1075.382239	-0.435597477	0.117702835	-3.700823987	0.000214901	0.020349102
ENSMUSG00000057367	ENSG00000110330	Birc2	1892.825706	0.219712517	0.059387417	3.699647642	0.000215899	0.020349102
ENSMUSG00000029538	ENSG00000111786	Srsf9	1373.529994	-0.21054747	0.057014443	-3.692879518	0.000221729	0.020779183
ENSMUSG00000002900	ENSG00000091136	Lamb1	1609.161102	-0.418735352	0.113479416	-3.689967469	0.000224283	0.020899073
ENSMUSG00000030786	ENSG00000169896	Itgam	1093.875605	-0.332365658	0.090123586	-3.687887645	0.000226123	0.020951551
ENSMUSG00000067873	ENSG00000102241	Htatsf1	2888.738405	-0.21170774	0.057474263	-3.68352248	0.000230033	0.021194051
ENSMUSG00000028927	ENSG00000117115	Padi2	1906.523425	-0.515984795	0.140479032	-3.673037813	0.000239684	0.021828954
ENSMUSG00000052776	ENSG00000089127	Oas1a	51.34847478	1.165377554	0.317525108	3.670190248	0.00024237	0.021828954
ENSMUSG00000015702	ENSG00000143412	Anxa9	39.29790539	1.273150856	0.34691022	3.669972182	0.000242577	0.021828954
ENSMUSG00000026634	ENSG00000174606	Angel2	2921.521094	-0.186782957	0.05090559	-3.669203297	0.000243308	0.021828954
ENSMUSG00000021379	ENSG00000172201	Id4	7207.420152	-0.275922772	0.075205489	-3.668918002	0.000243579	0.021828954
ENSMUSG00000018428	ENSG00000121057	Akap1	2704.805669	0.162281969	0.044443027	3.65146078	0.000260753	0.023241021
ENSMUSG00000035042	0	Ccl5	6.207041131	3.548698029	0.972416211	3.649361242	0.000262893	NA
ENSMUSG00000054793	ENSG00000105767	Cadm4	6007.776481	0.168318336	0.046228633	3.640997484	0.000271584	0.024075536
ENSMUSG00000026271	ENSG00000178623	Gpr35	53.82829728	-1.186627048	0.32662437	-3.633002176	0.000280143	0.02470075
ENSMUSG00000029561	0	Oasl2	253.658174	0.978307445	0.269651578	3.628042728	0.000285578	0.025045344
ENSMUSG00000053063	ENSG00000172322	Clec12a	220.9721366	-0.53657204	0.148167128	-3.621397319	0.000293016	0.025553881
ENSMUSG00000001833	ENSG00000122545	Septin7	10237.8733	-0.168420563	0.046523774	-3.62009673	0.000294493	0.025553881
ENSMUSG00000028691	ENSG00000117450	Prdx1	5594.138605	-0.178330264	0.049303174	-3.617013838	0.000298021	0.02572395
ENSMUSG00000043279	ENSG00000169871	Trim56	578.3813727	0.322656499	0.089247676	3.615293004	0.000300008	0.025759859
ENSMUSG00000040229	ENSG00000171659	Gpr34	499.2568659	-0.341897994	0.094709129	-3.609979296	0.000306221	0.026156415
ENSMUSG00000028894	ENSG00000204084	Inpp5b	1490.886021	-0.406133879	0.112765569	-3.601576995	0.000316293	0.026876687
ENSMUSG00000118664	ENSG00000104723	TUSC3	7147.649535	-0.174761644	0.048557748	-3.599047529	0.000319385	0.026999541
ENSMUSG00000057123	ENSG00000265107	Gja5	33.9848257	-1.055809306	0.294031013	-3.590809336	0.000329653	0.02772464
ENSMUSG00000032517	ENSG00000168314	Mobp	74289.00026	0.406541672	0.11346706	3.582904794	0.000339794	0.028431783
ENSMUSG00000000214	ENSG00000180176	Th	341.9225428	0.517273136	0.144563854	3.578163707	0.000346017	0.02867782
ENSMUSG00000034936	ENSG00000175906	Arl4d	1165.175804	-0.241403968	0.067478818	-3.577477715	0.000346926	0.02867782
ENSMUSG00000058600	ENSG00000156482	Rpl30	5002.954573	-0.158665678	0.044394848	-3.573965989	0.000351615	0.02867782
ENSMUSG00000054162	ENSG00000196104	Spock3	12662.82804	-0.19993	0.055955379	-3.573025604	0.00035288	0.02867782
ENSMUSG00000051977	ENSG00000126856	Prdm9	147.3378019	0.701950673	0.196470451	3.572805324	0.000353177	0.02867782
ENSMUSG00000019761	ENSG00000186395	Krt10	738.0408576	-0.43382315	0.121492673	-3.570776256	0.000355925	0.02867782
ENSMUSG00000037605	ENSG00000150471	Adgrl3	4422.873528	-0.22703598	0.063590435	-3.570285059	0.000356593	0.02867782
ENSMUSG00000027170	ENSG00000149100	Eif3m	2287.317916	-0.181122888	0.05073202	-3.570188744	0.000356724	0.02867782
ENSMUSG00000026048	ENSG00000134899	Ercc5	1216.117484	-0.194576706	0.054702696	-3.55698566	0.000375135	0.03001077
ENSMUSG00000040877	ENSG00000176473	Wdr25	341.8240687	0.62613053	0.176205542	3.553409977	0.000380271	0.03020147
ENSMUSG00000030868	ENSG00000166847	Dctn5	2985.780775	0.178211398	0.050161292	3.552767324	0.000381201	0.03020147
ENSMUSG00000021097	ENSG00000165959	Clmn	4546.595681	-0.208538343	0.059070981	-3.530300959	0.000415087	0.032616304
ENSMUSG00000018554	ENSG00000006047	Ybx2	56.90870943	0.960636075	0.272210762	3.529015787	0.000417108	0.032616304
ENSMUSG00000082585	0	Gm15387	80.39271673	-9.757786116	2.765537547	-3.528350619	0.000418158	0.032616304
ENSMUSG00000004707	ENSG00000122224	Ly9	27.56552695	1.224005978	0.347087201	3.526508542	0.000421078	0.032616304
ENSMUSG00000023992	ENSG00000095970	Trem2	595.0427504	0.312506014	0.088624917	3.526164251	0.000421625	0.032616304
