GENE_ID	GENE_NAME	GENE_DESCRIPTION	EXPR WT O T3	baseMean	log2FoldChange	lfcSE	stat	FC	pvalue	padj
ENSMUSG00000050844	1700020N01Rik	RIKEN cDNA 1700020N01 gene 	1	13.48	-5.3	2.45	-2.16	0.03	0.03079	0.3309
ENSMUSG00000052909	Gm9894	predicted gene 9894 	1	18.21	1.47	0.71	2.08	2.77	0.03742	0.36055
ENSMUSG00000084260	Gm12844	predicted gene 12844 	1	32.92	-4.32	2.69	-1.61	0.05	0.1077	0.55671
ENSMUSG00000091568	Gm8206	predicted gene 8206 	1	15.75	1.19	0.78	1.53	2.28	0.12527	0.58815
ENSMUSG00000096574	Gm2956	predicted gene 2956 	1	27.2	-2.25	2.85	-0.79	0.21	0.42841	0.84904
ENSMUSG00000094257	Ap3s1-ps2	adaptor-related protein complex 3, sigma 1 subunit, pseudogene 2 	1	15.61	-1.25	2.8	-0.44	0.42	0.65652	0.92579
ENSMUSG00000102972	Gm37348	predicted gene, 37348 	1	25.4	1.98	0.99	2	3.93	0.04503	0.39137
ENSMUSG00000100801	Gm15459	predicted gene 15459 	1	44.46	-1.97	1.67	-1.18	0.26	0.23842	0.71982
ENSMUSG00000079386	Gm3173	predicted gene 3173 	1	22.64	0.67	0.84	0.79	1.59	0.42673	0.84871
ENSMUSG00000083929	Gm10600	predicted gene 10600 	1	33.49	-1.48	2.23	-0.67	0.36	0.50569	0.87967
ENSMUSG00000100254	Trpc2	transient receptor potential cation channel, subfamily C, member 2 	1	36.3	-1.4	3.06	-0.46	0.38	0.64749	0.9225
ENSMUSG00000112311	Gm8153	predicted gene 8153 	1	20.46	0.5	1.17	0.43	1.42	0.66694	0.92726
ENSMUSG00000108686	Gm45080	predicted gene 45080 	1	23.5	-0.71	2.29	-0.31	0.61	0.75689	0.94896
ENSMUSG00000089694	Nat8f7	N-acetyltransferase 8 (GCN5-related) family member 7 	2	34.56	1.16	0.78	1.49	2.24	0.13712	0.60776
ENSMUSG00000081094	Rpl19-ps11	ribosomal protein L19, pseudogene 11 	2	167.56	-3.82	3.23	-1.18	0.07	0.23649	0.71849
ENSMUSG00000116358	Gm49450	predicted gene, 49450 	2	625.18	0.99	1.37	0.72	1.98	0.47008	0.86661
ENSMUSG00000080977	Gm13772	predicted gene 13772 	2	41.72	-1.63	2.29	-0.71	0.32	0.4755	0.86945
ENSMUSG00000105081	Gm43110	predicted gene 43110 	2	29.66	-0.52	0.9	-0.58	0.7	0.56299	0.90017
ENSMUSG00000118458	Gm10599	predicted pseudogene 10599 	2	92.65	-0.7	1.3	-0.54	0.61	0.58859	0.90604
ENSMUSG00000067547	Gm7666	predicted pseudogene 7666 	2	65.69	-0.89	2.41	-0.37	0.54	0.71279	0.93822
ENSMUSG00000073198	Bnip3l-ps	BCL2/adenovirus E1B interacting protein 3-like, pseudogene 	2	141.1	0.37	1.24	0.3	1.29	0.76502	0.95126
ENSMUSG00000112022	Gm2436	predicted gene 2436 	2	177.32	-0.76	2.62	-0.29	0.59	0.77178	0.95319
ENSMUSG00000021871	Gm49342	predicted gene, 49342 	2	48.91	-0.45	1.69	-0.27	0.73	0.79068	0.95939
ENSMUSG00000066443	Gm10163	predicted pseudogene 10163 	2	77.78	-0.45	1.85	-0.24	0.73	0.8073	0.96462
ENSMUSG00000074449	Gm15319	predicted gene 15319 	2	41.79	0.17	0.79	0.22	1.13	0.8266	0.96899
ENSMUSG00000096862	Gm13301	predicted gene 13301 	2	257.91	-0.29	1.33	-0.22	0.82	0.82954	0.96984
ENSMUSG00000084071	Gm13378	predicted gene 13378 	2	32.35	0.17	0.86	0.19	1.12	0.84578	0.97305
ENSMUSG00000093996	Fam205a3	family with sequence similarity 205, member A3 	2	332.22	-0.41	2.75	-0.15	0.75	0.88088	0.97921
ENSMUSG00000081272	Ap2m1-ps	adaptor-related protein complex 2, mu 1 subunit, pseudogene 	2	28.51	-0.18	2.26	-0.08	0.88	0.93517	0.98803
ENSMUSG00000090338	Gm17081	predicted gene 17081 	2	415.29	-0.09	1.36	-0.07	0.94	0.94687	0.98988
ENSMUSG00000109061	Gm49320	predicted gene, 49320 	2	82.58	0.05	1.22	0.04	1.03	0.969	0.99449
ENSMUSG00000021908	Ncoa4-ps	nuclear receptor coactivator 4, pseudogene 	2	142.6	-0.06	1.96	-0.03	0.96	0.97639	0.99644
ENSMUSG00000117098	Gm49909	predicted gene, 49909 	2	734.23	-0.04	1.42	-0.03	0.97	0.97723	0.99644
ENSMUSG00000040323	Gm15429	predicted pseudogene 15429 	2	54.31	0.04	1.75	0.02	1.03	0.98213	0.99696
ENSMUSG00000042938	Gm14117	predicted gene 14117 	2	42.14	-0.66	3.16	-0.21	0.63	NA	NA
ENSMUSG00000053461	Hhipl2	hedgehog interacting protein-like 2 	1	40.46	4.05	0.33	12.13	16.52	0	0
ENSMUSG00000067038	Rps12-ps3	ribosomal protein S12, pseudogene 3 	1	151.96	-10.68	1.08	-9.92	0	0	0
ENSMUSG00000068129	Cst7	cystatin F (leukocystatin) 	1	14.6	3.42	0.66	5.18	10.68	0	0.00009
ENSMUSG00000034855	Cxcl10	chemokine (C-X-C motif) ligand 10 	1	20.72	2.63	0.56	4.73	6.17	0	0.00069
ENSMUSG00000078249	Hmga1b	high mobility group AT-hook 1B 	1	60.72	-7.81	1.82	-4.29	0	0.00002	0.00335
ENSMUSG00000018930	Ccl4	chemokine (C-C motif) ligand 4 	1	13.43	2.07	0.49	4.21	4.2	0.00003	0.0044
ENSMUSG00000043263	Ifi209	interferon activated gene 209 	1	19	1.76	0.52	3.4	3.39	0.00068	0.04344
ENSMUSG00000000982	Ccl3	chemokine (C-C motif) ligand 3 	1	13.11	1.71	0.53	3.22	3.27	0.00127	0.06222
ENSMUSG00000024907	Gal	galanin and GMAP prepropeptide 	1	26.69	2.75	0.9	3.05	6.73	0.00226	0.08692
ENSMUSG00000073491	Ifi213	interferon activated gene 213 	1	17.34	1.48	0.5	2.97	2.8	0.00302	0.10263
ENSMUSG00000056947	Mab21l1	mab-21-like 1 	1	18.49	2.67	0.94	2.83	6.35	0.00459	0.12945
ENSMUSG00000010342	Tex14	testis expressed gene 14 	1	15.17	1.82	0.65	2.8	3.54	0.00509	0.13794
ENSMUSG00000022041	Chrna2	cholinergic receptor, nicotinic, alpha polypeptide 2 (neuronal) 	1	22.89	2.43	0.88	2.76	5.41	0.0058	0.14837
ENSMUSG00000028587	Orc1	origin recognition complex, subunit 1 	1	30.46	3.36	1.22	2.75	10.25	0.006	0.15017
ENSMUSG00000060735	Rxfp3	relaxin family peptide receptor 3 	1	25.58	2.21	0.82	2.7	4.63	0.00686	0.16156
ENSMUSG00000091071	1700030C10Rik	RIKEN cDNA 1700030C10 gene 	1	26.2	2.63	1	2.62	6.18	0.00882	0.18331
ENSMUSG00000030450	Oca2	oculocutaneous albinism II 	1	25.73	-2.53	0.97	-2.62	0.17	0.00883	0.18331
ENSMUSG00000000263	Glra1	glycine receptor, alpha 1 subunit 	1	14.02	2.29	0.89	2.57	4.88	0.01018	0.19646
ENSMUSG00000066861	Oas1g	2'-5' oligoadenylate synthetase 1G 	1	13.86	1.44	0.56	2.56	2.72	0.01034	0.19825
ENSMUSG00000107951	Gm6210	predicted gene 6210 	1	14.95	1.12	0.45	2.52	2.18	0.01184	0.21366
ENSMUSG00000020323	Prss57	protease, serine 57 	1	15.79	1.33	0.54	2.46	2.51	0.01373	0.22979
ENSMUSG00000056380	Gpr50	G-protein-coupled receptor 50 	1	15.68	1.64	0.68	2.39	3.11	0.01676	0.25544
ENSMUSG00000034923	Ly6g6f	lymphocyte antigen 6 complex, locus G6F 	1	15.99	-1.33	0.56	-2.38	0.4	0.01737	0.25949
ENSMUSG00000031789	Cngb1	cyclic nucleotide gated channel beta 1 	1	21.49	2.13	1	2.14	4.36	0.03273	0.34141
ENSMUSG00000022026	Olfm4	olfactomedin 4 	1	19.53	1.56	0.75	2.09	2.96	0.03674	0.35856
ENSMUSG00000031293	Rs1	retinoschisis (X-linked, juvenile) 1 (human) 	1	16.21	-1.37	0.69	-1.99	0.39	0.04624	0.39663
ENSMUSG00000037469	Acp7	acid phosphatase 7, tartrate resistant 	1	14.67	1.14	0.69	1.66	2.2	0.09792	0.53996
ENSMUSG00000031212	Pgr15l	G protein-coupled receptor 15-like 	1	17.9	1.84	1.13	1.63	3.59	0.10344	0.55135
ENSMUSG00000021356	Irf4	interferon regulatory factor 4 	1	13.83	1.28	0.8	1.61	2.43	0.10724	0.55622
ENSMUSG00000033633	Clec18a	C-type lectin domain family 18, member A 	1	16.09	-1.15	0.8	-1.44	0.45	0.14979	0.62588
ENSMUSG00000030228	Pik3c2g	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 gamma 	1	16.13	-1.42	1.11	-1.28	0.37	0.20149	0.67894
ENSMUSG00000006574	Slc4a1	solute carrier family 4 (anion exchanger), member 1 	1	23.06	1.6	1.46	1.1	3.03	0.27279	0.75151
ENSMUSG00000032988	Slc16a8	solute carrier family 16 (monocarboxylic acid transporters), member 8 	1	13.35	-3.03	1.31	-2.32	0.12	NA	NA
ENSMUSG00000061048	Cdh3	cadherin 3 	1	23.1	-3.42	1.15	-2.98	0.09	NA	NA
ENSMUSG00000015652	Steap1	six transmembrane epithelial antigen of the prostate 1 	1	27	-3.19	0.97	-3.29	0.11	NA	NA
ENSMUSG00000039672	Kcne2	potassium voltage-gated channel, Isk-related subfamily, gene 2 	1	82.32	-4.08	1.31	-3.12	0.06	NA	NA
ENSMUSG00000079436	Kcnj13	potassium inwardly-rectifying channel, subfamily J, member 13 	1	99.88	-4.33	1.35	-3.22	0.05	NA	NA
ENSMUSG00000022101	Fgf17	fibroblast growth factor 17 	1	42.21	1.95	0.31	6.31	3.86	0	0
ENSMUSG00000030789	Itgax	integrin alpha X 	1	63.25	3.13	0.51	6.15	8.73	0	0
ENSMUSG00000079293	Clec7a	C-type lectin domain family 7, member a 	1	53.32	2.19	0.38	5.76	4.57	0	0
ENSMUSG00000015314	Slamf6	SLAM family member 6 	1	29.74	1.86	0.42	4.41	3.62	0.00001	0.0023
ENSMUSG00000103476	Strit1	small transmembrane regulator of ion transport 1 	1	29.5	-1.39	0.34	-4.04	0.38	0.00005	0.00769
ENSMUSG00000000386	Mx1	MX dynamin-like GTPase 1 	1	34.39	1.66	0.42	3.93	3.16	0.00009	0.01031
ENSMUSG00000039013	Siglecf	sialic acid binding Ig-like lectin F 	1	22.64	1.45	0.38	3.87	2.74	0.00011	0.01262
ENSMUSG00000004707	Ly9	lymphocyte antigen 9 	1	27.57	1.22	0.35	3.53	2.34	0.00042	0.03262
ENSMUSG00000044177	Wfikkn2	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 	1	32.39	-1.64	0.48	-3.44	0.32	0.00059	0.03966
ENSMUSG00000060985	Tdrd5	tudor domain containing 5 	1	57.48	-2.54	0.78	-3.25	0.17	0.00116	0.05898
ENSMUSG00000073530	Pappa2	pappalysin 2 	1	23.12	-1.81	0.59	-3.06	0.29	0.00222	0.08608
ENSMUSG00000028036	Ptgfr	prostaglandin F receptor 	1	37.31	-1.81	0.61	-2.97	0.29	0.00301	0.10257
ENSMUSG00000023886	Smoc2	SPARC related modular calcium binding 2 	1	33.59	-1.9	0.66	-2.9	0.27	0.00376	0.11901
ENSMUSG00000113623	Gm48691	predicted gene, 48691 	1	22.59	-1.27	0.45	-2.85	0.41	0.00432	0.12697
ENSMUSG00000023393	Slc17a9	solute carrier family 17, member 9 	1	21.02	-1.29	0.46	-2.79	0.41	0.00524	0.13988
ENSMUSG00000073490	Ifi207	interferon activated gene 207 	1	18.97	1.45	0.52	2.78	2.73	0.00549	0.14419
ENSMUSG00000037086	Prr32	proline rich 32 	1	29.92	-2.28	0.84	-2.71	0.21	0.00681	0.16155
ENSMUSG00000100865	Gm9320	predicted gene 9320 	1	22.57	-1.08	0.43	-2.52	0.47	0.01179	0.21333
ENSMUSG00000030792	Dkkl1	dickkopf-like 1 	1	19.86	-1.52	0.62	-2.45	0.35	0.01429	0.2347
ENSMUSG00000023243	Kcnk5	potassium channel, subfamily K, member 5 	1	26.77	-1.02	0.42	-2.44	0.49	0.01451	0.23567
ENSMUSG00000028610	Dmrtb1	DMRT-like family B with proline-rich C-terminal, 1 	1	28.23	0.98	0.4	2.42	1.97	0.01547	0.24585
ENSMUSG00000049436	Upk1b	uroplakin 1B 	1	25.63	-1.37	0.57	-2.41	0.39	0.01597	0.24853
ENSMUSG00000044279	Crb3	crumbs family member 3 	1	20.9	-1.46	0.61	-2.41	0.36	0.01614	0.24965
ENSMUSG00000012428	Steap4	STEAP family member 4 	1	22.94	-1.75	0.73	-2.4	0.3	0.0165	0.25308
ENSMUSG00000099871	Gm21742	predicted gene, 21742 	1	26.3	-0.94	0.4	-2.34	0.52	0.01911	0.27178
ENSMUSG00000029193	Cckar	cholecystokinin A receptor 	1	33.94	1.54	0.66	2.33	2.9	0.01968	0.27538
ENSMUSG00000045679	Pqlc3	PQ loop repeat containing 	1	25.98	-1.05	0.46	-2.3	0.48	0.02137	0.28583
ENSMUSG00000118462	Lhb	luteinizing hormone beta 	1	31.92	-1.43	0.62	-2.29	0.37	0.02182	0.28835
ENSMUSG00000027071	P2rx3	purinergic receptor P2X, ligand-gated ion channel, 3 	1	28.26	0.86	0.39	2.24	1.82	0.02535	0.3058
ENSMUSG00000022097	Sftpc	surfactant associated protein C 	1	25.22	0.87	0.39	2.22	1.83	0.02624	0.31052
ENSMUSG00000045392	Olfr1033	olfactory receptor 1033 	1	25.88	0.8	0.36	2.2	1.74	0.02798	0.319
ENSMUSG00000078907	Fam186b	family with sequence similarity 186, member B 	1	20.4	1.08	0.49	2.2	2.11	0.0281	0.31921
ENSMUSG00000025355	Mmp19	matrix metallopeptidase 19 	1	19.21	1.01	0.47	2.16	2.01	0.03116	0.33301
ENSMUSG00000090625	Gm20721	predicted gene, 20721 	1	26.99	1.46	0.7	2.08	2.74	0.03775	0.36131
ENSMUSG00000056162	Cndp1	carnosine dipeptidase 1 (metallopeptidase M20 family) 	1	28.02	-1.22	0.59	-2.05	0.43	0.04002	0.37165
ENSMUSG00000026832	Cytip	cytohesin 1 interacting protein 	1	18.67	1.13	0.56	2	2.19	0.04507	0.3915
ENSMUSG00000022479	Vdr	vitamin D (1,25-dihydroxyvitamin D3) receptor 	1	21.9	0.95	0.48	1.99	1.94	0.04703	0.40048
ENSMUSG00000066319	Rtp3	receptor transporter protein 3 	1	22.06	0.76	0.39	1.97	1.7	0.04834	0.4062
ENSMUSG00000044338	Aplnr	apelin receptor 	1	26.19	-1.48	0.75	-1.96	0.36	0.04952	0.40956
ENSMUSG00000067224	Gm3695	predicted gene 3695 	1	15.5	-1.03	0.53	-1.95	0.49	0.05164	0.41887
ENSMUSG00000022286	Grhl2	grainyhead like transcription factor 2 	1	23.89	0.68	0.35	1.92	1.6	0.05501	0.43019
ENSMUSG00000053368	Rxfp2	relaxin/insulin-like family peptide receptor 2 	1	22.21	0.74	0.39	1.92	1.67	0.05528	0.43143
ENSMUSG00000052234	Epx	eosinophil peroxidase 	1	22.71	0.83	0.44	1.88	1.78	0.0604	0.4435
ENSMUSG00000040564	Apoc1	apolipoprotein C-I 	1	26.48	0.89	0.48	1.85	1.85	0.06407	0.45418
ENSMUSG00000029477	Morn3	MORN repeat containing 3 	1	25.27	-0.81	0.44	-1.84	0.57	0.06631	0.46093
ENSMUSG00000009070	Rsph14	radial spoke head homolog 14 (Chlamydomonas) 	1	17.56	-0.76	0.42	-1.8	0.59	0.0718	0.4774
ENSMUSG00000053038	Gm6180	predicted pseudogene 6180 	1	15.99	-1.05	0.59	-1.79	0.48	0.07365	0.48308
ENSMUSG00000000244	Tspan32	tetraspanin 32 	1	17	-1.01	0.57	-1.78	0.5	0.07478	0.48532
ENSMUSG00000026069	Il1rl1	interleukin 1 receptor-like 1 	1	24.79	-0.88	0.5	-1.75	0.54	0.08037	0.50039
ENSMUSG00000030351	Tspan11	tetraspanin 11 	1	23.76	0.67	0.38	1.74	1.59	0.08265	0.50452
ENSMUSG00000035594	Chrna5	cholinergic receptor, nicotinic, alpha polypeptide 5 	1	22.13	-0.84	0.49	-1.73	0.56	0.0837	0.50651
ENSMUSG00000021187	Tc2n	tandem C2 domains, nuclear 	1	22.79	-1.23	0.72	-1.72	0.43	0.08573	0.51081
ENSMUSG00000038745	Nlrp6	NLR family, pyrin domain containing 6 	1	22.42	-0.61	0.36	-1.7	0.65	0.08857	0.51743
ENSMUSG00000049382	Krt8	keratin 8 	1	28.95	-1.08	0.63	-1.7	0.47	0.08925	0.51903
ENSMUSG00000094286	Gm12424	predicted gene 12424 	1	18.91	-0.86	0.5	-1.7	0.55	0.08993	0.52114
ENSMUSG00000028487	Bnc2	basonuclin 2 	1	21.36	0.96	0.58	1.65	1.94	0.09878	0.54094
ENSMUSG00000073008	Gpr174	G protein-coupled receptor 174 	1	28.7	0.94	0.57	1.65	1.92	0.09951	0.54256
ENSMUSG00000029417	Cxcl9	chemokine (C-X-C motif) ligand 9 	1	17.94	0.96	0.58	1.64	1.95	0.10056	0.54519
ENSMUSG00000054003	Tdrd9	tudor domain containing 9 	1	19.37	1.37	0.84	1.64	2.58	0.102	0.54819
ENSMUSG00000079076	Gm3086	predicted gene 3086 	1	24.02	0.6	0.37	1.63	1.52	0.1021	0.54819
ENSMUSG00000057615	Ldoc1	regulator of NFKB signaling 	1	18.82	0.85	0.52	1.62	1.8	0.10498	0.55366
ENSMUSG00000072244	Trim6	tripartite motif-containing 6 	1	27.62	0.9	0.55	1.62	1.86	0.10503	0.5537
ENSMUSG00000005465	Il27ra	interleukin 27 receptor, alpha 	1	20.84	-0.58	0.36	-1.61	0.67	0.10666	0.55532
ENSMUSG00000035365	Parpbp	PARP1 binding protein 	1	24.24	-0.83	0.51	-1.62	0.56	0.10629	0.55532
ENSMUSG00000005124	Ccn4	cellular communication network factor 4 	1	18.72	-0.88	0.55	-1.61	0.54	0.10806	0.55728
ENSMUSG00000033847	Pla2g4c	phospholipase A2, group IVC (cytosolic, calcium-independent) 	1	16.26	1.06	0.66	1.6	2.09	0.10916	0.56023
ENSMUSG00000049235	Gm7324	predicted gene 7324 	1	19.31	0.81	0.51	1.59	1.75	0.11094	0.56313
ENSMUSG00000042385	Gzmk	granzyme K 	1	18.91	-0.74	0.46	-1.59	0.6	0.11125	0.56372
ENSMUSG00000054582	Pabpc1l	poly(A) binding protein, cytoplasmic 1-like 	1	19.96	-0.86	0.54	-1.59	0.55	0.11236	0.56472
ENSMUSG00000075570	Krt26	keratin 26 	1	16.77	-0.7	0.44	-1.58	0.61	0.11297	0.56604
ENSMUSG00000054083	Capn12	calpain 12 	1	21.48	-0.99	0.63	-1.57	0.5	0.11728	0.57296
ENSMUSG00000084081	Gm12057	predicted gene 12057 	1	18.05	-0.63	0.4	-1.56	0.65	0.11825	0.57472
ENSMUSG00000010311	Optc	opticin 	1	18.91	0.91	0.58	1.56	1.88	0.11851	0.57536
ENSMUSG00000074939	Chrm5	cholinergic receptor, muscarinic 5 	1	28.22	0.89	0.57	1.56	1.85	0.11941	0.57747
ENSMUSG00000025197	Cyp2c23	cytochrome P450, family 2, subfamily c, polypeptide 23 	1	21.2	-0.58	0.38	-1.55	0.67	0.12023	0.57911
ENSMUSG00000050896	Rtn4rl2	reticulon 4 receptor-like 2 	1	26.48	-1.26	0.81	-1.55	0.42	0.1205	0.58019
ENSMUSG00000022032	Scara5	scavenger receptor class A, member 5 	1	22.39	-0.87	0.56	-1.55	0.55	0.12105	0.58096
ENSMUSG00000021880	Rnase6	ribonuclease, RNase A family, 6 	1	16.14	1.04	0.68	1.54	2.06	0.1232	0.58463
ENSMUSG00000050397	Foxl2	forkhead box L2 	1	20.29	0.6	0.39	1.53	1.51	0.12602	0.59024
ENSMUSG00000025386	Pde6g	phosphodiesterase 6G, cGMP-specific, rod, gamma 	1	19.16	0.82	0.54	1.53	1.77	0.12701	0.59131
ENSMUSG00000056880	Gadl1	glutamate decarboxylase-like 1 	1	25	0.68	0.45	1.53	1.61	0.12713	0.59131
ENSMUSG00000032494	Tdgf1	teratocarcinoma-derived growth factor 1 	1	22.59	0.57	0.37	1.52	1.48	0.12811	0.59276
ENSMUSG00000043549	Fam90a1b	family with sequence similarity 90, member A1B 	1	20.82	-0.54	0.36	-1.52	0.69	0.1297	0.59499
ENSMUSG00000099455	Gm29288	predicted gene 29288 	1	21.99	-0.64	0.42	-1.51	0.64	0.13072	0.59699
ENSMUSG00000072972	Adam4	a disintegrin and metallopeptidase domain 4 	1	21.93	0.53	0.35	1.51	1.45	0.13118	0.59795
ENSMUSG00000052013	Btla	B and T lymphocyte associated 	1	20.14	0.68	0.45	1.51	1.6	0.13171	0.5982
ENSMUSG00000033987	Dnah17	dynein, axonemal, heavy chain 17 	1	20.59	-0.66	0.44	-1.5	0.63	0.13296	0.60068
ENSMUSG00000078251	Gm16487	predicted gene 16487 	1	19.39	-0.63	0.42	-1.49	0.64	0.13517	0.60468
ENSMUSG00000043592	Unc5cl	unc-5 family C-terminal like 	1	20.07	-0.71	0.48	-1.48	0.61	0.13871	0.60904
ENSMUSG00000031635	Anxa10	annexin A10 	1	17.96	-0.73	0.49	-1.48	0.6	0.13979	0.60939
ENSMUSG00000085139	A730046J19Rik	RIKEN cDNA A730046J19 gene 	1	22.81	1.07	0.72	1.48	2.09	0.13989	0.60965
ENSMUSG00000081809	Gm15539	predicted gene 15539 	1	23.15	-0.48	0.32	-1.47	0.72	0.1414	0.61188
ENSMUSG00000084022	Gm16459	predicted gene 16459 	1	19.09	-0.61	0.42	-1.47	0.65	0.14186	0.612
ENSMUSG00000013353	4931406B18Rik	RIKEN cDNA 4931406B18 gene 	1	23.37	0.61	0.42	1.47	1.53	0.14264	0.61352
ENSMUSG00000092111	Vmn2r113	vomeronasal 2, receptor 113 	1	23.5	-0.6	0.41	-1.45	0.66	0.146	0.61985
ENSMUSG00000040310	Alx4	aristaless-like homeobox 4 	1	20.76	-0.67	0.46	-1.45	0.63	0.14638	0.62029
ENSMUSG00000066090	Insl5	insulin-like 5 	1	22.03	0.55	0.38	1.45	1.46	0.14725	0.62136
ENSMUSG00000073724	Pramel4	PRAME like 4 	1	17.87	0.6	0.42	1.44	1.51	0.15078	0.62693
ENSMUSG00000021553	Slc28a3	solute carrier family 28 (sodium-coupled nucleoside transporter), member 3 	1	24.62	-0.74	0.52	-1.44	0.6	0.15075	0.62693
ENSMUSG00000027555	Car13	carbonic anhydrase 13 	1	22.37	-0.61	0.42	-1.44	0.66	0.15128	0.62758
ENSMUSG00000035394	Cfap53	cilia and flagella associated protein 53 	1	26.91	-0.74	0.52	-1.43	0.6	0.15146	0.62758
ENSMUSG00000067215	Usp51	ubiquitin specific protease 51 	1	22.05	0.7	0.49	1.43	1.62	0.1533	0.6293
ENSMUSG00000031022	BC051019	cDNA sequence BC051019 	1	20.72	-0.63	0.44	-1.43	0.65	0.153	0.6293
ENSMUSG00000078439	Smim24	small integral membrane protein 24 	1	22.46	-0.49	0.34	-1.43	0.71	0.1529	0.6293
ENSMUSG00000038793	Lefty1	left right determination factor 1 	1	24.17	0.66	0.46	1.43	1.58	0.15361	0.62946
ENSMUSG00000031594	Fgl1	fibrinogen-like protein 1 	1	20.77	-0.64	0.45	-1.41	0.64	0.15763	0.63578
ENSMUSG00000055523	Gucy2g	guanylate cyclase 2g 	1	21.88	-0.69	0.49	-1.41	0.62	0.15906	0.63702
ENSMUSG00000009551	6330409D20Rik	RIKEN cDNA 6330409D20 gene 	1	25.08	0.71	0.51	1.4	1.64	0.16151	0.63953
ENSMUSG00000055976	Cldn23	claudin 23 	1	20.72	-0.54	0.39	-1.39	0.69	0.16537	0.64312
ENSMUSG00000061561	Olfr373	olfactory receptor 373 	1	18.27	-0.59	0.43	-1.39	0.66	0.16577	0.64377
