# TOTAL_GENES = 58335
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE                               TYPE  NGENES         BETA     BETA_STD           SE            P FULL_NAME
GOBP_HUMORAL_IMMUNE_RESPONSE...         SET     104     0.034649    0.0014617      0.09085      0.35146 GOBP_HUMORAL_IMMUNE_RESPONSE_MEDIATED_BY_CIRCULATING_IMMUNOGLOBULIN
GOBP_INTERLEUKIN_8_PRODUCTION           SET      96    -0.070697   -0.0028656     0.085246      0.79654 GOBP_INTERLEUKIN_8_PRODUCTION
GOBP_LEUKOCYTE_MEDIATED_IMMU...         SET     424     -0.03236   -0.0027488     0.040695      0.78674 GOBP_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_LYMPHOCYTE_MEDIATED_IMM...         SET     333    -0.001383  -0.00010419     0.046645      0.51183 GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY
GOBP_MICROGLIAL_CELL_ACTIVAT...         SET      47     -0.16175   -0.0045895      0.11688      0.91681 GOBP_MICROGLIAL_CELL_ACTIVATION
GOBP_MONONUCLEAR_CELL_DIFFER...         SET     420    -0.050723   -0.0042885     0.039297      0.90161 GOBP_MONONUCLEAR_CELL_DIFFERENTIATION
GOBP_NEGATIVE_REGULATION_OF_...1        SET     174     0.011373   0.00062019     0.061287      0.42639 GOBP_NEGATIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_NEGATIVE_REGULATION_OF_...2        SET     412    -0.022198   -0.0018589     0.039753      0.71171 GOBP_NEGATIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS
GOBP_PANCREATIC_JUICE_SECRET...         SET      13     -0.13099   -0.0019553       0.2111      0.73255 GOBP_PANCREATIC_JUICE_SECRETION
GOBP_PHAGOCYTOSIS                       SET     290   -0.0017506  -0.00012312     0.050399      0.51385 GOBP_PHAGOCYTOSIS
GOBP_PHAGOCYTOSIS_RECOGNITION           SET      86      0.19326     0.007415      0.10392     0.031461 GOBP_PHAGOCYTOSIS_RECOGNITION
GOBP_POSITIVE_REGULATION_OF_...1        SET     111     0.021441   0.00093439     0.077701       0.3913 GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...2        SET      64    -0.091523   -0.0030299      0.11222      0.79262 GOBP_POSITIVE_REGULATION_OF_CELL_KILLING
GOBP_POSITIVE_REGULATION_OF_...3        SET     463    -0.028195   -0.0025019     0.037777      0.77227 GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...4        SET     242    -0.040109    -0.002578     0.053594      0.77288 GOBP_POSITIVE_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
GOBP_POSITIVE_REGULATION_OF_...5        SET     556  -0.00042222  -4.1023e-05      0.03568      0.50472 GOBP_POSITIVE_REGULATION_OF_IMMUNE_RESPONSE
GOBP_POSITIVE_REGULATION_OF_...6        SET      39        -0.15   -0.0038771      0.13821      0.86109 GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...7        SET      61     0.019058   0.00061598       0.1088      0.43048 GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_1_BETA_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...8        SET      60     -0.17952   -0.0057546      0.10416       0.9576 GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_8_PRODUCTION
GOBP_POSITIVE_REGULATION_OF_...9        SET     134    -0.025714    -0.001231     0.072547       0.6385 GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_POSITIVE_REGULATION_OF_...10       SET      36     0.061962    0.0015388      0.14263      0.33199 GOBP_POSITIVE_REGULATION_OF_LYMPHOCYTE_MIGRATION
GOBP_POSITIVE_REGULATION_OF_...11       SET      70      0.17545    0.0060741      0.10243     0.043369 GOBP_POSITIVE_REGULATION_OF_PHAGOCYTOSIS
GOBP_PRODUCTION_OF_MOLECULAR...         SET     303     -0.04593   -0.0033016     0.047934      0.83101 GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE
GOBP_REGULATION_OF_ADAPTIVE_...         SET     183     0.082242    0.0045992     0.059887     0.084832 GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE
GOBP_REGULATION_OF_CELL_KILL...         SET     102    -0.096712   -0.0040406       0.0832      0.87746 GOBP_REGULATION_OF_CELL_KILLING
GOBP_REGULATION_OF_HEMOPOIES...         SET     363   -0.0041476  -0.00032616     0.042504      0.53887 GOBP_REGULATION_OF_HEMOPOIESIS
GOBP_REGULATION_OF_IMMUNE_EF...         SET     344    -0.042159   -0.0032279     0.043816      0.83202 GOBP_REGULATION_OF_IMMUNE_EFFECTOR_PROCESS
GOBP_REGULATION_OF_INNATE_IM...         SET     220    -0.090849   -0.0055687     0.055688      0.94859 GOBP_REGULATION_OF_INNATE_IMMUNE_RESPONSE
GOBP_REGULATION_OF_LEUKOCYTE...         SET     228    -0.010395   -0.0006486     0.054349      0.57584 GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_IMMUNITY
GOBP_REGULATION_OF_LYMPHOCYT...         SET     504    -0.050063   -0.0046332      0.03695      0.91227 GOBP_REGULATION_OF_LYMPHOCYTE_ACTIVATION
GOBP_REGULATION_OF_RESPONSE_...         SET     337    -0.048619   -0.0036847     0.043977      0.86553 GOBP_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS
GOBP_RESPONSE_TO_VIRUS                  SET     380     -0.05978   -0.0048092     0.041538      0.92494 GOBP_RESPONSE_TO_VIRUS
GOCC_BLOOD_MICROPARTICLE                SET     141      0.22298      0.01095     0.068695   0.00058561 GOCC_BLOOD_MICROPARTICLE
GOCC_CYTOSOLIC_LARGE_RIBOSOM...         SET      55     -0.26818   -0.0082308      0.11796       0.9885 GOCC_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT
GOCC_CYTOSOLIC_RIBOSOME                 SET      96      -0.1305   -0.0052896     0.089389      0.92784 GOCC_CYTOSOLIC_RIBOSOME
GOCC_CYTOSOLIC_SMALL_RIBOSOM...         SET      40    -0.015668  -0.00041015      0.14101      0.54424 GOCC_CYTOSOLIC_SMALL_RIBOSOMAL_SUBUNIT
GOCC_EXTERNAL_SIDE_OF_PLASMA...         SET     424     0.016486    0.0014004     0.041833      0.34676 GOCC_EXTERNAL_SIDE_OF_PLASMA_MEMBRANE
GOCC_KERATIN_FILAMENT                   SET      98      0.18413    0.0075408      0.11566     0.055699 GOCC_KERATIN_FILAMENT
GOCC_LARGE_RIBOSOMAL_SUBUNIT            SET     109    -0.052165   -0.0022528     0.079545      0.74402 GOCC_LARGE_RIBOSOMAL_SUBUNIT
GOCC_POLYSOMAL_RIBOSOME                 SET      28     -0.13237   -0.0028995      0.16693       0.7861 GOCC_POLYSOMAL_RIBOSOME
GOCC_POLYSOME                           SET      58     -0.20356   -0.0064154      0.10652        0.972 GOCC_POLYSOME
GOCC_RIBOSOMAL_SUBUNIT                  SET     172    -0.034185   -0.0018535     0.065115       0.7002 GOCC_RIBOSOMAL_SUBUNIT
GOCC_RIBOSOME                           SET     207     0.012305   0.00073167     0.058724      0.41702 GOCC_RIBOSOME
GOCC_SMALL_RIBOSOMAL_SUBUNIT            SET      66     0.072917    0.0024513      0.10864      0.25106 GOCC_SMALL_RIBOSOMAL_SUBUNIT
GOCC_VACUOLAR_LUMEN                     SET     167    -0.011879  -0.00063466     0.063514      0.57418 GOCC_VACUOLAR_LUMEN
GOCC_VESICLE_LUMEN                      SET     314     0.092754    0.0067868     0.044914     0.019459 GOCC_VESICLE_LUMEN
GOMF_CCR_CHEMOKINE_RECEPTOR_...         SET      45     -0.17313   -0.0048067      0.13673      0.89728 GOMF_CCR_CHEMOKINE_RECEPTOR_BINDING
GOMF_CHEMOKINE_ACTIVITY                 SET      47    -0.097782   -0.0027744      0.14882      0.74443 GOMF_CHEMOKINE_ACTIVITY
GOMF_CHEMOKINE_RECEPTOR_BIND...         SET      69    -0.086964   -0.0029891      0.11161      0.78207 GOMF_CHEMOKINE_RECEPTOR_BINDING
GOMF_STRUCTURAL_CONSTITUENT_...         SET     160   -0.0091303  -0.00047752     0.068362      0.55312 GOMF_STRUCTURAL_CONSTITUENT_OF_RIBOSOME
HALLMARK_ALLOGRAFT_REJECTION            SET     191    -0.068597   -0.0039187     0.058971      0.87763 HALLMARK_ALLOGRAFT_REJECTION
HALLMARK_COAGULATION                    SET     129    -0.017786  -0.00083545     0.069064      0.60161 HALLMARK_COAGULATION
HALLMARK_IL6_JAK_STAT3_SIGNA...         SET      81     -0.12854   -0.0047866     0.087609      0.92884 HALLMARK_IL6_JAK_STAT3_SIGNALING
HALLMARK_INTERFERON_ALPHA_RE...         SET      97     -0.12569    -0.005121     0.083834      0.93309 HALLMARK_INTERFERON_ALPHA_RESPONSE
HALLMARK_INTERFERON_GAMMA_RE...         SET     198     0.047079    0.0027382     0.057717      0.20734 HALLMARK_INTERFERON_GAMMA_RESPONSE
HP_ABNORMALITY_OF_COMPLEMENT...         SET      30     0.095246    0.0021594      0.14171      0.25076 HP_ABNORMALITY_OF_COMPLEMENT_SYSTEM
HP_ABNORMALITY_OF_HUMORAL_IM...         SET     253    0.0082165   0.00053993     0.049777      0.43445 HP_ABNORMALITY_OF_HUMORAL_IMMUNITY
HP_ABNORMALITY_OF_PULMONARY_...         SET     152    -0.055658   -0.0028374       0.0646      0.80554 HP_ABNORMALITY_OF_PULMONARY_CIRCULATION
HP_ABNORMALITY_OF_THE_LYMPH_...         SET     201     0.019809    0.0011608     0.056303      0.36249 HP_ABNORMALITY_OF_THE_LYMPH_NODES
HP_ABNORMALITY_OF_THE_THENAR...         SET      29       0.2471    0.0055082      0.15414      0.05446 HP_ABNORMALITY_OF_THE_THENAR_EMINENCE
HP_ABNORMAL_ARTERIAL_PHYSIOL...         SET     149    -0.051016   -0.0025751     0.068877      0.77056 HP_ABNORMAL_ARTERIAL_PHYSIOLOGY
HP_ABNORMAL_ENDOCARDIUM_MORP...         SET      70     -0.20476   -0.0070887      0.10313      0.97645 HP_ABNORMAL_ENDOCARDIUM_MORPHOLOGY
HP_ABNORMAL_ERYTHROCYTE_ENZY...         SET      28      0.18588    0.0040713      0.15756      0.11906 HP_ABNORMAL_ERYTHROCYTE_ENZYME_LEVEL
HP_ABNORMAL_HEMOGLOBIN                  SET      54        0.114    0.0034669      0.11291      0.15634 HP_ABNORMAL_HEMOGLOBIN
HP_ABNORMAL_LACRIMAL_DUCT_MO...         SET      33    -0.099819   -0.0023735      0.14605      0.75284 HP_ABNORMAL_LACRIMAL_DUCT_MORPHOLOGY
HP_ABNORMAL_ORAL_MUCOSA_MORP...         SET     298    -0.031091   -0.0022165     0.046948      0.74609 HP_ABNORMAL_ORAL_MUCOSA_MORPHOLOGY
HP_ABNORMAL_PERICARDIUM_MORP...         SET      68     0.038346    0.0013084     0.098733      0.34887 HP_ABNORMAL_PERICARDIUM_MORPHOLOGY
HP_ABNORMAL_SPUTUM                      SET     109    -0.043033   -0.0018584     0.077056      0.71174 HP_ABNORMAL_SPUTUM
HP_ABNORMAL_VASCULAR_PHYSIOL...         SET     259    -0.023574   -0.0015673     0.051058      0.67785 HP_ABNORMAL_VASCULAR_PHYSIOLOGY
HP_ABSENCE_OF_SECONDARY_SEX_...         SET      39     -0.20699   -0.0053503       0.1203      0.95733 HP_ABSENCE_OF_SECONDARY_SEX_CHARACTERISTICS
HP_ADENOCARCINOMA_OF_THE_COL...         SET      29      0.20741    0.0046234      0.15067     0.084324 HP_ADENOCARCINOMA_OF_THE_COLON
HP_ANOREXIA                             SET      91      0.06541    0.0025815     0.083655      0.21714 HP_ANOREXIA
HP_APHTHOUS_ULCER                       SET      38     -0.23388   -0.0059675      0.13222      0.96154 HP_APHTHOUS_ULCER
HP_ARTERIAL_THROMBOSIS                  SET      31     0.022101   0.00050935      0.13716      0.43599 HP_ARTERIAL_THROMBOSIS
HP_AUTOIMMUNITY                         SET     172    -0.013556  -0.00073502     0.062237      0.58621 HP_AUTOIMMUNITY
HP_CHEILITIS                            SET      20     0.045691   0.00084589       0.1689      0.39338 HP_CHEILITIS
HP_CHRONIC_MUCOCUTANEOUS_CAN...         SET      31     0.034846   0.00080308      0.13735      0.39986 HP_CHRONIC_MUCOCUTANEOUS_CANDIDIASIS
HP_ENDOCARDITIS                         SET      20     -0.48691   -0.0090142      0.17857       0.9968 HP_ENDOCARDITIS
HP_ERYTHROID_HYPOPLASIA                 SET      24      0.10733    0.0021766      0.16253      0.25452 HP_ERYTHROID_HYPOPLASIA
HP_FEMALE_SEXUAL_DYSFUNCTION            SET      55     -0.28117   -0.0086294      0.10451      0.99643 HP_FEMALE_SEXUAL_DYSFUNCTION
HP_GASTROINTESTINAL_INFARCTI...         SET      13     0.068721    0.0010258       0.2239      0.37945 HP_GASTROINTESTINAL_INFARCTIONS
HP_HEMOPTYSIS                           SET      65      0.11751    0.0039203      0.10189      0.12441 HP_HEMOPTYSIS
HP_HEPATITIS                            SET      77      0.19583    0.0071101     0.093487       0.0181 HP_HEPATITIS
HP_IMMUNE_DYSREGULATION                 SET       9     -0.18869   -0.0023436      0.29868      0.73623 HP_IMMUNE_DYSREGULATION
HP_INCREASED_MEAN_CORPUSCULA...         SET      38     0.043674    0.0011143      0.13203       0.3704 HP_INCREASED_MEAN_CORPUSCULAR_VOLUME
HP_INFECTIOUS_ENCEPHALITIS              SET      38    -0.062321   -0.0015901      0.13494       0.6779 HP_INFECTIOUS_ENCEPHALITIS
HP_MALIGNANT_GENITOURINARY_T...         SET      25      0.10783    0.0022318      0.16377      0.25513 HP_MALIGNANT_GENITOURINARY_TRACT_TUMOR
HP_MENINGITIS                           SET      67     -0.12313   -0.0041706       0.1011      0.88837 HP_MENINGITIS
HP_MYOSITIS                             SET      31     -0.20438   -0.0047102      0.14538      0.92011 HP_MYOSITIS
HP_NEUROINFLAMMATION                    SET      18     -0.14964   -0.0026282      0.19566       0.7778 HP_NEUROINFLAMMATION
HP_NORMOCHROMIC_ANEMIA                  SET      33      0.15451    0.0036738      0.14241      0.13897 HP_NORMOCHROMIC_ANEMIA
HP_OLIGOARTHRITIS                       SET      11      0.11011    0.0015119      0.25103      0.33047 HP_OLIGOARTHRITIS
HP_OPPORTUNISTIC_INFECTION              SET      16     -0.32138   -0.0053218      0.21296      0.93436 HP_OPPORTUNISTIC_INFECTION
HP_ORAL_ULCER                           SET      38    -0.060764   -0.0015504      0.12449      0.68726 HP_ORAL_ULCER
HP_ORCHITIS                             SET      15     -0.18376   -0.0029463      0.20953      0.80975 HP_ORCHITIS
HP_OSTEOSARCOMA                         SET      32      0.12434    0.0029114      0.13791      0.18364 HP_OSTEOSARCOMA
HP_PAPULE                               SET      87    -0.042356   -0.0016345     0.085291      0.69027 HP_PAPULE
HP_PARTIAL_DUPLICATION_OF_TH...         SET      38     0.052875    0.0013491      0.13716      0.34994 HP_PARTIAL_DUPLICATION_OF_THE_PHALANX_OF_HAND
HP_PERICARDITIS                         SET      35     -0.12713   -0.0031131      0.14899      0.80325 HP_PERICARDITIS
HP_PERSISTENCE_OF_HEMOGLOBIN...         SET      29      0.12492    0.0027846      0.15202      0.20562 HP_PERSISTENCE_OF_HEMOGLOBIN_F
HP_PLEURAL_EFFUSION                     SET      69      0.09732    0.0033451     0.097224      0.15842 HP_PLEURAL_EFFUSION
HP_PLEURITIS                            SET      25     -0.23598   -0.0048842      0.17226      0.91465 HP_PLEURITIS
HP_PULMONARY_INFILTRATES                SET      49     -0.13438    -0.003893       0.1169      0.87481 HP_PULMONARY_INFILTRATES
HP_PURE_RED_CELL_APLASIA                SET      24     0.065753    0.0013334      0.16286      0.34321 HP_PURE_RED_CELL_APLASIA
HP_RETICULOCYTOPENIA                    SET      33     0.051665    0.0012285       0.1436      0.35951 HP_RETICULOCYTOPENIA
HP_SKIN_RASH                            SET     118     0.061501    0.0027632      0.07199      0.19647 HP_SKIN_RASH
HP_SYSTEMIC_LUPUS_ERYTHEMATO...         SET      33      0.17731    0.0042162      0.15072       0.1197 HP_SYSTEMIC_LUPUS_ERYTHEMATOSUS
HP_THROMBOCYTOSIS                       SET      53      0.11391     0.003432      0.10738      0.14438 HP_THROMBOCYTOSIS
HP_TISSUE_ISCHEMIA                      SET     121   -0.0099355  -0.00045203     0.077854      0.55077 HP_TISSUE_ISCHEMIA
HP_TREMOR_BY_ANATOMICAL_SITE            SET      70    -0.074769   -0.0025885     0.099404      0.77402 HP_TREMOR_BY_ANATOMICAL_SITE
HP_UNUSUAL_FUNGAL_INFECTION             SET      63   -0.0023663  -7.7721e-05     0.098243      0.50961 HP_UNUSUAL_FUNGAL_INFECTION
HP_UNUSUAL_INFECTION_BY_ANAT...         SET      91      -0.1673   -0.0066025     0.084378       0.9763 HP_UNUSUAL_INFECTION_BY_ANATOMICAL_SITE
HP_VASCULITIS                           SET      64     -0.10536   -0.0034881      0.10236      0.84834 HP_VASCULITIS
KEGG_ANTIGEN_PROCESSING_AND_...         SET      81      0.12248    0.0045608     0.099027      0.10808 KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION
KEGG_COMPLEMENT_AND_COAGULAT...         SET      66   -0.0085071  -0.00028599     0.097982      0.53459 KEGG_COMPLEMENT_AND_COAGULATION_CASCADES
KEGG_RIBOSOME                           SET      83     -0.16622   -0.0062654     0.095486      0.95913 KEGG_RIBOSOME
KEGG_SYSTEMIC_LUPUS_ERYTHEMA...         SET     130     -0.24972    -0.011775     0.086132      0.99813 KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS
KEGG_TOLL_LIKE_RECEPTOR_SIGN...         SET      98    -0.018122  -0.00074217     0.082377      0.58706 KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY
REACTOME_ACTIVATION_OF_THE_M...         SET      55     0.060577    0.0018592      0.11422      0.29793 REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S
REACTOME_ANTIMICROBIAL_PEPTI...         SET      94     -0.15198   -0.0060959     0.092995       0.9489 REACTOME_ANTIMICROBIAL_PEPTIDES
REACTOME_CELLULAR_RESPONSE_T...         SET     149     -0.10017   -0.0050559     0.066825      0.93305 REACTOME_CELLULAR_RESPONSE_TO_STARVATION
REACTOME_CHEMOKINE_RECEPTORS...         SET      56    -0.021188  -0.00065616      0.12619      0.56667 REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES
REACTOME_COMPLEMENT_CASCADE             SET     112     0.022237   0.00097343     0.078773      0.38886 REACTOME_COMPLEMENT_CASCADE
REACTOME_CREATION_OF_C4_AND_...         SET      70      0.11573    0.0040067      0.10323      0.13113 REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS
REACTOME_DAP12_INTERACTIONS             SET      38      0.12354    0.0031521      0.13637       0.1825 REACTOME_DAP12_INTERACTIONS
REACTOME_ENDOSOMAL_VACUOLAR_...         SET      11      0.23594    0.0032396      0.27965      0.19942 REACTOME_ENDOSOMAL_VACUOLAR_PATHWAY
REACTOME_EUKARYOTIC_TRANSLAT...1        SET      88     -0.18329   -0.0071138     0.092922      0.97572 REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION
REACTOME_EUKARYOTIC_TRANSLAT...2        SET     112    -0.097232   -0.0042564     0.081413      0.88382 REACTOME_EUKARYOTIC_TRANSLATION_INITIATION
REACTOME_FORMATION_OF_THE_CO...         SET     128     -0.09341   -0.0043708     0.088707      0.85383 REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE
REACTOME_IMMUNOREGULATORY_IN...         SET     180     0.074808    0.0041491     0.062472      0.11557 REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL
REACTOME_INFLUENZA_INFECTION            SET     150    -0.057529   -0.0029135     0.066668      0.80591 REACTOME_INFLUENZA_INFECTION
REACTOME_INITIAL_TRIGGERING_...         SET      77     0.097532    0.0035412     0.098116       0.1601 REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT
REACTOME_INTERFERON_ALPHA_BE...         SET      71     -0.15272   -0.0053248     0.099077      0.93839 REACTOME_INTERFERON_ALPHA_BETA_SIGNALING
REACTOME_INTERFERON_GAMMA_SI...         SET      89     0.066237    0.0025853     0.085915      0.22037 REACTOME_INTERFERON_GAMMA_SIGNALING
REACTOME_KERATINIZATION                 SET     215     0.012163   0.00073704     0.075012       0.4356 REACTOME_KERATINIZATION
REACTOME_METABOLISM_OF_AMINO...         SET     358    -0.036648   -0.0028622     0.043298      0.80134 REACTOME_METABOLISM_OF_AMINO_ACIDS_AND_DERIVATIVES
REACTOME_NEUTROPHIL_DEGRANUL...         SET     461     0.038756    0.0034317     0.037291      0.14934 REACTOME_NEUTROPHIL_DEGRANULATION
REACTOME_NONSENSE_MEDIATED_D...         SET     108     -0.16591   -0.0071323     0.081892      0.97861 REACTOME_NONSENSE_MEDIATED_DECAY_NMD
REACTOME_PEPTIDE_LIGAND_BIND...         SET     190   -0.0040721  -0.00023202     0.062803      0.52585 REACTOME_PEPTIDE_LIGAND_BINDING_RECEPTORS
REACTOME_REGULATION_OF_EXPRE...         SET     162     -0.08571   -0.0045105     0.065705      0.90396 REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS
REACTOME_RESPONSE_OF_EIF2AK4...         SET      95     -0.14019   -0.0056527     0.086427       0.9476 REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY
REACTOME_RRNA_PROCESSING                SET     193      -0.1257   -0.0072183      0.05872      0.98385 REACTOME_RRNA_PROCESSING
REACTOME_SELENOAMINO_ACID_ME...         SET     112     -0.18097   -0.0079222     0.082042       0.9863 REACTOME_SELENOAMINO_ACID_METABOLISM
REACTOME_SIGNALING_BY_ROBO_R...         SET     206    -0.030784   -0.0018261      0.05831      0.70123 REACTOME_SIGNALING_BY_ROBO_RECEPTORS
REACTOME_SRP_DEPENDENT_COTRA...         SET     106     -0.12813   -0.0054567     0.080694      0.94383 REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE
REACTOME_TRANSLATION                    SET     282    -0.037713   -0.0026158     0.049668      0.77616 REACTOME_TRANSLATION
REACTOME_TRIGLYCERIDE_CATABO...         SET      23     -0.12695   -0.0025202      0.16169       0.7838 REACTOME_TRIGLYCERIDE_CATABOLISM
